seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,5,0.6052
11,10,5,0.6052
12,10,5,0.6052
13,10,5,0.6052
14,10,5,0.6052
15,10,5,0.6052
16,10,5,0.6052
17,10,5,0.6052
18,10,5,0.6052
19,10,5,0.6052
20,10,5,0.6052
21,10,5,0.6052
22,10,5,0.6052
23,10,5,0.6052
24,10,5,0.6052
25,10,5,0.6052
26,10,5,0.6052
27,10,5,0.6052
28,10,5,0.6052
29,10,5,0.6052
30,10,5,0.6052
10,11,5,0.5997
11,11,5,0.5657
12,11,5,0.5657
13,11,5,0.5657
14,11,5,0.5657
15,11,5,0.5657
16,11,5,0.5657
17,11,5,0.5657
18,11,5,0.5657
19,11,5,0.5657
20,11,5,0.5657
21,11,5,0.5657
22,11,5,0.5657
23,11,5,0.5657
24,11,5,0.5657
25,11,5,0.5657
26,11,5,0.5657
27,11,5,0.5657
28,11,5,0.5657
29,11,5,0.5657
30,11,5,0.5657
10,12,5,0.6031
11,12,5,0.568
12,12,5,0.5598
13,12,5,0.5598
14,12,5,0.5598
15,12,5,0.5598
16,12,5,0.5598
17,12,5,0.5598
18,12,5,0.5598
19,12,5,0.5598
20,12,5,0.5598
21,12,5,0.5598
22,12,5,0.5598
23,12,5,0.5598
24,12,5,0.5598
25,12,5,0.5598
26,12,5,0.5598
27,12,5,0.5598
28,12,5,0.5598
29,12,5,0.5598
30,12,5,0.5598
10,13,5,0.6001
11,13,5,0.5655
12,13,5,0.5595
13,13,5,0.5584
14,13,5,0.5584
15,13,5,0.5584
16,13,5,0.5584
17,13,5,0.5584
18,13,5,0.5584
19,13,5,0.5584
20,13,5,0.5584
21,13,5,0.5584
22,13,5,0.5584
23,13,5,0.5584
24,13,5,0.5584
25,13,5,0.5584
26,13,5,0.5584
27,13,5,0.5584
28,13,5,0.5584
29,13,5,0.5584
30,13,5,0.5584
10,14,5,0.5922
11,14,5,0.5627
12,14,5,0.5597
13,14,5,0.5585
14,14,5,0.5578
15,14,5,0.5578
16,14,5,0.5578
17,14,5,0.5578
18,14,5,0.5578
19,14,5,0.5578
20,14,5,0.5578
21,14,5,0.5578
22,14,5,0.5578
23,14,5,0.5578
24,14,5,0.5578
25,14,5,0.5578
26,14,5,0.5578
27,14,5,0.5578
28,14,5,0.5578
29,14,5,0.5578
30,14,5,0.5578
10,15,5,0.5866
11,15,5,0.5612
12,15,5,0.5597
13,15,5,0.5582
14,15,5,0.5576
15,15,5,0.5575
16,15,5,0.5575
17,15,5,0.5575
18,15,5,0.5575
19,15,5,0.5575
20,15,5,0.5575
21,15,5,0.5575
22,15,5,0.5575
23,15,5,0.5575
24,15,5,0.5575
25,15,5,0.5575
26,15,5,0.5575
27,15,5,0.5575
28,15,5,0.5575
29,15,5,0.5575
30,15,5,0.5575
10,16,5,0.5801
11,16,5,0.5614
12,16,5,0.5589
13,16,5,0.5581
14,16,5,0.5575
15,16,5,0.5575
16,16,5,0.558
17,16,5,0.558
18,16,5,0.558
19,16,5,0.558
20,16,5,0.558
21,16,5,0.558
22,16,5,0.558
23,16,5,0.558
24,16,5,0.558
25,16,5,0.558
26,16,5,0.558
27,16,5,0.558
28,16,5,0.558
29,16,5,0.558
30,16,5,0.558
10,17,5,0.5785
11,17,5,0.5628
12,17,5,0.5581
13,17,5,0.5585
14,17,5,0.5577
15,17,5,0.5577
16,17,5,0.5583
17,17,5,0.5577
18,17,5,0.5577
19,17,5,0.5577
20,17,5,0.5577
21,17,5,0.5577
22,17,5,0.5577
23,17,5,0.5577
24,17,5,0.5577
25,17,5,0.5577
26,17,5,0.5577
27,17,5,0.5577
28,17,5,0.5577
29,17,5,0.5577
30,17,5,0.5577
10,18,5,0.5783
11,18,5,0.5608
12,18,5,0.5589
13,18,5,0.5583
14,18,5,0.558
15,18,5,0.5578
16,18,5,0.5584
17,18,5,0.5578
18,18,5,0.5582
19,18,5,0.5582
20,18,5,0.5582
21,18,5,0.5582
22,18,5,0.5582
23,18,5,0.5582
24,18,5,0.5582
25,18,5,0.5582
26,18,5,0.5582
27,18,5,0.5582
28,18,5,0.5582
29,18,5,0.5582
30,18,5,0.5582
10,19,5,0.5802
11,19,5,0.5599
12,19,5,0.5588
13,19,5,0.5589
14,19,5,0.5578
15,19,5,0.5581
16,19,5,0.5585
17,19,5,0.5582
18,19,5,0.5581
19,19,5,0.5582
20,19,5,0.5582
21,19,5,0.5582
22,19,5,0.5582
23,19,5,0.5582
24,19,5,0.5582
25,19,5,0.5582
26,19,5,0.5582
27,19,5,0.5582
28,19,5,0.5582
29,19,5,0.5582
30,19,5,0.5582
10,20,5,0.5782
11,20,5,0.5595
12,20,5,0.5587
13,20,5,0.5586
14,20,5,0.5577
15,20,5,0.5581
16,20,5,0.5583
17,20,5,0.5586
18,20,5,0.5582
19,20,5,0.5585
20,20,5,0.5583
21,20,5,0.5583
22,20,5,0.5583
23,20,5,0.5583
24,20,5,0.5583
25,20,5,0.5583
26,20,5,0.5583
27,20,5,0.5583
28,20,5,0.5583
29,20,5,0.5583
30,20,5,0.5583
10,21,5,0.5758
11,21,5,0.5604
12,21,5,0.5586
13,21,5,0.5586
14,21,5,0.5581
15,21,5,0.5578
16,21,5,0.5588
17,21,5,0.5585
18,21,5,0.5589
19,21,5,0.5583
20,21,5,0.5586
21,21,5,0.5588
22,21,5,0.5588
23,21,5,0.5588
24,21,5,0.5588
25,21,5,0.5588
26,21,5,0.5588
27,21,5,0.5588
28,21,5,0.5588
29,21,5,0.5588
30,21,5,0.5588
10,22,5,0.5732
11,22,5,0.5616
12,22,5,0.5592
13,22,5,0.5588
14,22,5,0.5585
15,22,5,0.5579
16,22,5,0.5589
17,22,5,0.5581
18,22,5,0.5588
19,22,5,0.5583
20,22,5,0.5585
21,22,5,0.5587
22,22,5,0.5588
23,22,5,0.5588
24,22,5,0.5588
25,22,5,0.5588
26,22,5,0.5588
27,22,5,0.5588
28,22,5,0.5588
29,22,5,0.5588
30,22,5,0.5588
10,23,5,0.5709
11,23,5,0.5624
12,23,5,0.5606
13,23,5,0.5589
14,23,5,0.559
15,23,5,0.558
16,23,5,0.5587
17,23,5,0.5581
18,23,5,0.5591
