seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,7,0.6048
11,10,7,0.6048
12,10,7,0.6048
13,10,7,0.6048
14,10,7,0.6048
15,10,7,0.6048
16,10,7,0.6048
17,10,7,0.6048
18,10,7,0.6048
19,10,7,0.6048
20,10,7,0.6048
21,10,7,0.6048
22,10,7,0.6048
23,10,7,0.6048
24,10,7,0.6048
25,10,7,0.6048
26,10,7,0.6048
27,10,7,0.6048
28,10,7,0.6048
29,10,7,0.6048
30,10,7,0.6048
10,11,7,0.6
11,11,7,0.5653
12,11,7,0.5653
13,11,7,0.5653
14,11,7,0.5653
15,11,7,0.5653
16,11,7,0.5653
17,11,7,0.5653
18,11,7,0.5653
19,11,7,0.5653
20,11,7,0.5653
21,11,7,0.5653
22,11,7,0.5653
23,11,7,0.5653
24,11,7,0.5653
25,11,7,0.5653
26,11,7,0.5653
27,11,7,0.5653
28,11,7,0.5653
29,11,7,0.5653
30,11,7,0.5653
10,12,7,0.6026
11,12,7,0.568
12,12,7,0.5598
13,12,7,0.5598
14,12,7,0.5598
15,12,7,0.5598
16,12,7,0.5598
17,12,7,0.5598
18,12,7,0.5598
19,12,7,0.5598
20,12,7,0.5598
21,12,7,0.5598
22,12,7,0.5598
23,12,7,0.5598
24,12,7,0.5598
25,12,7,0.5598
26,12,7,0.5598
27,12,7,0.5598
28,12,7,0.5598
29,12,7,0.5598
30,12,7,0.5598
10,13,7,0.6001
11,13,7,0.5655
12,13,7,0.5595
13,13,7,0.5584
14,13,7,0.5584
15,13,7,0.5584
16,13,7,0.5584
17,13,7,0.5584
18,13,7,0.5584
19,13,7,0.5584
20,13,7,0.5584
21,13,7,0.5584
22,13,7,0.5584
23,13,7,0.5584
24,13,7,0.5584
25,13,7,0.5584
26,13,7,0.5584
27,13,7,0.5584
28,13,7,0.5584
29,13,7,0.5584
30,13,7,0.5584
10,14,7,0.593
11,14,7,0.5627
12,14,7,0.5597
13,14,7,0.5585
14,14,7,0.5578
15,14,7,0.5578
16,14,7,0.5578
17,14,7,0.5578
18,14,7,0.5578
19,14,7,0.5578
20,14,7,0.5578
21,14,7,0.5578
22,14,7,0.5578
23,14,7,0.5578
24,14,7,0.5578
25,14,7,0.5578
26,14,7,0.5578
27,14,7,0.5578
28,14,7,0.5578
29,14,7,0.5578
30,14,7,0.5578
10,15,7,0.5874
11,15,7,0.5612
12,15,7,0.5597
13,15,7,0.5582
14,15,7,0.5576
15,15,7,0.5575
16,15,7,0.5575
17,15,7,0.5575
18,15,7,0.5575
19,15,7,0.5575
20,15,7,0.5575
21,15,7,0.5575
22,15,7,0.5575
23,15,7,0.5575
24,15,7,0.5575
25,15,7,0.5575
26,15,7,0.5575
27,15,7,0.5575
28,15,7,0.5575
29,15,7,0.5575
30,15,7,0.5575
10,16,7,0.5807
11,16,7,0.5614
12,16,7,0.5589
13,16,7,0.5581
14,16,7,0.5575
15,16,7,0.5575
16,16,7,0.558
17,16,7,0.558
18,16,7,0.558
19,16,7,0.558
20,16,7,0.558
21,16,7,0.558
22,16,7,0.558
23,16,7,0.558
24,16,7,0.558
25,16,7,0.558
26,16,7,0.558
27,16,7,0.558
28,16,7,0.558
29,16,7,0.558
30,16,7,0.558
10,17,7,0.5793
11,17,7,0.5628
12,17,7,0.5581
13,17,7,0.5585
14,17,7,0.5577
15,17,7,0.5577
16,17,7,0.5583
17,17,7,0.5577
18,17,7,0.5577
19,17,7,0.5577
20,17,7,0.5577
21,17,7,0.5577
22,17,7,0.5577
23,17,7,0.5577
24,17,7,0.5577
25,17,7,0.5577
26,17,7,0.5577
27,17,7,0.5577
28,17,7,0.5577
29,17,7,0.5577
30,17,7,0.5577
10,18,7,0.5781
11,18,7,0.5608
12,18,7,0.5589
13,18,7,0.5583
14,18,7,0.558
15,18,7,0.5578
16,18,7,0.5584
17,18,7,0.5578
18,18,7,0.5582
19,18,7,0.5582
20,18,7,0.5582
21,18,7,0.5582
22,18,7,0.5582
23,18,7,0.5582
24,18,7,0.5582
25,18,7,0.5582
26,18,7,0.5582
27,18,7,0.5582
28,18,7,0.5582
29,18,7,0.5582
30,18,7,0.5582
10,19,7,0.5803
11,19,7,0.5599
12,19,7,0.5588
13,19,7,0.5589
14,19,7,0.5578
15,19,7,0.5581
16,19,7,0.5585
17,19,7,0.5582
18,19,7,0.5581
19,19,7,0.5582
20,19,7,0.5582
21,19,7,0.5582
22,19,7,0.5582
23,19,7,0.5582
24,19,7,0.5582
25,19,7,0.5582
26,19,7,0.5582
27,19,7,0.5582
28,19,7,0.5582
29,19,7,0.5582
30,19,7,0.5582
10,20,7,0.5779
11,20,7,0.5595
12,20,7,0.5587
13,20,7,0.5586
14,20,7,0.5577
15,20,7,0.5581
16,20,7,0.5583
17,20,7,0.5586
18,20,7,0.5582
19,20,7,0.5585
20,20,7,0.5583
21,20,7,0.5583
22,20,7,0.5583
23,20,7,0.5583
24,20,7,0.5583
25,20,7,0.5583
26,20,7,0.5583
27,20,7,0.5583
28,20,7,0.5583
29,20,7,0.5583
30,20,7,0.5583
10,21,7,0.5758
11,21,7,0.5604
12,21,7,0.5586
13,21,7,0.5586
14,21,7,0.5581
15,21,7,0.5578
16,21,7,0.5588
17,21,7,0.5585
18,21,7,0.5589
19,21,7,0.5583
20,21,7,0.5586
21,21,7,0.5588
22,21,7,0.5588
23,21,7,0.5588
24,21,7,0.5588
25,21,7,0.5588
26,21,7,0.5588
27,21,7,0.5588
28,21,7,0.5588
29,21,7,0.5588
30,21,7,0.5588
10,22,7,0.5731
11,22,7,0.5616
12,22,7,0.5592
13,22,7,0.5588
14,22,7,0.5585
15,22,7,0.5579
16,22,7,0.5589
17,22,7,0.5581
18,22,7,0.5588
19,22,7,0.5583
20,22,7,0.5585
21,22,7,0.5587
22,22,7,0.5588
23,22,7,0.5588
24,22,7,0.5588
25,22,7,0.5588
26,22,7,0.5588
27,22,7,0.5588
28,22,7,0.5588
29,22,7,0.5588
30,22,7,0.5588
10,23,7,0.5706
11,23,7,0.5624
12,23,7,0.5606
13,23,7,0.5589
14,23,7,0.559
15,23,7,0.558
16,23,7,0.5587
17,23,7,0.5581
18,23,7,0.5591
19,23,7,0.5588
20,23,7,0.5587
21,23,7,0.5589
22,23,7,0.5587
23,23,7,0.559
24,23,7,0.559
25,23,7,0.559
26,23,7,0.559
27,23,7,0.559
28,23,7,0.559
29,23,7,0.559
30,23,7,0.559
10,24,7,0.5682
11,24,7,0.563
12,24,7,0.5621
13,24,7,0.5597
14,24,7,0.5596
15,24,7,0.5592
16,24,7,0.5581
17,24,7,0.558
18,24,7,0.559
19,24,7,0.5588
20,24,7,0.5588
21,24,7,0.5587
22,24,7,0.5585
23,24,7,0.559
24,24,7,0.559
25,24,7,0.559
26,24,7,0.559
27,24,7,0.559
28,24,7,0.559
29,24,7,0.559
30,24,7,0.559
10,25,7,0.5685
11,25,7,0.5638
12,25,7,0.5625
13,25,7,0.5613
14,25,7,0.5596
15,25,7,0.5594
16,25,7,0.5587
17,25,7,0.5586
18,25,7,0.5592
19,25,7,0.559
20,25,7,0.558
21,25,7,0.5583
22,25,7,0.5587
23,25,7,0.559
24,25,7,0.5593
25,25,7,0.5591
26,25,7,0.5591
27,25,7,0.5591
28,25,7,0.5591
29,25,7,0.5591
30,25,7,0.5591
10,26,7,0.5675
11,26,7,0.5648
12,26,7,0.5627
13,26,7,0.5625
14,26,7,0.5601
15,26,7,0.5597
16,26,7,0.5586
17,26,7,0.5589
18,26,7,0.5594
19,26,7,0.5586
20,26,7,0.5584
21,26,7,0.5586
22,26,7,0.5589
23,26,7,0.5592
24,26,7,0.5597
25,26,7,0.5595
26,26,7,0.5594
27,26,7,0.5594
28,26,7,0.5594
29,26,7,0.5594
30,26,7,0.5594
10,27,7,0.566
11,27,7,0.5656
12,27,7,0.5626
13,27,7,0.5646
14,27,7,0.5611
15,27,7,0.5601
16,27,7,0.5582
17,27,7,0.5586
18,27,7,0.56
19,27,7,0.5591
20,27,7,0.5583
21,27,7,0.5589
22,27,7,0.5587
23,27,7,0.559
24,27,7,0.5594
25,27,7,0.5594
26,27,7,0.5596
27,27,7,0.5593
28,27,7,0.5593
29,27,7,0.5593
30,27,7,0.5593
10,28,7,0.5655
11,28,7,0.564
12,28,7,0.563
13,28,7,0.5628
14,28,7,0.5632
15,28,7,0.5602
16,28,7,0.5581
17,28,7,0.5587
18,28,7,0.5602
19,28,7,0.5596
20,28,7,0.5587
21,28,7,0.5587
22,28,7,0.5586
23,28,7,0.5592
24,28,7,0.5594
25,28,7,0.5591
26,28,7,0.5596
27,28,7,0.5596
28,28,7,0.5597
29,28,7,0.5597
30,28,7,0.5597
10,29,7,0.5667
11,29,7,0.5648
12,29,7,0.5627
13,29,7,0.5622
14,29,7,0.5629
15,29,7,0.5618
16,29,7,0.558
17,29,7,0.5585
18,29,7,0.5602
19,29,7,0.5597
20,29,7,0.5587
21,29,7,0.5587
22,29,7,0.559
23,29,7,0.5593
24,29,7,0.5593
25,29,7,0.5593
26,29,7,0.5595
27,29,7,0.5597
28,29,7,0.5602
29,29,7,0.5598
30,29,7,0.5598
10,30,7,0.5677
11,30,7,0.5647
12,30,7,0.5623
13,30,7,0.5629
14,30,7,0.5637
15,30,7,0.5619
