seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,2,0.5632
11,10,2,0.5632
12,10,2,0.5632
13,10,2,0.5632
14,10,2,0.5632
15,10,2,0.5632
16,10,2,0.5632
17,10,2,0.5632
18,10,2,0.5632
19,10,2,0.5632
20,10,2,0.5632
21,10,2,0.5632
22,10,2,0.5632
23,10,2,0.5632
24,10,2,0.5632
25,10,2,0.5632
26,10,2,0.5632
27,10,2,0.5632
28,10,2,0.5632
29,10,2,0.5632
30,10,2,0.5632
10,11,2,0.6052
11,11,2,0.5586
12,11,2,0.5586
13,11,2,0.5586
14,11,2,0.5586
15,11,2,0.5586
16,11,2,0.5586
17,11,2,0.5586
18,11,2,0.5586
19,11,2,0.5586
20,11,2,0.5586
21,11,2,0.5586
22,11,2,0.5586
23,11,2,0.5586
24,11,2,0.5586
25,11,2,0.5586
26,11,2,0.5586
27,11,2,0.5586
28,11,2,0.5586
29,11,2,0.5586
30,11,2,0.5586
10,12,2,0.6052
11,12,2,0.566
12,12,2,0.5584
13,12,2,0.5584
14,12,2,0.5584
15,12,2,0.5584
16,12,2,0.5584
17,12,2,0.5584
18,12,2,0.5584
19,12,2,0.5584
20,12,2,0.5584
21,12,2,0.5584
22,12,2,0.5584
23,12,2,0.5584
24,12,2,0.5584
25,12,2,0.5584
26,12,2,0.5584
27,12,2,0.5584
28,12,2,0.5584
29,12,2,0.5584
30,12,2,0.5584
10,13,2,0.6001
11,13,2,0.566
12,13,2,0.5596
13,13,2,0.5584
14,13,2,0.5584
15,13,2,0.5584
16,13,2,0.5584
17,13,2,0.5584
18,13,2,0.5584
19,13,2,0.5584
20,13,2,0.5584
21,13,2,0.5584
22,13,2,0.5584
23,13,2,0.5584
24,13,2,0.5584
25,13,2,0.5584
26,13,2,0.5584
27,13,2,0.5584
28,13,2,0.5584
29,13,2,0.5584
30,13,2,0.5584
10,14,2,0.5925
11,14,2,0.5627
12,14,2,0.5597
13,14,2,0.5585
14,14,2,0.5578
15,14,2,0.5578
16,14,2,0.5578
17,14,2,0.5578
18,14,2,0.5578
19,14,2,0.5578
20,14,2,0.5578
21,14,2,0.5578
22,14,2,0.5578
23,14,2,0.5578
24,14,2,0.5578
25,14,2,0.5578
26,14,2,0.5578
27,14,2,0.5578
28,14,2,0.5578
29,14,2,0.5578
30,14,2,0.5578
10,15,2,0.5867
11,15,2,0.5612
12,15,2,0.5597
13,15,2,0.5582
14,15,2,0.5576
15,15,2,0.5576
16,15,2,0.5576
17,15,2,0.5576
18,15,2,0.5576
19,15,2,0.5576
20,15,2,0.5576
21,15,2,0.5576
22,15,2,0.5576
23,15,2,0.5576
24,15,2,0.5576
25,15,2,0.5576
26,15,2,0.5576
27,15,2,0.5576
28,15,2,0.5576
29,15,2,0.5576
30,15,2,0.5576
10,16,2,0.5808
