seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,4,0.6047
11,10,4,0.6047
12,10,4,0.6047
13,10,4,0.6047
14,10,4,0.6047
15,10,4,0.6047
16,10,4,0.6047
17,10,4,0.6047
18,10,4,0.6047
19,10,4,0.6047
20,10,4,0.6047
21,10,4,0.6047
22,10,4,0.6047
23,10,4,0.6047
24,10,4,0.6047
25,10,4,0.6047
26,10,4,0.6047
27,10,4,0.6047
28,10,4,0.6047
29,10,4,0.6047
30,10,4,0.6047
10,11,4,0.5996
11,11,4,0.5653
12,11,4,0.5653
13,11,4,0.5653
14,11,4,0.5653
15,11,4,0.5653
16,11,4,0.5653
17,11,4,0.5653
18,11,4,0.5653
19,11,4,0.5653
20,11,4,0.5653
21,11,4,0.5653
22,11,4,0.5653
23,11,4,0.5653
24,11,4,0.5653
25,11,4,0.5653
26,11,4,0.5653
27,11,4,0.5653
28,11,4,0.5653
29,11,4,0.5653
30,11,4,0.5653
10,12,4,0.6031
11,12,4,0.568
12,12,4,0.5598
13,12,4,0.5598
14,12,4,0.5598
15,12,4,0.5598
16,12,4,0.5598
17,12,4,0.5598
18,12,4,0.5598
19,12,4,0.5598
20,12,4,0.5598
21,12,4,0.5598
22,12,4,0.5598
23,12,4,0.5598
24,12,4,0.5598
25,12,4,0.5598
26,12,4,0.5598
27,12,4,0.5598
28,12,4,0.5598
29,12,4,0.5598
30,12,4,0.5598
10,13,4,0.6004
11,13,4,0.5656
12,13,4,0.5595
13,13,4,0.5584
14,13,4,0.5584
15,13,4,0.5584
16,13,4,0.5584
17,13,4,0.5584
18,13,4,0.5584
19,13,4,0.5584
20,13,4,0.5584
21,13,4,0.5584
22,13,4,0.5584
23,13,4,0.5584
24,13,4,0.5584
25,13,4,0.5584
26,13,4,0.5584
27,13,4,0.5584
28,13,4,0.5584
29,13,4,0.5584
30,13,4,0.5584
10,14,4,0.592
11,14,4,0.5627
12,14,4,0.5597
13,14,4,0.5585
14,14,4,0.5578
15,14,4,0.5578
16,14,4,0.5578
17,14,4,0.5578
18,14,4,0.5578
19,14,4,0.5578
20,14,4,0.5578
21,14,4,0.5578
22,14,4,0.5578
23,14,4,0.5578
24,14,4,0.5578
25,14,4,0.5578
26,14,4,0.5578
27,14,4,0.5578
28,14,4,0.5578
29,14,4,0.5578
30,14,4,0.5578
10,15,4,0.5875
11,15,4,0.5612
12,15,4,0.5597
13,15,4,0.5582
14,15,4,0.5576
15,15,4,0.5575
16,15,4,0.5575
17,15,4,0.5575
18,15,4,0.5575
19,15,4,0.5575
20,15,4,0.5575
21,15,4,0.5575
22,15,4,0.5575
23,15,4,0.5575
24,15,4,0.5575
25,15,4,0.5575
26,15,4,0.5575
27,15,4,0.5575
28,15,4,0.5575
29,15,4,0.5575
30,15,4,0.5575
10,16,4,0.5805
11,16,4,0.5614
12,16,4,0.5589
13,16,4,0.5581
14,16,4,0.5575
15,16,4,0.5575
16,16,4,0.558
17,16,4,0.558
18,16,4,0.558
19,16,4,0.558
20,16,4,0.558
21,16,4,0.558
22,16,4,0.558
23,16,4,0.558
24,16,4,0.558
25,16,4,0.558
26,16,4,0.558
27,16,4,0.558
28,16,4,0.558
29,16,4,0.558
30,16,4,0.558
10,17,4,0.5784
11,17,4,0.5628
12,17,4,0.5581
13,17,4,0.5585
14,17,4,0.5577
15,17,4,0.5577
16,17,4,0.5583
17,17,4,0.5577
18,17,4,0.5577
19,17,4,0.5577
20,17,4,0.5577
21,17,4,0.5577
22,17,4,0.5577
23,17,4,0.5577
24,17,4,0.5577
25,17,4,0.5577
26,17,4,0.5577
27,17,4,0.5577
28,17,4,0.5577
29,17,4,0.5577
30,17,4,0.5577
10,18,4,0.5783
11,18,4,0.5608
12,18,4,0.5589
13,18,4,0.5583
14,18,4,0.558
15,18,4,0.5578
16,18,4,0.5584
17,18,4,0.5578
18,18,4,0.5582
19,18,4,0.5582
20,18,4,0.5582
21,18,4,0.5582
22,18,4,0.5582
23,18,4,0.5582
24,18,4,0.5582
25,18,4,0.5582
26,18,4,0.5582
27,18,4,0.5582
28,18,4,0.5582
29,18,4,0.5582
30,18,4,0.5582
10,19,4,0.5801
11,19,4,0.5599
12,19,4,0.5588
13,19,4,0.5589
14,19,4,0.5578
15,19,4,0.5581
16,19,4,0.5585
17,19,4,0.5582
18,19,4,0.5581
19,19,4,0.5582
20,19,4,0.5582
21,19,4,0.5582
22,19,4,0.5582
23,19,4,0.5582
24,19,4,0.5582
25,19,4,0.5582
26,19,4,0.5582
27,19,4,0.5582
28,19,4,0.5582
29,19,4,0.5582
30,19,4,0.5582
10,20,4,0.5778
11,20,4,0.5595
12,20,4,0.5587
13,20,4,0.5586
14,20,4,0.5577
15,20,4,0.5581
16,20,4,0.5583
17,20,4,0.5586
18,20,4,0.5582
19,20,4,0.5585
20,20,4,0.5583
21,20,4,0.5583
22,20,4,0.5583
23,20,4,0.5583
24,20,4,0.5583
25,20,4,0.5583
26,20,4,0.5583
27,20,4,0.5583
28,20,4,0.5583
29,20,4,0.5583
30,20,4,0.5583
10,21,4,0.5759
11,21,4,0.5604
12,21,4,0.5586
13,21,4,0.5586
14,21,4,0.5581
15,21,4,0.5578
16,21,4,0.5588
17,21,4,0.5585
18,21,4,0.5589
19,21,4,0.5583
20,21,4,0.5586
21,21,4,0.5588
22,21,4,0.5588
23,21,4,0.5588
24,21,4,0.5588
25,21,4,0.5588
26,21,4,0.5588
27,21,4,0.5588
28,21,4,0.5588
29,21,4,0.5588
30,21,4,0.5588
10,22,4,0.5735
11,22,4,0.5616
12,22,4,0.5592
13,22,4,0.5588
14,22,4,0.5585
15,22,4,0.5579
16,22,4,0.5589
17,22,4,0.5581
18,22,4,0.5588
19,22,4,0.5583
20,22,4,0.5585
21,22,4,0.5587
22,22,4,0.5588
23,22,4,0.5588
24,22,4,0.5588
25,22,4,0.5588
26,22,4,0.5588
27,22,4,0.5588
28,22,4,0.5588
29,22,4,0.5588
30,22,4,0.5588
10,23,4,0.571
11,23,4,0.5624
12,23,4,0.5606
13,23,4,0.5589
14,23,4,0.559
15,23,4,0.558
16,23,4,0.5587
17,23,4,0.5581
18,23,4,0.5591
19,23,4,0.5588
20,23,4,0.5587
21,23,4,0.5589
22,23,4,0.5587
23,23,4,0.559
24,23,4,0.559
25,23,4,0.559
26,23,4,0.559
27,23,4,0.559
28,23,4,0.559
29,23,4,0.559
30,23,4,0.559
10,24,4,0.5675
11,24,4,0.563
12,24,4,0.5621
13,24,4,0.5597
14,24,4,0.5596
15,24,4,0.5592
16,24,4,0.5581
17,24,4,0.558
18,24,4,0.559
19,24,4,0.5588
20,24,4,0.5588
21,24,4,0.5587
22,24,4,0.5585
23,24,4,0.559
24,24,4,0.559
25,24,4,0.559
26,24,4,0.559
27,24,4,0.559
28,24,4,0.559
29,24,4,0.559
30,24,4,0.559
10,25,4,0.5687
11,25,4,0.5638
12,25,4,0.5625
13,25,4,0.5613
14,25,4,0.5596
15,25,4,0.5594
16,25,4,0.5587
17,25,4,0.5586
18,25,4,0.5592
19,25,4,0.559
20,25,4,0.558
21,25,4,0.5583
22,25,4,0.5587
23,25,4,0.559
24,25,4,0.5593
25,25,4,0.5591
26,25,4,0.5591
27,25,4,0.5591
28,25,4,0.5591
29,25,4,0.5591
30,25,4,0.5591
10,26,4,0.5675
11,26,4,0.5648
12,26,4,0.5627
13,26,4,0.5625
14,26,4,0.5601
15,26,4,0.5597
16,26,4,0.5586
17,26,4,0.5589
18,26,4,0.5594
