seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,9,0.6049
11,10,9,0.6049
12,10,9,0.6049
13,10,9,0.6049
14,10,9,0.6049
15,10,9,0.6049
16,10,9,0.6049
17,10,9,0.6049
18,10,9,0.6049
19,10,9,0.6049
20,10,9,0.6049
21,10,9,0.6049
22,10,9,0.6049
23,10,9,0.6049
24,10,9,0.6049
25,10,9,0.6049
26,10,9,0.6049
27,10,9,0.6049
28,10,9,0.6049
29,10,9,0.6049
30,10,9,0.6049
10,11,9,0.5999
11,11,9,0.5653
12,11,9,0.5653
13,11,9,0.5653
14,11,9,0.5653
15,11,9,0.5653
16,11,9,0.5653
17,11,9,0.5653
18,11,9,0.5653
19,11,9,0.5653
20,11,9,0.5653
21,11,9,0.5653
22,11,9,0.5653
23,11,9,0.5653
24,11,9,0.5653
25,11,9,0.5653
26,11,9,0.5653
27,11,9,0.5653
28,11,9,0.5653
29,11,9,0.5653
30,11,9,0.5653
10,12,9,0.6035
11,12,9,0.568
12,12,9,0.5598
13,12,9,0.5598
14,12,9,0.5598
15,12,9,0.5598
16,12,9,0.5598
17,12,9,0.5598
18,12,9,0.5598
19,12,9,0.5598
20,12,9,0.5598
21,12,9,0.5598
22,12,9,0.5598
23,12,9,0.5598
24,12,9,0.5598
25,12,9,0.5598
26,12,9,0.5598
27,12,9,0.5598
28,12,9,0.5598
29,12,9,0.5598
30,12,9,0.5598
10,13,9,0.6001
11,13,9,0.5655
12,13,9,0.5595
13,13,9,0.5584
14,13,9,0.5584
15,13,9,0.5584
16,13,9,0.5584
17,13,9,0.5584
18,13,9,0.5584
19,13,9,0.5584
20,13,9,0.5584
21,13,9,0.5584
22,13,9,0.5584
23,13,9,0.5584
24,13,9,0.5584
25,13,9,0.5584
26,13,9,0.5584
27,13,9,0.5584
28,13,9,0.5584
29,13,9,0.5584
30,13,9,0.5584
10,14,9,0.593
11,14,9,0.5627
12,14,9,0.5597
13,14,9,0.5585
14,14,9,0.5578
15,14,9,0.5578
16,14,9,0.5578
17,14,9,0.5578
18,14,9,0.5578
19,14,9,0.5578
20,14,9,0.5578
21,14,9,0.5578
22,14,9,0.5578
23,14,9,0.5578
24,14,9,0.5578
25,14,9,0.5578
26,14,9,0.5578
27,14,9,0.5578
28,14,9,0.5578
29,14,9,0.5578
30,14,9,0.5578
10,15,9,0.5874
11,15,9,0.5612
12,15,9,0.5597
13,15,9,0.5582
14,15,9,0.5576
15,15,9,0.5575
16,15,9,0.5575
17,15,9,0.5575
18,15,9,0.5575
19,15,9,0.5575
20,15,9,0.5575
21,15,9,0.5575
22,15,9,0.5575
23,15,9,0.5575
24,15,9,0.5575
25,15,9,0.5575
26,15,9,0.5575
27,15,9,0.5575
28,15,9,0.5575
29,15,9,0.5575
30,15,9,0.5575
10,16,9,0.5813
11,16,9,0.5614
12,16,9,0.5589
13,16,9,0.5581
14,16,9,0.5575
15,16,9,0.5575
16,16,9,0.558
17,16,9,0.558
18,16,9,0.558
19,16,9,0.558
20,16,9,0.558
21,16,9,0.558
22,16,9,0.558
23,16,9,0.558
24,16,9,0.558
25,16,9,0.558
26,16,9,0.558
27,16,9,0.558
28,16,9,0.558
29,16,9,0.558
30,16,9,0.558
10,17,9,0.5787
11,17,9,0.5628
12,17,9,0.5581
13,17,9,0.5585
14,17,9,0.5577
15,17,9,0.5577
16,17,9,0.5583
17,17,9,0.5577
18,17,9,0.5577
19,17,9,0.5577
20,17,9,0.5577
21,17,9,0.5577
22,17,9,0.5577
23,17,9,0.5577
24,17,9,0.5577
25,17,9,0.5577
26,17,9,0.5577
27,17,9,0.5577
28,17,9,0.5577
29,17,9,0.5577
30,17,9,0.5577
10,18,9,0.5782
11,18,9,0.5608
12,18,9,0.5589
13,18,9,0.5583
14,18,9,0.558
15,18,9,0.5578
16,18,9,0.5584
17,18,9,0.5578
18,18,9,0.5582
19,18,9,0.5582
20,18,9,0.5582
21,18,9,0.5582
22,18,9,0.5582
23,18,9,0.5582
24,18,9,0.5582
25,18,9,0.5582
26,18,9,0.5582
27,18,9,0.5582
28,18,9,0.5582
29,18,9,0.5582
30,18,9,0.5582
10,19,9,0.5803
11,19,9,0.5599
12,19,9,0.5588
13,19,9,0.5589
14,19,9,0.5578
15,19,9,0.5581
16,19,9,0.5585
17,19,9,0.5582
18,19,9,0.5581
19,19,9,0.5582
20,19,9,0.5582
21,19,9,0.5582
22,19,9,0.5582
23,19,9,0.5582
24,19,9,0.5582
25,19,9,0.5582
26,19,9,0.5582
27,19,9,0.5582
28,19,9,0.5582
29,19,9,0.5582
30,19,9,0.5582
10,20,9,0.5778
11,20,9,0.5595
12,20,9,0.5587
13,20,9,0.5586
14,20,9,0.5577
15,20,9,0.5581
16,20,9,0.5583
17,20,9,0.5586
18,20,9,0.5582
19,20,9,0.5585
20,20,9,0.5583
21,20,9,0.5583
22,20,9,0.5583
23,20,9,0.5583
24,20,9,0.5583
25,20,9,0.5583
26,20,9,0.5583
27,20,9,0.5583
28,20,9,0.5583
29,20,9,0.5583
30,20,9,0.5583
10,21,9,0.576
11,21,9,0.5604
12,21,9,0.5586
13,21,9,0.5586
14,21,9,0.5581
15,21,9,0.5578
16,21,9,0.5588
17,21,9,0.5585
18,21,9,0.5589
19,21,9,0.5583
20,21,9,0.5586
21,21,9,0.5588
22,21,9,0.5588
23,21,9,0.5588
24,21,9,0.5588
25,21,9,0.5588
26,21,9,0.5588
27,21,9,0.5588
28,21,9,0.5588
29,21,9,0.5588
30,21,9,0.5588
10,22,9,0.5734
11,22,9,0.5616
12,22,9,0.5592
13,22,9,0.5588
14,22,9,0.5585
15,22,9,0.5579
16,22,9,0.5589
17,22,9,0.5581
18,22,9,0.5588
19,22,9,0.5583
20,22,9,0.5585
21,22,9,0.5587
22,22,9,0.5588
23,22,9,0.5588
24,22,9,0.5588
25,22,9,0.5588
26,22,9,0.5588
27,22,9,0.5588
28,22,9,0.5588
29,22,9,0.5588
30,22,9,0.5588
10,23,9,0.5697
11,23,9,0.5624
12,23,9,0.5606
13,23,9,0.5589
14,23,9,0.559
15,23,9,0.558
16,23,9,0.5587
17,23,9,0.5581
18,23,9,0.5591
19,23,9,0.5588
20,23,9,0.5587
21,23,9,0.5589
22,23,9,0.5587
23,23,9,0.559
24,23,9,0.559
25,23,9,0.559
26,23,9,0.559
27,23,9,0.559
28,23,9,0.559
29,23,9,0.559
30,23,9,0.559
10,24,9,0.5676
11,24,9,0.563
12,24,9,0.5621
13,24,9,0.5597
14,24,9,0.5596
15,24,9,0.5592
16,24,9,0.5581
17,24,9,0.558
18,24,9,0.559
19,24,9,0.5588
20,24,9,0.5588
21,24,9,0.5587
22,24,9,0.5585
23,24,9,0.559
24,24,9,0.559
25,24,9,0.559
26,24,9,0.559
27,24,9,0.559
28,24,9,0.559
29,24,9,0.559
30,24,9,0.559
10,25,9,0.5686
11,25,9,0.5638
12,25,9,0.5625
13,25,9,0.5613
14,25,9,0.5596
15,25,9,0.5594
16,25,9,0.5587
17,25,9,0.5586
18,25,9,0.5592
19,25,9,0.559
20,25,9,0.558
21,25,9,0.5583
22,25,9,0.5587
23,25,9,0.559
24,25,9,0.5593
25,25,9,0.5591
26,25,9,0.5591
27,25,9,0.5591
28,25,9,0.5591
29,25,9,0.5591
30,25,9,0.5591
10,26,9,0.5675
11,26,9,0.5648
12,26,9,0.5627
13,26,9,0.5625
14,26,9,0.5601
15,26,9,0.5597
16,26,9,0.5586
17,26,9,0.5589
18,26,9,0.5594
19,26,9,0.5586
20,26,9,0.5584
21,26,9,0.5586
22,26,9,0.5589
23,26,9,0.5592
24,26,9,0.5597
25,26,9,0.5595
26,26,9,0.5594
27,26,9,0.5594
28,26,9,0.5594
29,26,9,0.5594
30,26,9,0.5594
10,27,9,0.5662
11,27,9,0.5656
12,27,9,0.5626
13,27,9,0.5646
14,27,9,0.5611
15,27,9,0.5601
16,27,9,0.5582
17,27,9,0.5586
18,27,9,0.56
19,27,9,0.5591
20,27,9,0.5583
21,27,9,0.5589
22,27,9,0.5587
23,27,9,0.559
24,27,9,0.5594
25,27,9,0.5594
26,27,9,0.5596
27,27,9,0.5593
28,27,9,0.5593
29,27,9,0.5593
30,27,9,0.5593
10,28,9,0.5654
11,28,9,0.564
12,28,9,0.563
13,28,9,0.5628
14,28,9,0.5632
15,28,9,0.5602
16,28,9,0.5581
17,28,9,0.5587
18,28,9,0.5602
19,28,9,0.5596
20,28,9,0.5587
21,28,9,0.5587
22,28,9,0.5586
23,28,9,0.5592
24,28,9,0.5594
25,28,9,0.5591
26,28,9,0.5596
27,28,9,0.5596
28,28,9,0.5597
29,28,9,0.5597
30,28,9,0.5597
10,29,9,0.5669
11,29,9,0.5648
12,29,9,0.5627
13,29,9,0.5622
14,29,9,0.5629
15,29,9,0.5618
16,29,9,0.558
17,29,9,0.5585
18,29,9,0.5602
19,29,9,0.5597
20,29,9,0.5587
21,29,9,0.5587
22,29,9,0.559
23,29,9,0.5593
24,29,9,0.5593
25,29,9,0.5593
26,29,9,0.5595
27,29,9,0.5597
28,29,9,0.5602
29,29,9,0.5598
30,29,9,0.5598
10,30,9,0.5677
11,30,9,0.5647
12,30,9,0.5623
13,30,9,0.5629
14,30,9,0.5637
15,30,9,0.5619
16,30,9,0.5582
17,30,9,0.5588
18,30,9,0.5602
19,30,9,0.5595
20,30,9,0.559
21,30,9,0.5587
22,30,9,0.5591
23,30,9,0.5592
24,30,9,0.5594
25,30,9,0.5598
26,30,9,0.5597
27,30,9,0.5598
28,30,9,0.5606
29,30,9,0.5597
30,30,9,0.5599
10,31,9,0.5691
11,31,9,0.565
12,31,9,0.5631
13,31,9,0.5634
14,31,9,0.5639
15,31,9,0.5621
16,31,9,0.5585
17,31,9,0.5593
18,31,9,0.5598
19,31,9,0.5598
20,31,9,0.5594
21,31,9,0.5591
22,31,9,0.5589
23,31,9,0.5594
24,31,9,0.5597
25,31,9,0.5597
26,31,9,0.56
27,31,9,0.5592
28,31,9,0.5604
29,31,9,0.5602
30,31,9,0.5603
10,32,9,0.5699
11,32,9,0.5652
12,32,9,0.5626
13,32,9,0.5635
14,32,9,0.5639
15,32,9,0.563
16,32,9,0.5595
17,32,9,0.5593
18,32,9,0.5599
19,32,9,0.5595
20,32,9,0.5599
21,32,9,0.559
22,32,9,0.5591
23,32,9,0.5592
24,32,9,0.5597
25,32,9,0.5601
26,32,9,0.5598
27,32,9,0.5597
28,32,9,0.5607
29,32,9,0.5604
30,32,9,0.5604
10,33,9,0.571
11,33,9,0.5655
12,33,9,0.5629
13,33,9,0.5649
14,33,9,0.5637
15,33,9,0.5629
16,33,9,0.5595
17,33,9,0.5595
18,33,9,0.56
19,33,9,0.5603
20,33,9,0.5605
21,33,9,0.559
22,33,9,0.5591
23,33,9,0.5594
24,33,9,0.5594
25,33,9,0.5603
26,33,9,0.5603
27,33,9,0.5602
28,33,9,0.5608
29,33,9,0.5606
30,33,9,0.5603
10,34,9,0.5692
11,34,9,0.5661
12,34,9,0.5629
13,34,9,0.5649
14,34,9,0.5632
15,34,9,0.5641
16,34,9,0.5606
17,34,9,0.56
18,34,9,0.5602
19,34,9,0.5605
20,34,9,0.5602
21,34,9,0.5593
22,34,9,0.5595
23,34,9,0.5591
24,34,9,0.5593
25,34,9,0.5606
26,34,9,0.5605
27,34,9,0.5602
28,34,9,0.5606
29,34,9,0.5608
30,34,9,0.5605
10,35,9,0.5679
11,35,9,0.5652
12,35,9,0.5639
13,35,9,0.566
14,35,9,0.564
15,35,9,0.565
16,35,9,0.5626
17,35,9,0.5601
18,35,9,0.5611
19,35,9,0.5601
20,35,9,0.5601
21,35,9,0.5592
22,35,9,0.5591
23,35,9,0.5591
24,35,9,0.559
25,35,9,0.5604
26,35,9,0.5603
27,35,9,0.5604
28,35,9,0.5606
29,35,9,0.5605
30,35,9,0.561
10,36,9,0.5686
11,36,9,0.5652
12,36,9,0.564
13,36,9,0.5655
14,36,9,0.564
15,36,9,0.5645
16,36,9,0.5616
17,36,9,0.5599
18,36,9,0.5619
19,36,9,0.5597
20,36,9,0.5605
21,36,9,0.5589
22,36,9,0.5594
23,36,9,0.5593
24,36,9,0.5593
25,36,9,0.5601
26,36,9,0.5604
27,36,9,0.5604
28,36,9,0.5609
29,36,9,0.5606
30,36,9,0.5616
10,37,9,0.5684
11,37,9,0.5641
12,37,9,0.564
13,37,9,0.5651
14,37,9,0.5649
15,37,9,0.5639
16,37,9,0.5614
17,37,9,0.5603
18,37,9,0.5622
19,37,9,0.5604
20,37,9,0.5609
21,37,9,0.5591
22,37,9,0.5595
23,37,9,0.5596
24,37,9,0.5594
25,37,9,0.5602
26,37,9,0.5604
27,37,9,0.5606
28,37,9,0.5608
29,37,9,0.5606
30,37,9,0.5615
10,38,9,0.5674
11,38,9,0.5641
12,38,9,0.5624
13,38,9,0.5649
14,38,9,0.5648
15,38,9,0.5645
16,38,9,0.561
17,38,9,0.5609
18,38,9,0.5632
19,38,9,0.561
20,38,9,0.5606
21,38,9,0.5596
22,38,9,0.5596
23,38,9,0.5601
24,38,9,0.5599
25,38,9,0.5603
26,38,9,0.5607
27,38,9,0.561
28,38,9,0.5611
29,38,9,0.5611
30,38,9,0.5617
10,39,9,0.5673
11,39,9,0.5649
12,39,9,0.5627
13,39,9,0.5653
14,39,9,0.5651
15,39,9,0.5647
16,39,9,0.5621
17,39,9,0.5617
18,39,9,0.5637
19,39,9,0.5612
20,39,9,0.562
21,39,9,0.5598
22,39,9,0.5594
23,39,9,0.5599
24,39,9,0.5605
25,39,9,0.5603
26,39,9,0.5608
27,39,9,0.561
28,39,9,0.5613
29,39,9,0.561
30,39,9,0.562
10,40,9,0.5678
11,40,9,0.5652
12,40,9,0.5625
13,40,9,0.5654
14,40,9,0.5664
15,40,9,0.5649
16,40,9,0.5627
17,40,9,0.561
18,40,9,0.5644
19,40,9,0.5622
20,40,9,0.562
21,40,9,0.5598
22,40,9,0.5597
23,40,9,0.5599
24,40,9,0.5601
25,40,9,0.5608
26,40,9,0.5612
27,40,9,0.561
28,40,9,0.5615
29,40,9,0.5614
30,40,9,0.5618
