seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,6,0.6043
11,10,6,0.6043
12,10,6,0.6043
13,10,6,0.6043
14,10,6,0.6043
15,10,6,0.6043
16,10,6,0.6043
17,10,6,0.6043
18,10,6,0.6043
19,10,6,0.6043
20,10,6,0.6043
21,10,6,0.6043
22,10,6,0.6043
23,10,6,0.6043
24,10,6,0.6043
25,10,6,0.6043
26,10,6,0.6043
27,10,6,0.6043
28,10,6,0.6043
29,10,6,0.6043
30,10,6,0.6043
10,11,6,0.5997
11,11,6,0.5653
12,11,6,0.5653
13,11,6,0.5653
14,11,6,0.5653
15,11,6,0.5653
16,11,6,0.5653
17,11,6,0.5653
18,11,6,0.5653
19,11,6,0.5653
20,11,6,0.5653
21,11,6,0.5653
22,11,6,0.5653
23,11,6,0.5653
24,11,6,0.5653
25,11,6,0.5653
26,11,6,0.5653
27,11,6,0.5653
28,11,6,0.5653
29,11,6,0.5653
30,11,6,0.5653
10,12,6,0.6034
11,12,6,0.568
12,12,6,0.5598
13,12,6,0.5598
14,12,6,0.5598
15,12,6,0.5598
16,12,6,0.5598
17,12,6,0.5598
18,12,6,0.5598
19,12,6,0.5598
20,12,6,0.5598
21,12,6,0.5598
22,12,6,0.5598
23,12,6,0.5598
24,12,6,0.5598
25,12,6,0.5598
26,12,6,0.5598
27,12,6,0.5598
28,12,6,0.5598
29,12,6,0.5598
30,12,6,0.5598
10,13,6,0.6005
11,13,6,0.5655
12,13,6,0.5595
13,13,6,0.5584
14,13,6,0.5584
15,13,6,0.5584
16,13,6,0.5584
17,13,6,0.5584
18,13,6,0.5584
19,13,6,0.5584
20,13,6,0.5584
21,13,6,0.5584
22,13,6,0.5584
23,13,6,0.5584
24,13,6,0.5584
25,13,6,0.5584
26,13,6,0.5584
27,13,6,0.5584
28,13,6,0.5584
29,13,6,0.5584
30,13,6,0.5584
10,14,6,0.5923
11,14,6,0.5627
12,14,6,0.5597
13,14,6,0.5585
14,14,6,0.5578
15,14,6,0.5578
16,14,6,0.5578
17,14,6,0.5578
18,14,6,0.5578
19,14,6,0.5578
20,14,6,0.5578
21,14,6,0.5578
22,14,6,0.5578
23,14,6,0.5578
24,14,6,0.5578
25,14,6,0.5578
26,14,6,0.5578
27,14,6,0.5578
28,14,6,0.5578
29,14,6,0.5578
30,14,6,0.5578
10,15,6,0.5866
11,15,6,0.5613
12,15,6,0.5597
13,15,6,0.5582
14,15,6,0.5576
15,15,6,0.5575
16,15,6,0.5575
17,15,6,0.5575
18,15,6,0.5575
19,15,6,0.5575
20,15,6,0.5575
21,15,6,0.5575
22,15,6,0.5575
23,15,6,0.5575
24,15,6,0.5575
25,15,6,0.5575
26,15,6,0.5575
27,15,6,0.5575
28,15,6,0.5575
29,15,6,0.5575
30,15,6,0.5575
10,16,6,0.5814
11,16,6,0.5614
12,16,6,0.5589
13,16,6,0.5581
14,16,6,0.5575
15,16,6,0.5575
16,16,6,0.558
17,16,6,0.558
18,16,6,0.558
19,16,6,0.558
20,16,6,0.558
21,16,6,0.558
22,16,6,0.558
23,16,6,0.558
24,16,6,0.558
25,16,6,0.558
26,16,6,0.558
27,16,6,0.558
28,16,6,0.558
29,16,6,0.558
30,16,6,0.558
10,17,6,0.5783
11,17,6,0.5628
12,17,6,0.5581
13,17,6,0.5585
14,17,6,0.5577
15,17,6,0.5577
16,17,6,0.5583
17,17,6,0.5577
18,17,6,0.5577
19,17,6,0.5577
20,17,6,0.5577
21,17,6,0.5577
22,17,6,0.5577
23,17,6,0.5577
24,17,6,0.5577
25,17,6,0.5577
26,17,6,0.5577
27,17,6,0.5577
28,17,6,0.5577
29,17,6,0.5577
30,17,6,0.5577
10,18,6,0.5782
11,18,6,0.5608
12,18,6,0.5589
13,18,6,0.5583
14,18,6,0.558
15,18,6,0.5578
16,18,6,0.5584
17,18,6,0.5578
18,18,6,0.5582
19,18,6,0.5582
20,18,6,0.5582
21,18,6,0.5582
22,18,6,0.5582
23,18,6,0.5582
24,18,6,0.5582
25,18,6,0.5582
26,18,6,0.5582
27,18,6,0.5582
28,18,6,0.5582
29,18,6,0.5582
30,18,6,0.5582
10,19,6,0.5802
11,19,6,0.5599
12,19,6,0.5588
13,19,6,0.5589
14,19,6,0.5578
15,19,6,0.5581
16,19,6,0.5585
17,19,6,0.5582
18,19,6,0.5581
19,19,6,0.5582
20,19,6,0.5582
21,19,6,0.5582
22,19,6,0.5582
23,19,6,0.5582
24,19,6,0.5582
25,19,6,0.5582
26,19,6,0.5582
27,19,6,0.5582
28,19,6,0.5582
29,19,6,0.5582
30,19,6,0.5582
10,20,6,0.5778
11,20,6,0.5595
12,20,6,0.5587
13,20,6,0.5586
14,20,6,0.5577
15,20,6,0.5581
16,20,6,0.5583
17,20,6,0.5586
18,20,6,0.5582
19,20,6,0.5585
20,20,6,0.5583
21,20,6,0.5583
22,20,6,0.5583
23,20,6,0.5583
24,20,6,0.5583
25,20,6,0.5583
26,20,6,0.5583
27,20,6,0.5583
28,20,6,0.5583
29,20,6,0.5583
30,20,6,0.5583
10,21,6,0.5758
11,21,6,0.5604
12,21,6,0.5586
13,21,6,0.5586
14,21,6,0.5581
15,21,6,0.5578
16,21,6,0.5588
17,21,6,0.5585
18,21,6,0.5589
19,21,6,0.5583
20,21,6,0.5586
21,21,6,0.5588
22,21,6,0.5588
23,21,6,0.5588
24,21,6,0.5588
25,21,6,0.5588
26,21,6,0.5588
27,21,6,0.5588
28,21,6,0.5588
29,21,6,0.5588
30,21,6,0.5588
10,22,6,0.5736
11,22,6,0.5616
12,22,6,0.5592
13,22,6,0.5588
14,22,6,0.5585
15,22,6,0.5579
16,22,6,0.5589
17,22,6,0.5581
18,22,6,0.5588
19,22,6,0.5583
20,22,6,0.5585
21,22,6,0.5587
22,22,6,0.5588
23,22,6,0.5588
24,22,6,0.5588
25,22,6,0.5588
26,22,6,0.5588
27,22,6,0.5588
28,22,6,0.5588
29,22,6,0.5588
30,22,6,0.5588
10,23,6,0.5706
11,23,6,0.5624
12,23,6,0.5606
13,23,6,0.5589
14,23,6,0.559
15,23,6,0.558
