seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,6,0.1341
11,10,6,0.1341
12,10,6,0.1341
13,10,6,0.1341
14,10,6,0.1341
15,10,6,0.1341
16,10,6,0.1341
17,10,6,0.1341
18,10,6,0.1341
19,10,6,0.1341
20,10,6,0.1341
21,10,6,0.1341
22,10,6,0.1341
23,10,6,0.1341
24,10,6,0.1341
25,10,6,0.1341
26,10,6,0.1341
27,10,6,0.1341
28,10,6,0.1341
29,10,6,0.1341
30,10,6,0.1341
10,11,6,0.984
11,11,6,0.134
12,11,6,0.134
13,11,6,0.134
14,11,6,0.134
15,11,6,0.134
16,11,6,0.134
17,11,6,0.134
18,11,6,0.134
19,11,6,0.134
20,11,6,0.134
21,11,6,0.134
22,11,6,0.134
23,11,6,0.134
24,11,6,0.134
25,11,6,0.134
26,11,6,0.134
27,11,6,0.134
28,11,6,0.134
29,11,6,0.134
30,11,6,0.134
10,12,6,0.9833
11,12,6,0.984
12,12,6,0.133
13,12,6,0.133
14,12,6,0.133
15,12,6,0.133
16,12,6,0.133
17,12,6,0.133
18,12,6,0.133
19,12,6,0.133
20,12,6,0.133
21,12,6,0.133
22,12,6,0.133
23,12,6,0.133
24,12,6,0.133
25,12,6,0.133
26,12,6,0.133
27,12,6,0.133
28,12,6,0.133
29,12,6,0.133
30,12,6,0.133
10,13,6,0.9844
11,13,6,0.9854
12,13,6,0.9841
13,13,6,0.1335
14,13,6,0.1335
15,13,6,0.1335
16,13,6,0.1335
17,13,6,0.1335
18,13,6,0.1335
19,13,6,0.1335
20,13,6,0.1335
21,13,6,0.1335
22,13,6,0.1335
23,13,6,0.1335
24,13,6,0.1335
25,13,6,0.1335
26,13,6,0.1335
27,13,6,0.1335
28,13,6,0.1335
29,13,6,0.1335
30,13,6,0.1335
10,14,6,0.9829
11,14,6,0.9832
12,14,6,0.9834
13,14,6,0.6224
14,14,6,0.1339
15,14,6,0.1339
16,14,6,0.1339
17,14,6,0.1339
18,14,6,0.1339
19,14,6,0.1339
20,14,6,0.1339
21,14,6,0.1339
22,14,6,0.1339
23,14,6,0.1339
24,14,6,0.1339
25,14,6,0.1339
26,14,6,0.1339
27,14,6,0.1339
28,14,6,0.1339
29,14,6,0.1339
30,14,6,0.1339
10,15,6,0.9845
11,15,6,0.9834
12,15,6,0.9835
13,15,6,0.9825
14,15,6,0.6235
15,15,6,0.1607
16,15,6,0.1607
17,15,6,0.1607
18,15,6,0.1607
19,15,6,0.1607
20,15,6,0.1607
21,15,6,0.1607
22,15,6,0.1607
23,15,6,0.1607
24,15,6,0.1607
25,15,6,0.1607
26,15,6,0.1607
27,15,6,0.1607
28,15,6,0.1607
29,15,6,0.1607
30,15,6,0.1607
10,16,6,0.9844
11,16,6,0.9828
12,16,6,0.1338
13,16,6,0.9828
14,16,6,0.9835
15,16,6,0.8281
16,16,6,0.1608
17,16,6,0.1608
18,16,6,0.1608
19,16,6,0.1608
20,16,6,0.1608
21,16,6,0.1608
22,16,6,0.1608
23,16,6,0.1608
24,16,6,0.1608
25,16,6,0.1608
26,16,6,0.1608
27,16,6,0.1608
28,16,6,0.1608
29,16,6,0.1608
30,16,6,0.1608
10,17,6,0.261
11,17,6,0.9837
12,17,6,0.9835
13,17,6,0.9831
14,17,6,0.2604
15,17,6,0.9841
16,17,6,0.261
17,17,6,0.1609
18,17,6,0.1609
19,17,6,0.1609
20,17,6,0.1609
21,17,6,0.1609
22,17,6,0.1609
23,17,6,0.1609
24,17,6,0.1609
25,17,6,0.1609
26,17,6,0.1609
27,17,6,0.1609
28,17,6,0.1609
29,17,6,0.1609
30,17,6,0.1609
10,18,6,0.2608
11,18,6,0.9837
12,18,6,0.9835
13,18,6,0.1335
14,18,6,0.983
15,18,6,0.9838
16,18,6,0.9844
17,18,6,0.9854
18,18,6,0.1608
19,18,6,0.1608
20,18,6,0.1608
21,18,6,0.1608
22,18,6,0.1608
23,18,6,0.1608
24,18,6,0.1608
25,18,6,0.1608
26,18,6,0.1608
27,18,6,0.1608
28,18,6,0.1608
29,18,6,0.1608
30,18,6,0.1608
10,19,6,0.9828
11,19,6,0.9842
12,19,6,0.9828
13,19,6,0.9829
14,19,6,0.9835
15,19,6,0.9833
16,19,6,0.9845
17,19,6,0.9841
18,19,6,0.7102
19,19,6,0.1609
20,19,6,0.1609
21,19,6,0.1609
22,19,6,0.1609
23,19,6,0.1609
24,19,6,0.1609
25,19,6,0.1609
26,19,6,0.1609
27,19,6,0.1609
28,19,6,0.1609
29,19,6,0.1609
30,19,6,0.1609
10,20,6,0.9838
11,20,6,0.9828
12,20,6,0.9808
13,20,6,0.9828
14,20,6,0.983
15,20,6,0.9829
16,20,6,0.7095
17,20,6,0.8145
18,20,6,0.6241
19,20,6,0.9846
20,20,6,0.1452
21,20,6,0.1452
22,20,6,0.1452
23,20,6,0.1452
24,20,6,0.1452
25,20,6,0.1452
26,20,6,0.1452
27,20,6,0.1452
28,20,6,0.1452
29,20,6,0.1452
30,20,6,0.1452
10,21,6,0.9831
11,21,6,0.9827
12,21,6,0.9807
13,21,6,0.1335
14,21,6,0.6223
15,21,6,0.9841
16,21,6,0.8281
17,21,6,0.814
18,21,6,0.2612
19,21,6,0.3254
20,21,6,0.9844
21,21,6,0.1331
22,21,6,0.1331
23,21,6,0.1331
24,21,6,0.1331
25,21,6,0.1331
26,21,6,0.1331
27,21,6,0.1331
28,21,6,0.1331
29,21,6,0.1331
30,21,6,0.1331
10,22,6,0.9829
11,22,6,0.9824
12,22,6,0.9812
13,22,6,0.1336
14,22,6,0.6215
15,22,6,0.9838
16,22,6,0.9833
17,22,6,0.9841
18,22,6,0.2608
19,22,6,0.6233
20,22,6,0.6235
21,22,6,0.133
22,22,6,0.1331
23,22,6,0.1331
24,22,6,0.1331
25,22,6,0.1331
26,22,6,0.1331
27,22,6,0.1331
28,22,6,0.1331
29,22,6,0.1331
30,22,6,0.1331
10,23,6,0.9824
11,23,6,0.9824
12,23,6,0.6215
13,23,6,0.1335
14,23,6,0.6221
15,23,6,0.9825
16,23,6,0.1326
17,23,6,0.984
18,23,6,0.9841
19,23,6,0.9843
20,23,6,0.9852
21,23,6,0.9848
22,23,6,0.1327
23,23,6,0.1331
24,23,6,0.1331
25,23,6,0.1331
26,23,6,0.1331
27,23,6,0.1331
28,23,6,0.1331
29,23,6,0.1331
30,23,6,0.1331
10,24,6,0.1333
11,24,6,0.1334
12,24,6,0.6212
13,24,6,0.1332
14,24,6,0.6219
15,24,6,0.9829
16,24,6,0.1325
17,24,6,0.9837
18,24,6,0.2608
19,24,6,0.9843
20,24,6,0.6239
21,24,6,0.1329
22,24,6,0.9848
23,24,6,0.1329
24,24,6,0.1331
25,24,6,0.1331
26,24,6,0.1331
27,24,6,0.1331
28,24,6,0.1331
29,24,6,0.1331
30,24,6,0.1331
10,25,6,0.9828
11,25,6,0.9802
12,25,6,0.2592
13,25,6,0.6216
14,25,6,0.6221
15,25,6,0.9827
16,25,6,0.6231
17,25,6,0.9834
18,25,6,0.2607
19,25,6,0.9842
20,25,6,0.985
21,25,6,0.9846
22,25,6,0.9845
23,25,6,0.9851
24,25,6,0.1329
25,25,6,0.133
26,25,6,0.133
27,25,6,0.133
28,25,6,0.133
29,25,6,0.133
30,25,6,0.133
10,26,6,0.9831
11,26,6,0.2599
12,26,6,0.2593
13,26,6,0.26
14,26,6,0.6221
15,26,6,0.9823
16,26,6,0.6229
17,26,6,0.983
18,26,6,0.2607
19,26,6,0.9848
20,26,6,0.9846
21,26,6,0.1328
22,26,6,0.2609
23,26,6,0.261
24,26,6,0.2608
25,26,6,0.3257
26,26,6,0.133
27,26,6,0.133
28,26,6,0.133
29,26,6,0.133
30,26,6,0.133
10,27,6,0.9831
11,27,6,0.26
12,27,6,0.2591
13,27,6,0.26
14,27,6,0.6218
15,27,6,0.6222
16,27,6,0.6225
17,27,6,0.3984
18,27,6,0.2607
19,27,6,0.9844
20,27,6,0.9849
21,27,6,0.1326
22,27,6,0.985
23,27,6,0.9843
24,27,6,0.1326
25,27,6,0.9845
26,27,6,0.1326
27,27,6,0.133
28,27,6,0.133
29,27,6,0.133
30,27,6,0.133
10,28,6,0.9835
11,28,6,0.2605
12,28,6,0.2594
13,28,6,0.2597
14,28,6,0.6219
15,28,6,0.6222
16,28,6,0.6225
17,28,6,0.3984
18,28,6,0.2605
19,28,6,0.7093
20,28,6,0.9843
21,28,6,0.9843
22,28,6,0.1325
23,28,6,0.1326
24,28,6,0.7092
25,28,6,0.6235
26,28,6,0.9851
27,28,6,0.1327
28,28,6,0.133
29,28,6,0.133
30,28,6,0.133
10,29,6,0.9825
11,29,6,0.2607
12,29,6,0.133
13,29,6,0.2597
14,29,6,0.2001
15,29,6,0.3409
16,29,6,0.6221
17,29,6,0.7085
18,29,6,0.2605
19,29,6,0.7092
20,29,6,0.1326
21,29,6,0.9842
22,29,6,0.1326
23,29,6,0.1327
24,29,6,0.7091
25,29,6,0.2609
26,29,6,0.2612
27,29,6,0.261
28,29,6,0.1329
29,29,6,0.133
30,29,6,0.133
10,30,6,0.9817
11,30,6,0.2604
12,30,6,0.1327
13,30,6,0.2593
14,30,6,0.2002
15,30,6,0.6214
16,30,6,0.622
17,30,6,0.7089
18,30,6,0.2605
19,30,6,0.6233
20,30,6,0.6231
21,30,6,0.71
22,30,6,0.1327
23,30,6,0.1327
24,30,6,0.7091
25,30,6,0.9845
26,30,6,0.2616
27,30,6,0.1327
28,30,6,0.2611
29,30,6,0.2612
30,30,6,0.133
10,31,6,0.9821
11,31,6,0.2602
12,31,6,0.1327
13,31,6,0.2593
14,31,6,0.621
15,31,6,0.6211
16,31,6,0.6221
17,31,6,0.7089
18,31,6,0.2605
19,31,6,0.6232
20,31,6,0.6233
21,31,6,0.7098
22,31,6,0.1324
23,31,6,0.1327
24,31,6,0.9846
25,31,6,0.9844
26,31,6,0.9846
27,31,6,0.1328
28,31,6,0.6239
29,31,6,0.2608
30,31,6,0.624
10,32,6,0.621
11,32,6,0.2594
12,32,6,0.1328
13,32,6,0.2593
14,32,6,0.6206
15,32,6,0.6214
16,32,6,0.6223
17,32,6,0.7087
18,32,6,0.2601
19,32,6,0.1327
20,32,6,0.623
21,32,6,0.7091
22,32,6,0.1324
23,32,6,0.1324
24,32,6,0.1327
25,32,6,0.9848
26,32,6,0.2609
27,32,6,0.1328
28,32,6,0.1328
29,32,6,0.2607
30,32,6,0.1325
10,33,6,0.6212
11,33,6,0.2586
12,33,6,0.1328
13,33,6,0.2593
14,33,6,0.6207
15,33,6,0.1323
16,33,6,0.622
17,33,6,0.7081
18,33,6,0.26
19,33,6,0.1325
20,33,6,0.6221
21,33,6,0.7087
22,33,6,0.1327
23,33,6,0.1324
24,33,6,0.1325
25,33,6,0.1602
26,33,6,0.261
27,33,6,0.1327
28,33,6,0.1327
29,33,6,0.1329
30,33,6,0.7094
10,34,6,0.6209
11,34,6,0.259
12,34,6,0.1325
13,34,6,0.2592
14,34,6,0.1328
15,34,6,0.1318
16,34,6,0.6214
17,34,6,0.7074
18,34,6,0.26
19,34,6,0.1327
20,34,6,0.6227
21,34,6,0.7087
22,34,6,0.6233
23,34,6,0.1325
24,34,6,0.9838
25,34,6,0.9845
26,34,6,0.1327
27,34,6,0.1326
28,34,6,0.1327
29,34,6,0.1327
30,34,6,0.1324
10,35,6,0.6201
11,35,6,0.2591
12,35,6,0.1323
13,35,6,0.199
14,35,6,0.1325
15,35,6,0.1316
16,35,6,0.6212
17,35,6,0.7072
18,35,6,0.2598
19,35,6,0.1327
20,35,6,0.6223
21,35,6,0.7089
22,35,6,0.623
23,35,6,0.1324
24,35,6,0.1327
25,35,6,0.9844
26,35,6,0.1327
27,35,6,0.1329
28,35,6,0.1323
29,35,6,0.1325
30,35,6,0.1327
10,36,6,0.6195
11,36,6,0.2588
12,36,6,0.258
13,36,6,0.1308
14,36,6,0.1327
15,36,6,0.132
16,36,6,0.6207
17,36,6,0.7066
18,36,6,0.2598
19,36,6,0.1327
20,36,6,0.6224
21,36,6,0.9841
22,36,6,0.5118
23,36,6,0.1323
24,36,6,0.1327
25,36,6,0.9843
26,36,6,0.2609
27,36,6,0.1326
28,36,6,0.1325
29,36,6,0.1602
30,36,6,0.1327
10,37,6,0.6189
11,37,6,0.2583
12,37,6,0.2573
13,37,6,0.1305
14,37,6,0.1325
15,37,6,0.1319
16,37,6,0.6209
17,37,6,0.6205
18,37,6,0.2598
19,37,6,0.1327
20,37,6,0.6222
21,37,6,0.984
22,37,6,0.5111
23,37,6,0.1324
24,37,6,0.1326
25,37,6,0.9846
26,37,6,0.2608
27,37,6,0.1326
28,37,6,0.1326
29,37,6,0.2611
30,37,6,0.1324
10,38,6,0.619
11,38,6,0.2584
12,38,6,0.2569
13,38,6,0.1301
14,38,6,0.1322
15,38,6,0.1318
16,38,6,0.6202
17,38,6,0.6204
18,38,6,0.2598
19,38,6,0.6217
20,38,6,0.1325
21,38,6,0.9838
22,38,6,0.6224
23,38,6,0.1325
24,38,6,0.1327
25,38,6,0.9848
26,38,6,0.2608
27,38,6,0.1328
28,38,6,0.1327
29,38,6,0.2612
30,38,6,0.1325
10,39,6,0.6183
11,39,6,0.2584
12,39,6,0.2567
13,39,6,0.1306
14,39,6,0.132
15,39,6,0.1317
16,39,6,0.6203
17,39,6,0.6196
18,39,6,0.2597
19,39,6,0.6212
20,39,6,0.1325
21,39,6,0.1323
22,39,6,0.6225
23,39,6,0.1325
24,39,6,0.1326
25,39,6,0.1326
26,39,6,0.2605
27,39,6,0.1327
28,39,6,0.1327
29,39,6,0.2612
30,39,6,0.1325
10,40,6,0.6184
11,40,6,0.2582
12,40,6,0.2566
13,40,6,0.1303
14,40,6,0.1318
15,40,6,0.1316
16,40,6,0.152
17,40,6,0.6196
18,40,6,0.2594
19,40,6,0.6213
20,40,6,0.1325
21,40,6,0.1324
22,40,6,0.6225
23,40,6,0.1325
24,40,6,0.1325
25,40,6,0.6233
26,40,6,0.2605
27,40,6,0.1327
28,40,6,0.1327
29,40,6,0.2613
30,40,6,0.1323
