seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,3,0.1344
11,10,3,0.1344
12,10,3,0.1344
13,10,3,0.1344
14,10,3,0.1344
15,10,3,0.1344
16,10,3,0.1344
17,10,3,0.1344
18,10,3,0.1344
19,10,3,0.1344
20,10,3,0.1344
21,10,3,0.1344
22,10,3,0.1344
23,10,3,0.1344
24,10,3,0.1344
25,10,3,0.1344
26,10,3,0.1344
27,10,3,0.1344
28,10,3,0.1344
29,10,3,0.1344
30,10,3,0.1344
10,11,3,0.981
11,11,3,0.1344
12,11,3,0.1344
13,11,3,0.1344
14,11,3,0.1344
15,11,3,0.1344
16,11,3,0.1344
17,11,3,0.1344
18,11,3,0.1344
19,11,3,0.1344
20,11,3,0.1344
21,11,3,0.1344
22,11,3,0.1344
23,11,3,0.1344
24,11,3,0.1344
25,11,3,0.1344
26,11,3,0.1344
27,11,3,0.1344
28,11,3,0.1344
29,11,3,0.1344
30,11,3,0.1344
10,12,3,0.9799
11,12,3,0.983
12,12,3,0.1326
13,12,3,0.1326
14,12,3,0.1326
15,12,3,0.1326
16,12,3,0.1326
17,12,3,0.1326
18,12,3,0.1326
19,12,3,0.1326
20,12,3,0.1326
21,12,3,0.1326
22,12,3,0.1326
23,12,3,0.1326
24,12,3,0.1326
25,12,3,0.1326
26,12,3,0.1326
27,12,3,0.1326
28,12,3,0.1326
29,12,3,0.1326
30,12,3,0.1326
10,13,3,0.98
11,13,3,0.9818
12,13,3,0.9841
13,13,3,0.1335
14,13,3,0.1335
15,13,3,0.1335
16,13,3,0.1335
17,13,3,0.1335
18,13,3,0.1335
19,13,3,0.1335
20,13,3,0.1335
21,13,3,0.1335
22,13,3,0.1335
23,13,3,0.1335
24,13,3,0.1335
25,13,3,0.1335
26,13,3,0.1335
27,13,3,0.1335
28,13,3,0.1335
29,13,3,0.1335
30,13,3,0.1335
10,14,3,0.981
11,14,3,0.983
12,14,3,0.9821
13,14,3,0.6223
14,14,3,0.134
15,14,3,0.134
16,14,3,0.134
17,14,3,0.134
18,14,3,0.134
19,14,3,0.134
20,14,3,0.134
21,14,3,0.134
22,14,3,0.134
23,14,3,0.134
24,14,3,0.134
25,14,3,0.134
26,14,3,0.134
27,14,3,0.134
28,14,3,0.134
29,14,3,0.134
30,14,3,0.134
10,15,3,0.9804
11,15,3,0.9821
12,15,3,0.9826
13,15,3,0.9832
14,15,3,0.6236
15,15,3,0.1608
16,15,3,0.1608
17,15,3,0.1608
18,15,3,0.1608
19,15,3,0.1608
