seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,7,0.134
11,10,7,0.134
12,10,7,0.134
13,10,7,0.134
14,10,7,0.134
15,10,7,0.134
16,10,7,0.134
17,10,7,0.134
18,10,7,0.134
19,10,7,0.134
20,10,7,0.134
21,10,7,0.134
22,10,7,0.134
23,10,7,0.134
24,10,7,0.134
25,10,7,0.134
26,10,7,0.134
27,10,7,0.134
28,10,7,0.134
29,10,7,0.134
30,10,7,0.134
10,11,7,0.9848
11,11,7,0.1338
12,11,7,0.1338
13,11,7,0.1338
14,11,7,0.1338
15,11,7,0.1338
16,11,7,0.1338
17,11,7,0.1338
18,11,7,0.1338
19,11,7,0.1338
20,11,7,0.1338
21,11,7,0.1338
22,11,7,0.1338
23,11,7,0.1338
24,11,7,0.1338
25,11,7,0.1338
26,11,7,0.1338
27,11,7,0.1338
28,11,7,0.1338
29,11,7,0.1338
30,11,7,0.1338
10,12,7,0.9842
11,12,7,0.9845
12,12,7,0.1328
13,12,7,0.1328
14,12,7,0.1328
15,12,7,0.1328
16,12,7,0.1328
17,12,7,0.1328
18,12,7,0.1328
19,12,7,0.1328
20,12,7,0.1328
21,12,7,0.1328
22,12,7,0.1328
23,12,7,0.1328
24,12,7,0.1328
25,12,7,0.1328
26,12,7,0.1328
27,12,7,0.1328
28,12,7,0.1328
29,12,7,0.1328
30,12,7,0.1328
10,13,7,0.9836
11,13,7,0.9852
12,13,7,0.9843
13,13,7,0.1334
14,13,7,0.1334
15,13,7,0.1334
16,13,7,0.1334
17,13,7,0.1334
18,13,7,0.1334
19,13,7,0.1334
20,13,7,0.1334
21,13,7,0.1334
22,13,7,0.1334
23,13,7,0.1334
24,13,7,0.1334
25,13,7,0.1334
26,13,7,0.1334
27,13,7,0.1334
28,13,7,0.1334
29,13,7,0.1334
30,13,7,0.1334
10,14,7,0.9832
11,14,7,0.9836
12,14,7,0.9834
13,14,7,0.6225
14,14,7,0.1339
15,14,7,0.1339
16,14,7,0.1339
17,14,7,0.1339
18,14,7,0.1339
19,14,7,0.1339
20,14,7,0.1339
21,14,7,0.1339
22,14,7,0.1339
23,14,7,0.1339
24,14,7,0.1339
25,14,7,0.1339
26,14,7,0.1339
27,14,7,0.1339
28,14,7,0.1339
29,14,7,0.1339
30,14,7,0.1339
10,15,7,0.9846
11,15,7,0.9837
12,15,7,0.983
13,15,7,0.9826
14,15,7,0.6235
15,15,7,0.1607
16,15,7,0.1607
17,15,7,0.1607
18,15,7,0.1607
19,15,7,0.1607
20,15,7,0.1607
21,15,7,0.1607
22,15,7,0.1607
23,15,7,0.1607
24,15,7,0.1607
25,15,7,0.1607
26,15,7,0.1607
27,15,7,0.1607
28,15,7,0.1607
29,15,7,0.1607
30,15,7,0.1607
10,16,7,0.9845
11,16,7,0.9832
12,16,7,0.1338
13,16,7,0.9825
14,16,7,0.9837
15,16,7,0.8282
16,16,7,0.1608
17,16,7,0.1608
18,16,7,0.1608
19,16,7,0.1608
20,16,7,0.1608
21,16,7,0.1608
22,16,7,0.1608
23,16,7,0.1608
24,16,7,0.1608
25,16,7,0.1608
26,16,7,0.1608
27,16,7,0.1608
28,16,7,0.1608
29,16,7,0.1608
30,16,7,0.1608
10,17,7,0.2609
11,17,7,0.9835
12,17,7,0.9836
13,17,7,0.9832
14,17,7,0.2604
15,17,7,0.9842
16,17,7,0.261
17,17,7,0.1609
18,17,7,0.1609
19,17,7,0.1609
20,17,7,0.1609
21,17,7,0.1609
22,17,7,0.1609
23,17,7,0.1609
24,17,7,0.1609
25,17,7,0.1609
26,17,7,0.1609
27,17,7,0.1609
28,17,7,0.1609
29,17,7,0.1609
30,17,7,0.1609
10,18,7,0.2611
11,18,7,0.9835
12,18,7,0.9835
13,18,7,0.1335
14,18,7,0.983
15,18,7,0.9838
16,18,7,0.9844
17,18,7,0.9854
18,18,7,0.1607
19,18,7,0.1607
20,18,7,0.1607
21,18,7,0.1607
22,18,7,0.1607
23,18,7,0.1607
24,18,7,0.1607
25,18,7,0.1607
26,18,7,0.1607
27,18,7,0.1607
28,18,7,0.1607
29,18,7,0.1607
30,18,7,0.1607
10,19,7,0.9837
11,19,7,0.9842
12,19,7,0.9828
13,19,7,0.9829
14,19,7,0.9835
15,19,7,0.9833
16,19,7,0.9845
17,19,7,0.9841
18,19,7,0.7102
19,19,7,0.1609
20,19,7,0.1609
21,19,7,0.1609
22,19,7,0.1609
23,19,7,0.1609
24,19,7,0.1609
25,19,7,0.1609
26,19,7,0.1609
27,19,7,0.1609
28,19,7,0.1609
29,19,7,0.1609
30,19,7,0.1609
10,20,7,0.9841
11,20,7,0.9828
12,20,7,0.9808
13,20,7,0.9828
14,20,7,0.983
15,20,7,0.9829
16,20,7,0.7095
17,20,7,0.8145
18,20,7,0.6241
19,20,7,0.9846
20,20,7,0.1452
21,20,7,0.1452
22,20,7,0.1452
23,20,7,0.1452
24,20,7,0.1452
25,20,7,0.1452
26,20,7,0.1452
27,20,7,0.1452
28,20,7,0.1452
29,20,7,0.1452
30,20,7,0.1452
10,21,7,0.9834
11,21,7,0.9828
12,21,7,0.9807
13,21,7,0.1335
14,21,7,0.6223
15,21,7,0.9841
16,21,7,0.8281
17,21,7,0.814
18,21,7,0.2612
19,21,7,0.3254
20,21,7,0.9844
21,21,7,0.1331
22,21,7,0.1331
23,21,7,0.1331
24,21,7,0.1331
25,21,7,0.1331
26,21,7,0.1331
27,21,7,0.1331
28,21,7,0.1331
29,21,7,0.1331
30,21,7,0.1331
10,22,7,0.9835
11,22,7,0.9824
12,22,7,0.9812
13,22,7,0.1336
14,22,7,0.6215
15,22,7,0.9838
16,22,7,0.9833
17,22,7,0.9841
18,22,7,0.2608
19,22,7,0.6233
20,22,7,0.6235
21,22,7,0.133
22,22,7,0.1331
23,22,7,0.1331
24,22,7,0.1331
25,22,7,0.1331
26,22,7,0.1331
27,22,7,0.1331
28,22,7,0.1331
29,22,7,0.1331
30,22,7,0.1331
10,23,7,0.9831
11,23,7,0.9824
12,23,7,0.6215
13,23,7,0.1335
14,23,7,0.6221
15,23,7,0.9825
16,23,7,0.1326
17,23,7,0.984
18,23,7,0.9841
19,23,7,0.9843
20,23,7,0.9852
21,23,7,0.9848
22,23,7,0.1327
23,23,7,0.1331
24,23,7,0.1331
25,23,7,0.1331
26,23,7,0.1331
27,23,7,0.1331
28,23,7,0.1331
29,23,7,0.1331
30,23,7,0.1331
10,24,7,0.1333
11,24,7,0.1334
12,24,7,0.6212
13,24,7,0.1332
14,24,7,0.6219
15,24,7,0.9829
16,24,7,0.1325
17,24,7,0.9837
18,24,7,0.2608
19,24,7,0.9843
20,24,7,0.6239
21,24,7,0.1329
22,24,7,0.9848
23,24,7,0.1329
24,24,7,0.1331
25,24,7,0.1331
26,24,7,0.1331
27,24,7,0.1331
28,24,7,0.1331
29,24,7,0.1331
30,24,7,0.1331
10,25,7,0.9827
11,25,7,0.9802
12,25,7,0.2592
13,25,7,0.6216
14,25,7,0.6221
15,25,7,0.9827
16,25,7,0.6231
17,25,7,0.9834
18,25,7,0.2607
19,25,7,0.9842
20,25,7,0.985
21,25,7,0.9845
22,25,7,0.9845
23,25,7,0.9851
24,25,7,0.1329
25,25,7,0.133
26,25,7,0.133
27,25,7,0.133
28,25,7,0.133
29,25,7,0.133
30,25,7,0.133
10,26,7,0.9835
