seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,9,0.1337
11,10,9,0.1337
12,10,9,0.1337
13,10,9,0.1337
14,10,9,0.1337
15,10,9,0.1337
16,10,9,0.1337
17,10,9,0.1337
18,10,9,0.1337
19,10,9,0.1337
20,10,9,0.1337
21,10,9,0.1337
22,10,9,0.1337
23,10,9,0.1337
24,10,9,0.1337
25,10,9,0.1337
26,10,9,0.1337
27,10,9,0.1337
28,10,9,0.1337
29,10,9,0.1337
30,10,9,0.1337
10,11,9,0.9843
11,11,9,0.1341
12,11,9,0.1341
13,11,9,0.1341
14,11,9,0.1341
15,11,9,0.1341
16,11,9,0.1341
17,11,9,0.1341
18,11,9,0.1341
19,11,9,0.1341
20,11,9,0.1341
21,11,9,0.1341
22,11,9,0.1341
23,11,9,0.1341
24,11,9,0.1341
25,11,9,0.1341
26,11,9,0.1341
27,11,9,0.1341
28,11,9,0.1341
29,11,9,0.1341
30,11,9,0.1341
10,12,9,0.9841
11,12,9,0.9839
12,12,9,0.133
13,12,9,0.133
14,12,9,0.133
15,12,9,0.133
16,12,9,0.133
17,12,9,0.133
18,12,9,0.133
19,12,9,0.133
20,12,9,0.133
21,12,9,0.133
22,12,9,0.133
23,12,9,0.133
24,12,9,0.133
25,12,9,0.133
26,12,9,0.133
27,12,9,0.133
28,12,9,0.133
29,12,9,0.133
30,12,9,0.133
10,13,9,0.9844
11,13,9,0.9848
12,13,9,0.9841
13,13,9,0.1335
14,13,9,0.1335
15,13,9,0.1335
16,13,9,0.1335
17,13,9,0.1335
18,13,9,0.1335
19,13,9,0.1335
20,13,9,0.1335
21,13,9,0.1335
22,13,9,0.1335
23,13,9,0.1335
24,13,9,0.1335
25,13,9,0.1335
26,13,9,0.1335
27,13,9,0.1335
28,13,9,0.1335
29,13,9,0.1335
30,13,9,0.1335
10,14,9,0.9844
11,14,9,0.9833
12,14,9,0.9833
13,14,9,0.6223
14,14,9,0.1339
15,14,9,0.1339
16,14,9,0.1339
17,14,9,0.1339
18,14,9,0.1339
19,14,9,0.1339
20,14,9,0.1339
21,14,9,0.1339
22,14,9,0.1339
23,14,9,0.1339
24,14,9,0.1339
25,14,9,0.1339
26,14,9,0.1339
27,14,9,0.1339
28,14,9,0.1339
29,14,9,0.1339
30,14,9,0.1339
10,15,9,0.9848
11,15,9,0.9839
12,15,9,0.9829
13,15,9,0.9828
14,15,9,0.6234
15,15,9,0.1607
16,15,9,0.1607
17,15,9,0.1607
18,15,9,0.1607
19,15,9,0.1607
20,15,9,0.1607
21,15,9,0.1607
22,15,9,0.1607
23,15,9,0.1607
24,15,9,0.1607
25,15,9,0.1607
26,15,9,0.1607
27,15,9,0.1607
28,15,9,0.1607
29,15,9,0.1607
30,15,9,0.1607
10,16,9,0.9852
11,16,9,0.9833
12,16,9,0.1338
13,16,9,0.9826
14,16,9,0.9837
15,16,9,0.828
16,16,9,0.1608
17,16,9,0.1608
18,16,9,0.1608
19,16,9,0.1608
20,16,9,0.1608
21,16,9,0.1608
22,16,9,0.1608
23,16,9,0.1608
24,16,9,0.1608
25,16,9,0.1608
26,16,9,0.1608
27,16,9,0.1608
28,16,9,0.1608
29,16,9,0.1608
30,16,9,0.1608
10,17,9,0.2611
11,17,9,0.9835
12,17,9,0.9836
13,17,9,0.9832
14,17,9,0.2604
15,17,9,0.9841
16,17,9,0.261
17,17,9,0.1609
18,17,9,0.1609
19,17,9,0.1609
20,17,9,0.1609
21,17,9,0.1609
22,17,9,0.1609
23,17,9,0.1609
24,17,9,0.1609
25,17,9,0.1609
26,17,9,0.1609
27,17,9,0.1609
28,17,9,0.1609
29,17,9,0.1609
30,17,9,0.1609
10,18,9,0.2612
11,18,9,0.9836
12,18,9,0.9835
13,18,9,0.1335
14,18,9,0.983
15,18,9,0.9838
16,18,9,0.9844
17,18,9,0.9853
18,18,9,0.1607
19,18,9,0.1607
20,18,9,0.1607
21,18,9,0.1607
22,18,9,0.1607
23,18,9,0.1607
24,18,9,0.1607
25,18,9,0.1607
26,18,9,0.1607
27,18,9,0.1607
28,18,9,0.1607
29,18,9,0.1607
30,18,9,0.1607
10,19,9,0.9844
11,19,9,0.9842
12,19,9,0.9828
13,19,9,0.9829
14,19,9,0.9835
15,19,9,0.9833
16,19,9,0.9845
17,19,9,0.9841
18,19,9,0.7102
19,19,9,0.1609
20,19,9,0.1609
21,19,9,0.1609
22,19,9,0.1609
23,19,9,0.1609
24,19,9,0.1609
25,19,9,0.1609
26,19,9,0.1609
27,19,9,0.1609
28,19,9,0.1609
29,19,9,0.1609
30,19,9,0.1609
10,20,9,0.9841
11,20,9,0.9828
12,20,9,0.9808
13,20,9,0.9828
14,20,9,0.983
15,20,9,0.9829
16,20,9,0.7095
17,20,9,0.8145
18,20,9,0.6241
19,20,9,0.9846
20,20,9,0.1452
21,20,9,0.1452
22,20,9,0.1452
23,20,9,0.1452
24,20,9,0.1452
25,20,9,0.1452
26,20,9,0.1452
27,20,9,0.1452
28,20,9,0.1452
29,20,9,0.1452
30,20,9,0.1452
10,21,9,0.9833
11,21,9,0.9828
12,21,9,0.9807
13,21,9,0.1335
14,21,9,0.6223
15,21,9,0.9841
16,21,9,0.8281
17,21,9,0.814
18,21,9,0.2612
19,21,9,0.3254
20,21,9,0.9844
21,21,9,0.1331
22,21,9,0.1331
23,21,9,0.1331
24,21,9,0.1331
25,21,9,0.1331
26,21,9,0.1331
27,21,9,0.1331
28,21,9,0.1331
29,21,9,0.1331
30,21,9,0.1331
10,22,9,0.9838
11,22,9,0.9824
12,22,9,0.9812
13,22,9,0.1336
14,22,9,0.6215
15,22,9,0.9838
16,22,9,0.9833
17,22,9,0.9841
18,22,9,0.2608
19,22,9,0.6233
20,22,9,0.6235
21,22,9,0.133
22,22,9,0.1331
23,22,9,0.1331
24,22,9,0.1331
25,22,9,0.1331
26,22,9,0.1331
27,22,9,0.1331
28,22,9,0.1331
29,22,9,0.1331
30,22,9,0.1331
10,23,9,0.9834
11,23,9,0.9824
12,23,9,0.6215
13,23,9,0.1335
14,23,9,0.6221
15,23,9,0.9825
16,23,9,0.1326
17,23,9,0.984
18,23,9,0.9841
19,23,9,0.9843
20,23,9,0.9852
21,23,9,0.9848
22,23,9,0.1327
23,23,9,0.1331
24,23,9,0.1331
25,23,9,0.1331
26,23,9,0.1331
27,23,9,0.1331
28,23,9,0.1331
29,23,9,0.1331
30,23,9,0.1331
10,24,9,0.1335
11,24,9,0.1334
12,24,9,0.6212
13,24,9,0.1332
14,24,9,0.6219
15,24,9,0.9829
16,24,9,0.1325
17,24,9,0.9837
18,24,9,0.2608
19,24,9,0.9843
20,24,9,0.6239
21,24,9,0.1329
22,24,9,0.9848
23,24,9,0.1329
24,24,9,0.1331
25,24,9,0.1331
