seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,4,0.1335
11,10,4,0.1335
12,10,4,0.1335
13,10,4,0.1335
14,10,4,0.1335
15,10,4,0.1335
16,10,4,0.1335
17,10,4,0.1335
18,10,4,0.1335
19,10,4,0.1335
20,10,4,0.1335
21,10,4,0.1335
22,10,4,0.1335
23,10,4,0.1335
24,10,4,0.1335
25,10,4,0.1335
26,10,4,0.1335
27,10,4,0.1335
28,10,4,0.1335
29,10,4,0.1335
30,10,4,0.1335
10,11,4,0.9816
11,11,4,0.1341
12,11,4,0.1341
13,11,4,0.1341
14,11,4,0.1341
15,11,4,0.1341
16,11,4,0.1341
17,11,4,0.1341
18,11,4,0.1341
19,11,4,0.1341
20,11,4,0.1341
21,11,4,0.1341
22,11,4,0.1341
23,11,4,0.1341
24,11,4,0.1341
25,11,4,0.1341
26,11,4,0.1341
27,11,4,0.1341
28,11,4,0.1341
29,11,4,0.1341
30,11,4,0.1341
10,12,4,0.9831
11,12,4,0.9833
12,12,4,0.1328
13,12,4,0.1328
14,12,4,0.1328
15,12,4,0.1328
16,12,4,0.1328
17,12,4,0.1328
18,12,4,0.1328
19,12,4,0.1328
20,12,4,0.1328
21,12,4,0.1328
22,12,4,0.1328
23,12,4,0.1328
24,12,4,0.1328
25,12,4,0.1328
26,12,4,0.1328
27,12,4,0.1328
28,12,4,0.1328
29,12,4,0.1328
30,12,4,0.1328
10,13,4,0.9825
11,13,4,0.9836
12,13,4,0.9837
13,13,4,0.1335
14,13,4,0.1335
15,13,4,0.1335
16,13,4,0.1335
17,13,4,0.1335
18,13,4,0.1335
19,13,4,0.1335
20,13,4,0.1335
21,13,4,0.1335
22,13,4,0.1335
23,13,4,0.1335
24,13,4,0.1335
25,13,4,0.1335
26,13,4,0.1335
27,13,4,0.1335
28,13,4,0.1335
29,13,4,0.1335
30,13,4,0.1335
10,14,4,0.9814
11,14,4,0.9833
12,14,4,0.9835
13,14,4,0.6225
14,14,4,0.1339
15,14,4,0.1339
16,14,4,0.1339
17,14,4,0.1339
18,14,4,0.1339
19,14,4,0.1339
20,14,4,0.1339
21,14,4,0.1339
22,14,4,0.1339
23,14,4,0.1339
24,14,4,0.1339
25,14,4,0.1339
26,14,4,0.1339
27,14,4,0.1339
28,14,4,0.1339
29,14,4,0.1339
30,14,4,0.1339
10,15,4,0.9832
11,15,4,0.9831
12,15,4,0.9832
13,15,4,0.9828
14,15,4,0.6235
15,15,4,0.1608
16,15,4,0.1608
17,15,4,0.1608
18,15,4,0.1608
19,15,4,0.1608
20,15,4,0.1608
21,15,4,0.1608
22,15,4,0.1608
23,15,4,0.1608
24,15,4,0.1608
25,15,4,0.1608
26,15,4,0.1608
27,15,4,0.1608
28,15,4,0.1608
29,15,4,0.1608
30,15,4,0.1608
10,16,4,0.982
11,16,4,0.9828
12,16,4,0.1338
13,16,4,0.9827
14,16,4,0.9835
15,16,4,0.828
16,16,4,0.1609
17,16,4,0.1609
18,16,4,0.1609
19,16,4,0.1609
20,16,4,0.1609
21,16,4,0.1609
22,16,4,0.1609
23,16,4,0.1609
24,16,4,0.1609
25,16,4,0.1609
26,16,4,0.1609
27,16,4,0.1609
28,16,4,0.1609
29,16,4,0.1609
30,16,4,0.1609
10,17,4,0.2608
11,17,4,0.9833
12,17,4,0.9837
13,17,4,0.9829
14,17,4,0.2604
15,17,4,0.984
16,17,4,0.261
17,17,4,0.161
18,17,4,0.161
19,17,4,0.161
20,17,4,0.161
21,17,4,0.161
22,17,4,0.161
23,17,4,0.161
24,17,4,0.161
25,17,4,0.161
26,17,4,0.161
27,17,4,0.161
28,17,4,0.161
29,17,4,0.161
30,17,4,0.161
10,18,4,0.2604
11,18,4,0.9835
12,18,4,0.9836
13,18,4,0.1335
14,18,4,0.9829
15,18,4,0.9836
16,18,4,0.9844
17,18,4,0.9854
18,18,4,0.1608
19,18,4,0.1608
20,18,4,0.1608
21,18,4,0.1608
22,18,4,0.1608
23,18,4,0.1608
24,18,4,0.1608
25,18,4,0.1608
26,18,4,0.1608
27,18,4,0.1608
28,18,4,0.1608
29,18,4,0.1608
30,18,4,0.1608
10,19,4,0.9821
11,19,4,0.9842
12,19,4,0.9825
13,19,4,0.983
14,19,4,0.9835
15,19,4,0.9832
16,19,4,0.9845
17,19,4,0.9842
18,19,4,0.71
19,19,4,0.1609
20,19,4,0.1609
21,19,4,0.1609
22,19,4,0.1609
23,19,4,0.1609
24,19,4,0.1609
25,19,4,0.1609
26,19,4,0.1609
27,19,4,0.1609
28,19,4,0.1609
29,19,4,0.1609
30,19,4,0.1609
10,20,4,0.9823
11,20,4,0.9824
12,20,4,0.9809
13,20,4,0.9829
14,20,4,0.983
15,20,4,0.9829
16,20,4,0.7095
17,20,4,0.8144
18,20,4,0.6241
19,20,4,0.9848
20,20,4,0.1453
21,20,4,0.1453
22,20,4,0.1453
23,20,4,0.1453
24,20,4,0.1453
25,20,4,0.1453
26,20,4,0.1453
27,20,4,0.1453
28,20,4,0.1453
29,20,4,0.1453
30,20,4,0.1453
10,21,4,0.9824
11,21,4,0.9826
12,21,4,0.9807
13,21,4,0.1335
14,21,4,0.6223
15,21,4,0.9841
16,21,4,0.8281
17,21,4,0.814
18,21,4,0.2612
19,21,4,0.3254
20,21,4,0.9845
21,21,4,0.1332
22,21,4,0.1332
23,21,4,0.1332
24,21,4,0.1332
25,21,4,0.1332
26,21,4,0.1332
27,21,4,0.1332
28,21,4,0.1332
29,21,4,0.1332
30,21,4,0.1332
10,22,4,0.982
11,22,4,0.9823
12,22,4,0.9811
13,22,4,0.1336
14,22,4,0.6215
15,22,4,0.9838
16,22,4,0.9833
17,22,4,0.9841
18,22,4,0.2608
19,22,4,0.6233
20,22,4,0.6235
21,22,4,0.1331
22,22,4,0.1332
23,22,4,0.1332
24,22,4,0.1332
25,22,4,0.1332
26,22,4,0.1332
27,22,4,0.1332
28,22,4,0.1332
29,22,4,0.1332
30,22,4,0.1332
10,23,4,0.9804
11,23,4,0.9824
12,23,4,0.6215
13,23,4,0.1335
14,23,4,0.6221
15,23,4,0.9825
16,23,4,0.1326
17,23,4,0.984
18,23,4,0.9841
19,23,4,0.9844
20,23,4,0.9852
21,23,4,0.9848
22,23,4,0.1328
23,23,4,0.1332
24,23,4,0.1332
25,23,4,0.1332
26,23,4,0.1332
27,23,4,0.1332
28,23,4,0.1332
29,23,4,0.1332
30,23,4,0.1332
10,24,4,0.133
11,24,4,0.1335
12,24,4,0.6212
13,24,4,0.1332
14,24,4,0.6219
15,24,4,0.9829
16,24,4,0.1325
17,24,4,0.9837
18,24,4,0.2608
19,24,4,0.9843
20,24,4,0.6239
21,24,4,0.1329
22,24,4,0.9848
23,24,4,0.1329
24,24,4,0.1333
25,24,4,0.1333
26,24,4,0.1333
27,24,4,0.1333
28,24,4,0.1333
29,24,4,0.1333
30,24,4,0.1333
10,25,4,0.9806
11,25,4,0.9803
12,25,4,0.2592
13,25,4,0.6216
14,25,4,0.6221
15,25,4,0.9827
16,25,4,0.6231
17,25,4,0.9834
18,25,4,0.2607
19,25,4,0.9842
20,25,4,0.985
21,25,4,0.9846
22,25,4,0.9845
23,25,4,0.985
24,25,4,0.133
25,25,4,0.1331
26,25,4,0.1331
27,25,4,0.1331
28,25,4,0.1331
29,25,4,0.1331
30,25,4,0.1331
10,26,4,0.9814
11,26,4,0.2599
12,26,4,0.2592
13,26,4,0.26
14,26,4,0.6221
15,26,4,0.9823
16,26,4,0.6229
17,26,4,0.983
18,26,4,0.2607
19,26,4,0.9848
20,26,4,0.9846
21,26,4,0.1328
22,26,4,0.2609
23,26,4,0.261
24,26,4,0.2608
25,26,4,0.3257
26,26,4,0.133
27,26,4,0.133
28,26,4,0.133
29,26,4,0.133
30,26,4,0.133
10,27,4,0.9814
11,27,4,0.26
12,27,4,0.2591
13,27,4,0.26
14,27,4,0.6218
15,27,4,0.6222
16,27,4,0.6225
17,27,4,0.3984
18,27,4,0.2607
19,27,4,0.9844
20,27,4,0.9849
21,27,4,0.1326
22,27,4,0.985
23,27,4,0.9844
24,27,4,0.1326
25,27,4,0.9845
26,27,4,0.1326
27,27,4,0.133
28,27,4,0.133
29,27,4,0.133
30,27,4,0.133
10,28,4,0.9816
11,28,4,0.2605
12,28,4,0.2594
13,28,4,0.2597
14,28,4,0.6219
15,28,4,0.6222
16,28,4,0.6225
17,28,4,0.3985
18,28,4,0.2605
19,28,4,0.7093
20,28,4,0.9843
21,28,4,0.9843
22,28,4,0.1325
23,28,4,0.1326
24,28,4,0.7092
25,28,4,0.6234
26,28,4,0.9851
27,28,4,0.1327
28,28,4,0.133
29,28,4,0.133
30,28,4,0.133
10,29,4,0.9812
11,29,4,0.2607
12,29,4,0.133
13,29,4,0.2597
14,29,4,0.2001
15,29,4,0.3409
16,29,4,0.622
17,29,4,0.7084
18,29,4,0.2605
19,29,4,0.7092
20,29,4,0.1326
21,29,4,0.9842
22,29,4,0.1326
23,29,4,0.1327
24,29,4,0.7091
25,29,4,0.2609
26,29,4,0.2612
27,29,4,0.261
28,29,4,0.1329
29,29,4,0.133
30,29,4,0.133
10,30,4,0.9804
11,30,4,0.2604
12,30,4,0.1327
13,30,4,0.2593
14,30,4,0.2002
15,30,4,0.6214
16,30,4,0.622
17,30,4,0.7089
18,30,4,0.2605
19,30,4,0.6233
20,30,4,0.6231
21,30,4,0.7099
22,30,4,0.1327
23,30,4,0.1327
24,30,4,0.7091
25,30,4,0.9845
26,30,4,0.2616
27,30,4,0.1327
28,30,4,0.2611
29,30,4,0.2612
30,30,4,0.133
10,31,4,0.9809
11,31,4,0.2602
12,31,4,0.1327
13,31,4,0.2593
14,31,4,0.621
15,31,4,0.6211
16,31,4,0.6221
17,31,4,0.7089
18,31,4,0.2605
19,31,4,0.6232
20,31,4,0.6233
21,31,4,0.7099
22,31,4,0.1324
23,31,4,0.1327
24,31,4,0.9846
25,31,4,0.9844
26,31,4,0.9846
27,31,4,0.1328
28,31,4,0.6239
29,31,4,0.2608
30,31,4,0.624
10,32,4,0.6205
11,32,4,0.2594
12,32,4,0.1328
13,32,4,0.2593
14,32,4,0.6206
15,32,4,0.6214
16,32,4,0.6223
17,32,4,0.7087
18,32,4,0.2601
19,32,4,0.1327
20,32,4,0.623
21,32,4,0.709
22,32,4,0.1324
23,32,4,0.1324
24,32,4,0.1327
25,32,4,0.9848
26,32,4,0.2609
27,32,4,0.1328
28,32,4,0.1328
29,32,4,0.2607
30,32,4,0.1325
10,33,4,0.6207
11,33,4,0.2586
12,33,4,0.1328
13,33,4,0.2593
14,33,4,0.6207
15,33,4,0.1323
16,33,4,0.622
17,33,4,0.7081
18,33,4,0.26
19,33,4,0.1325
20,33,4,0.6221
21,33,4,0.7086
22,33,4,0.1327
23,33,4,0.1324
24,33,4,0.1325
25,33,4,0.1602
26,33,4,0.261
27,33,4,0.1327
28,33,4,0.1327
29,33,4,0.1329
30,33,4,0.7094
10,34,4,0.62
11,34,4,0.259
12,34,4,0.1325
13,34,4,0.2592
14,34,4,0.1328
15,34,4,0.1318
16,34,4,0.6214
17,34,4,0.7074
18,34,4,0.26
19,34,4,0.1327
20,34,4,0.6226
21,34,4,0.7088
22,34,4,0.6233
23,34,4,0.1325
24,34,4,0.9838
25,34,4,0.9845
26,34,4,0.1327
27,34,4,0.1326
28,34,4,0.1327
29,34,4,0.1327
30,34,4,0.1324
10,35,4,0.6186
11,35,4,0.2591
12,35,4,0.1323
13,35,4,0.199
14,35,4,0.1325
15,35,4,0.1316
16,35,4,0.6212
17,35,4,0.7072
18,35,4,0.2598
19,35,4,0.1327
20,35,4,0.6223
21,35,4,0.7089
22,35,4,0.623
23,35,4,0.1324
24,35,4,0.1327
25,35,4,0.9844
26,35,4,0.1327
27,35,4,0.1329
28,35,4,0.1323
29,35,4,0.1325
30,35,4,0.1327
10,36,4,0.6189
11,36,4,0.2588
12,36,4,0.258
13,36,4,0.1308
14,36,4,0.1327
15,36,4,0.132
16,36,4,0.6208
17,36,4,0.7066
18,36,4,0.2598
19,36,4,0.1327
20,36,4,0.6224
21,36,4,0.9841
22,36,4,0.5117
23,36,4,0.1323
24,36,4,0.1327
25,36,4,0.9843
26,36,4,0.2609
27,36,4,0.1326
28,36,4,0.1325
29,36,4,0.1602
30,36,4,0.1327
10,37,4,0.6184
11,37,4,0.2583
12,37,4,0.2573
13,37,4,0.1305
14,37,4,0.1325
15,37,4,0.1319
16,37,4,0.6209
17,37,4,0.6205
18,37,4,0.2598
19,37,4,0.1327
20,37,4,0.6222
21,37,4,0.984
22,37,4,0.5111
23,37,4,0.1324
24,37,4,0.1326
25,37,4,0.9846
26,37,4,0.2608
27,37,4,0.1326
28,37,4,0.1326
29,37,4,0.2611
30,37,4,0.1324
10,38,4,0.6187
11,38,4,0.2584
12,38,4,0.2569
13,38,4,0.1301
14,38,4,0.1322
15,38,4,0.1318
16,38,4,0.6202
17,38,4,0.6204
18,38,4,0.2598
19,38,4,0.6217
20,38,4,0.1325
21,38,4,0.9838
22,38,4,0.6224
23,38,4,0.1325
24,38,4,0.1327
25,38,4,0.9848
26,38,4,0.2608
27,38,4,0.1328
28,38,4,0.1327
29,38,4,0.2612
30,38,4,0.1325
10,39,4,0.6182
11,39,4,0.2585
12,39,4,0.2567
13,39,4,0.1306
14,39,4,0.132
15,39,4,0.1317
16,39,4,0.6204
17,39,4,0.6196
18,39,4,0.2597
19,39,4,0.6213
20,39,4,0.1325
21,39,4,0.1323
22,39,4,0.6225
23,39,4,0.1325
24,39,4,0.1326
25,39,4,0.1326
26,39,4,0.2605
27,39,4,0.1327
28,39,4,0.1327
29,39,4,0.2612
30,39,4,0.1325
10,40,4,0.6184
11,40,4,0.2582
12,40,4,0.2566
13,40,4,0.1303
14,40,4,0.1318
15,40,4,0.1316
16,40,4,0.152
17,40,4,0.6196
18,40,4,0.2594
19,40,4,0.6213
20,40,4,0.1325
21,40,4,0.1324
22,40,4,0.6225
23,40,4,0.1325
24,40,4,0.1325
25,40,4,0.6233
26,40,4,0.2605
27,40,4,0.1327
28,40,4,0.1327
29,40,4,0.2613
30,40,4,0.1323
