seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,2,0.1342
11,10,2,0.1342
12,10,2,0.1342
13,10,2,0.1342
14,10,2,0.1342
15,10,2,0.1342
16,10,2,0.1342
17,10,2,0.1342
18,10,2,0.1342
19,10,2,0.1342
20,10,2,0.1342
21,10,2,0.1342
22,10,2,0.1342
23,10,2,0.1342
24,10,2,0.1342
25,10,2,0.1342
26,10,2,0.1342
27,10,2,0.1342
28,10,2,0.1342
29,10,2,0.1342
30,10,2,0.1342
10,11,2,0.9796
11,11,2,0.134
12,11,2,0.134
13,11,2,0.134
14,11,2,0.134
15,11,2,0.134
16,11,2,0.134
17,11,2,0.134
18,11,2,0.134
19,11,2,0.134
20,11,2,0.134
21,11,2,0.134
22,11,2,0.134
23,11,2,0.134
24,11,2,0.134
25,11,2,0.134
26,11,2,0.134
27,11,2,0.134
28,11,2,0.134
29,11,2,0.134
30,11,2,0.134
10,12,2,0.9787
11,12,2,0.9805
12,12,2,0.1335
13,12,2,0.1335
14,12,2,0.1335
15,12,2,0.1335
16,12,2,0.1335
17,12,2,0.1335
18,12,2,0.1335
19,12,2,0.1335
20,12,2,0.1335
21,12,2,0.1335
22,12,2,0.1335
23,12,2,0.1335
24,12,2,0.1335
25,12,2,0.1335
26,12,2,0.1335
27,12,2,0.1335
28,12,2,0.1335
29,12,2,0.1335
30,12,2,0.1335
10,13,2,0.9771
11,13,2,0.9809
12,13,2,0.983
13,13,2,0.1334
14,13,2,0.1334
15,13,2,0.1334
16,13,2,0.1334
17,13,2,0.1334
18,13,2,0.1334
19,13,2,0.1334
20,13,2,0.1334
21,13,2,0.1334
22,13,2,0.1334
23,13,2,0.1334
24,13,2,0.1334
25,13,2,0.1334
26,13,2,0.1334
27,13,2,0.1334
28,13,2,0.1334
29,13,2,0.1334
30,13,2,0.1334
10,14,2,0.9792
11,14,2,0.9804
12,14,2,0.9816
13,14,2,0.6225
14,14,2,0.1341
15,14,2,0.1341
16,14,2,0.1341
17,14,2,0.1341
18,14,2,0.1341
19,14,2,0.1341
20,14,2,0.1341
21,14,2,0.1341
22,14,2,0.1341
23,14,2,0.1341
24,14,2,0.1341
25,14,2,0.1341
26,14,2,0.1341
27,14,2,0.1341
28,14,2,0.1341
29,14,2,0.1341
30,14,2,0.1341
10,15,2,0.9782
11,15,2,0.9814
12,15,2,0.9817
13,15,2,0.9829
14,15,2,0.623
15,15,2,0.1608
16,15,2,0.1608
17,15,2,0.1608
18,15,2,0.1608
19,15,2,0.1608
20,15,2,0.1608
21,15,2,0.1608
22,15,2,0.1608
23,15,2,0.1608
24,15,2,0.1608
25,15,2,0.1608
26,15,2,0.1608
27,15,2,0.1608
28,15,2,0.1608
29,15,2,0.1608
30,15,2,0.1608
10,16,2,0.9771
11,16,2,0.9799
12,16,2,0.1338
13,16,2,0.9822
14,16,2,0.983
15,16,2,0.828
16,16,2,0.1608
17,16,2,0.1608
18,16,2,0.1608
19,16,2,0.1608
20,16,2,0.1608
21,16,2,0.1608
22,16,2,0.1608
23,16,2,0.1608
24,16,2,0.1608
25,16,2,0.1608
26,16,2,0.1608
27,16,2,0.1608
28,16,2,0.1608
29,16,2,0.1608
30,16,2,0.1608
10,17,2,0.2581
11,17,2,0.9814
12,17,2,0.9822
13,17,2,0.9829
14,17,2,0.2604
15,17,2,0.9834
16,17,2,0.261
17,17,2,0.1609
18,17,2,0.1609
19,17,2,0.1609
20,17,2,0.1609
21,17,2,0.1609
22,17,2,0.1609
23,17,2,0.1609
24,17,2,0.1609
25,17,2,0.1609
26,17,2,0.1609
27,17,2,0.1609
28,17,2,0.1609
29,17,2,0.1609
30,17,2,0.1609
10,18,2,0.2599
11,18,2,0.9818
12,18,2,0.9831
13,18,2,0.1335
14,18,2,0.983
15,18,2,0.9835
16,18,2,0.9845
17,18,2,0.9852
18,18,2,0.1607
19,18,2,0.1607
20,18,2,0.1607
21,18,2,0.1607
22,18,2,0.1607
23,18,2,0.1607
24,18,2,0.1607
25,18,2,0.1607
26,18,2,0.1607
27,18,2,0.1607
28,18,2,0.1607
29,18,2,0.1607
30,18,2,0.1607
10,19,2,0.9778
11,19,2,0.9817
12,19,2,0.9815
13,19,2,0.9828
14,19,2,0.9834
15,19,2,0.9834
16,19,2,0.9846
17,19,2,0.9843
18,19,2,0.7097
19,19,2,0.1608
20,19,2,0.1608
21,19,2,0.1608
22,19,2,0.1608
23,19,2,0.1608
24,19,2,0.1608
25,19,2,0.1608
26,19,2,0.1608
27,19,2,0.1608
28,19,2,0.1608
29,19,2,0.1608
30,19,2,0.1608
10,20,2,0.9787
11,20,2,0.9805
12,20,2,0.9804
13,20,2,0.9828
14,20,2,0.9829
15,20,2,0.983
16,20,2,0.7097
17,20,2,0.8142
18,20,2,0.6238
19,20,2,0.9843
20,20,2,0.1452
21,20,2,0.1452
22,20,2,0.1452
23,20,2,0.1452
24,20,2,0.1452
25,20,2,0.1452
26,20,2,0.1452
27,20,2,0.1452
28,20,2,0.1452
29,20,2,0.1452
30,20,2,0.1452
10,21,2,0.977
11,21,2,0.9817
12,21,2,0.9799
13,21,2,0.1335
14,21,2,0.6222
15,21,2,0.9838
16,21,2,0.8282
17,21,2,0.8137
18,21,2,0.2609
19,21,2,0.3254
20,21,2,0.9848
21,21,2,0.1331
22,21,2,0.1331
23,21,2,0.1331
24,21,2,0.1331
25,21,2,0.1331
26,21,2,0.1331
27,21,2,0.1331
28,21,2,0.1331
29,21,2,0.1331
30,21,2,0.1331
10,22,2,0.978
11,22,2,0.9812
12,22,2,0.9803
13,22,2,0.1336
14,22,2,0.6214
15,22,2,0.9837
16,22,2,0.9834
17,22,2,0.9839
18,22,2,0.2608
19,22,2,0.623
20,22,2,0.6234
21,22,2,0.133
22,22,2,0.1331
23,22,2,0.1331
24,22,2,0.1331
25,22,2,0.1331
26,22,2,0.1331
27,22,2,0.1331
28,22,2,0.1331
29,22,2,0.1331
30,22,2,0.1331
10,23,2,0.9769
11,23,2,0.9815
12,23,2,0.621
13,23,2,0.1335
14,23,2,0.6221
15,23,2,0.9825
16,23,2,0.1326
17,23,2,0.984
18,23,2,0.9842
19,23,2,0.9843
20,23,2,0.9851
21,23,2,0.9849
22,23,2,0.1327
23,23,2,0.1332
24,23,2,0.1332
25,23,2,0.1332
26,23,2,0.1332
27,23,2,0.1332
28,23,2,0.1332
29,23,2,0.1332
30,23,2,0.1332
10,24,2,0.1327
11,24,2,0.1335
12,24,2,0.6208
13,24,2,0.1332
14,24,2,0.6219
15,24,2,0.9829
16,24,2,0.1325
17,24,2,0.9838
18,24,2,0.2608
19,24,2,0.9842
20,24,2,0.6239
21,24,2,0.1329
22,24,2,0.9847
23,24,2,0.1329
24,24,2,0.1332
25,24,2,0.1332
26,24,2,0.1332
27,24,2,0.1332
28,24,2,0.1332
29,24,2,0.1332
30,24,2,0.1332
10,25,2,0.9773
11,25,2,0.9794
12,25,2,0.2592
13,25,2,0.6217
14,25,2,0.6221
15,25,2,0.9827
16,25,2,0.6231
17,25,2,0.9834
18,25,2,0.2607
19,25,2,0.9842
20,25,2,0.9849
21,25,2,0.9844
22,25,2,0.9844
23,25,2,0.985
24,25,2,0.133
25,25,2,0.1331
26,25,2,0.1331
27,25,2,0.1331
28,25,2,0.1331
29,25,2,0.1331
30,25,2,0.1331
10,26,2,0.9774
11,26,2,0.2596
12,26,2,0.2592
13,26,2,0.26
14,26,2,0.6221
15,26,2,0.9823
16,26,2,0.6229
17,26,2,0.983
18,26,2,0.2607
19,26,2,0.9848
20,26,2,0.9846
21,26,2,0.1328
22,26,2,0.2609
23,26,2,0.261
24,26,2,0.2611
25,26,2,0.3256
26,26,2,0.133
27,26,2,0.133
28,26,2,0.133
29,26,2,0.133
30,26,2,0.133
10,27,2,0.976
11,27,2,0.2595
12,27,2,0.259
13,27,2,0.26
14,27,2,0.6218
15,27,2,0.6223
16,27,2,0.6225
17,27,2,0.3984
18,27,2,0.2607
19,27,2,0.9844
20,27,2,0.9849
21,27,2,0.1326
22,27,2,0.985
23,27,2,0.9844
24,27,2,0.1326
25,27,2,0.9845
26,27,2,0.1326
27,27,2,0.133
28,27,2,0.133
29,27,2,0.133
30,27,2,0.133
10,28,2,0.975
11,28,2,0.26
12,28,2,0.2594
13,28,2,0.2597
14,28,2,0.6219
15,28,2,0.6222
16,28,2,0.6225
17,28,2,0.3985
18,28,2,0.2605
19,28,2,0.7093
20,28,2,0.9843
21,28,2,0.9843
22,28,2,0.1325
23,28,2,0.1326
24,28,2,0.7092
25,28,2,0.6235
26,28,2,0.985
27,28,2,0.1327
28,28,2,0.133
29,28,2,0.133
30,28,2,0.133
10,29,2,0.9738
11,29,2,0.2602
12,29,2,0.133
13,29,2,0.2597
14,29,2,0.2001
15,29,2,0.3409
16,29,2,0.6221
17,29,2,0.7085
18,29,2,0.2605
19,29,2,0.7092
20,29,2,0.1326
21,29,2,0.9843
22,29,2,0.1326
23,29,2,0.1327
24,29,2,0.7091
25,29,2,0.2609
26,29,2,0.2613
27,29,2,0.261
28,29,2,0.1329
29,29,2,0.133
30,29,2,0.133
10,30,2,0.973
11,30,2,0.26
12,30,2,0.1327
13,30,2,0.2593
14,30,2,0.2002
15,30,2,0.6214
16,30,2,0.622
17,30,2,0.7089
18,30,2,0.2605
19,30,2,0.6233
20,30,2,0.6231
21,30,2,0.71
22,30,2,0.1327
23,30,2,0.1327
24,30,2,0.7091
25,30,2,0.9845
26,30,2,0.2616
27,30,2,0.1327
28,30,2,0.2611
29,30,2,0.2612
30,30,2,0.133
10,31,2,0.975
11,31,2,0.2599
12,31,2,0.1327
13,31,2,0.2593
14,31,2,0.621
15,31,2,0.6211
16,31,2,0.6221
17,31,2,0.7089
18,31,2,0.2605
19,31,2,0.6232
20,31,2,0.6233
21,31,2,0.7098
22,31,2,0.1324
23,31,2,0.1327
24,31,2,0.9846
25,31,2,0.9844
26,31,2,0.9845
27,31,2,0.1328
28,31,2,0.6239
29,31,2,0.2608
30,31,2,0.6239
10,32,2,0.6162
11,32,2,0.2593
12,32,2,0.1328
13,32,2,0.2593
14,32,2,0.6206
15,32,2,0.6214
16,32,2,0.6223
17,32,2,0.7088
18,32,2,0.2601
19,32,2,0.1327
20,32,2,0.623
21,32,2,0.709
22,32,2,0.1324
23,32,2,0.1324
24,32,2,0.1327
25,32,2,0.9848
26,32,2,0.2609
27,32,2,0.1328
28,32,2,0.1328
29,32,2,0.2607
30,32,2,0.1325
10,33,2,0.6175
11,33,2,0.2587
12,33,2,0.1328
13,33,2,0.2593
14,33,2,0.6207
15,33,2,0.1323
16,33,2,0.622
17,33,2,0.7081
18,33,2,0.26
19,33,2,0.1325
20,33,2,0.6221
21,33,2,0.7087
22,33,2,0.1327
23,33,2,0.1324
24,33,2,0.1325
25,33,2,0.1602
26,33,2,0.261
27,33,2,0.1327
28,33,2,0.1327
29,33,2,0.1329
30,33,2,0.7094
10,34,2,0.6168
11,34,2,0.2588
12,34,2,0.1325
13,34,2,0.2592
14,34,2,0.1328
15,34,2,0.1318
16,34,2,0.6214
17,34,2,0.7074
18,34,2,0.26
19,34,2,0.1327
20,34,2,0.6227
21,34,2,0.7088
22,34,2,0.6233
23,34,2,0.1325
24,34,2,0.9838
25,34,2,0.9844
26,34,2,0.1327
27,34,2,0.1326
28,34,2,0.1327
29,34,2,0.1327
30,34,2,0.1324
10,35,2,0.6155
11,35,2,0.259
12,35,2,0.1323
13,35,2,0.199
14,35,2,0.1325
15,35,2,0.1316
16,35,2,0.6212
17,35,2,0.7072
18,35,2,0.2598
19,35,2,0.1327
20,35,2,0.6223
21,35,2,0.7089
22,35,2,0.623
23,35,2,0.1324
24,35,2,0.1327
25,35,2,0.9844
26,35,2,0.1327
27,35,2,0.1329
28,35,2,0.1323
29,35,2,0.1325
30,35,2,0.1327
10,36,2,0.6148
11,36,2,0.2585
12,36,2,0.258
13,36,2,0.1308
14,36,2,0.1327
15,36,2,0.132
16,36,2,0.6207
17,36,2,0.7066
18,36,2,0.2598
19,36,2,0.1327
20,36,2,0.6224
21,36,2,0.9841
22,36,2,0.5117
23,36,2,0.1323
24,36,2,0.1327
25,36,2,0.9843
26,36,2,0.2609
27,36,2,0.1326
28,36,2,0.1325
29,36,2,0.1602
30,36,2,0.1327
10,37,2,0.6144
11,37,2,0.2582
12,37,2,0.2573
13,37,2,0.1305
14,37,2,0.1325
15,37,2,0.1319
16,37,2,0.6209
17,37,2,0.6205
18,37,2,0.2598
19,37,2,0.1327
20,37,2,0.6222
21,37,2,0.984
22,37,2,0.5111
23,37,2,0.1324
24,37,2,0.1326
25,37,2,0.9846
26,37,2,0.2608
27,37,2,0.1326
28,37,2,0.1326
29,37,2,0.2611
30,37,2,0.1324
10,38,2,0.6147
11,38,2,0.2583
12,38,2,0.2569
13,38,2,0.1301
14,38,2,0.1322
15,38,2,0.1318
16,38,2,0.6202
17,38,2,0.6204
18,38,2,0.2598
19,38,2,0.6217
20,38,2,0.1325
21,38,2,0.9838
22,38,2,0.6224
23,38,2,0.1325
24,38,2,0.1327
25,38,2,0.9848
26,38,2,0.2608
27,38,2,0.1328
28,38,2,0.1327
29,38,2,0.2612
30,38,2,0.1325
10,39,2,0.6142
11,39,2,0.2585
12,39,2,0.2566
13,39,2,0.1306
14,39,2,0.132
15,39,2,0.1317
16,39,2,0.6203
17,39,2,0.6196
18,39,2,0.2597
19,39,2,0.6212
20,39,2,0.1325
21,39,2,0.1323
22,39,2,0.6225
23,39,2,0.1325
24,39,2,0.1326
25,39,2,0.1326
26,39,2,0.2605
27,39,2,0.1327
28,39,2,0.1327
29,39,2,0.2612
30,39,2,0.1325
10,40,2,0.6146
11,40,2,0.2582
12,40,2,0.2565
13,40,2,0.1303
14,40,2,0.1318
15,40,2,0.1316
16,40,2,0.152
17,40,2,0.6196
18,40,2,0.2594
19,40,2,0.6213
20,40,2,0.1325
21,40,2,0.1324
22,40,2,0.6225
23,40,2,0.1325
24,40,2,0.1325
25,40,2,0.6233
26,40,2,0.2605
27,40,2,0.1327
28,40,2,0.1327
29,40,2,0.2613
30,40,2,0.1323
