seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score
10,10,8,0.134
11,10,8,0.134
12,10,8,0.134
13,10,8,0.134
14,10,8,0.134
15,10,8,0.134
16,10,8,0.134
17,10,8,0.134
18,10,8,0.134
19,10,8,0.134
20,10,8,0.134
21,10,8,0.134
22,10,8,0.134
23,10,8,0.134
24,10,8,0.134
25,10,8,0.134
26,10,8,0.134
27,10,8,0.134
28,10,8,0.134
29,10,8,0.134
30,10,8,0.134
10,11,8,0.9841
11,11,8,0.1341
12,11,8,0.1341
13,11,8,0.1341
14,11,8,0.1341
15,11,8,0.1341
16,11,8,0.1341
17,11,8,0.1341
18,11,8,0.1341
19,11,8,0.1341
20,11,8,0.1341
21,11,8,0.1341
22,11,8,0.1341
23,11,8,0.1341
24,11,8,0.1341
25,11,8,0.1341
26,11,8,0.1341
27,11,8,0.1341
28,11,8,0.1341
29,11,8,0.1341
30,11,8,0.1341
10,12,8,0.9837
11,12,8,0.9839
12,12,8,0.1329
13,12,8,0.1329
14,12,8,0.1329
15,12,8,0.1329
16,12,8,0.1329
17,12,8,0.1329
18,12,8,0.1329
19,12,8,0.1329
20,12,8,0.1329
21,12,8,0.1329
22,12,8,0.1329
23,12,8,0.1329
24,12,8,0.1329
25,12,8,0.1329
26,12,8,0.1329
27,12,8,0.1329
28,12,8,0.1329
29,12,8,0.1329
30,12,8,0.1329
10,13,8,0.9854
11,13,8,0.9847
12,13,8,0.9845
13,13,8,0.1335
14,13,8,0.1335
15,13,8,0.1335
16,13,8,0.1335
17,13,8,0.1335
18,13,8,0.1335
19,13,8,0.1335
20,13,8,0.1335
21,13,8,0.1335
22,13,8,0.1335
23,13,8,0.1335
24,13,8,0.1335
25,13,8,0.1335
26,13,8,0.1335
27,13,8,0.1335
28,13,8,0.1335
29,13,8,0.1335
30,13,8,0.1335
10,14,8,0.9849
11,14,8,0.9833
12,14,8,0.9835
13,14,8,0.6224
14,14,8,0.1339
15,14,8,0.1339
16,14,8,0.1339
17,14,8,0.1339
18,14,8,0.1339
19,14,8,0.1339
20,14,8,0.1339
21,14,8,0.1339
22,14,8,0.1339
23,14,8,0.1339
24,14,8,0.1339
25,14,8,0.1339
26,14,8,0.1339
27,14,8,0.1339
28,14,8,0.1339
29,14,8,0.1339
30,14,8,0.1339
10,15,8,0.9843
11,15,8,0.9837
12,15,8,0.983
13,15,8,0.9828
14,15,8,0.6235
15,15,8,0.1607
16,15,8,0.1607
17,15,8,0.1607
18,15,8,0.1607
19,15,8,0.1607
20,15,8,0.1607
21,15,8,0.1607
22,15,8,0.1607
23,15,8,0.1607
24,15,8,0.1607
25,15,8,0.1607
26,15,8,0.1607
27,15,8,0.1607
28,15,8,0.1607
29,15,8,0.1607
30,15,8,0.1607
10,16,8,0.9848
11,16,8,0.9834
12,16,8,0.1338
13,16,8,0.9826
14,16,8,0.9837
15,16,8,0.8281
16,16,8,0.1608
17,16,8,0.1608
18,16,8,0.1608
19,16,8,0.1608
20,16,8,0.1608
21,16,8,0.1608
22,16,8,0.1608
23,16,8,0.1608
24,16,8,0.1608
25,16,8,0.1608
26,16,8,0.1608
27,16,8,0.1608
28,16,8,0.1608
29,16,8,0.1608
30,16,8,0.1608
10,17,8,0.2611
11,17,8,0.9836
12,17,8,0.9836
13,17,8,0.9832
14,17,8,0.2604
15,17,8,0.9841
16,17,8,0.261
17,17,8,0.1609
18,17,8,0.1609
19,17,8,0.1609
20,17,8,0.1609
21,17,8,0.1609
22,17,8,0.1609
23,17,8,0.1609
24,17,8,0.1609
25,17,8,0.1609
26,17,8,0.1609
27,17,8,0.1609
28,17,8,0.1609
29,17,8,0.1609
30,17,8,0.1609
10,18,8,0.2611
11,18,8,0.9837
12,18,8,0.9835
13,18,8,0.1335
14,18,8,0.983
15,18,8,0.9838
16,18,8,0.9844
17,18,8,0.9853
18,18,8,0.1605
19,18,8,0.1605
20,18,8,0.1605
21,18,8,0.1605
22,18,8,0.1605
23,18,8,0.1605
24,18,8,0.1605
25,18,8,0.1605
26,18,8,0.1605
27,18,8,0.1605
28,18,8,0.1605
29,18,8,0.1605
30,18,8,0.1605
10,19,8,0.9842
11,19,8,0.9842
12,19,8,0.9828
13,19,8,0.9829
14,19,8,0.9835
15,19,8,0.9833
16,19,8,0.9845
17,19,8,0.9841
18,19,8,0.7102
19,19,8,0.1608
20,19,8,0.1608
21,19,8,0.1608
22,19,8,0.1608
23,19,8,0.1608
24,19,8,0.1608
25,19,8,0.1608
26,19,8,0.1608
27,19,8,0.1608
28,19,8,0.1608
29,19,8,0.1608
30,19,8,0.1608
10,20,8,0.9843
