seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,7,0.9938,4.08,112804
11,10,7,0.9938,0.66,68800
12,10,7,0.9938,0.65,69120
13,10,7,0.9938,0.65,69120
14,10,7,0.9938,0.64,74836
15,10,7,0.9938,0.66,69120
16,10,7,0.9938,0.65,69120
17,10,7,0.9938,0.65,69120
18,10,7,0.9938,0.66,75152
19,10,7,0.9938,0.65,69120
20,10,7,0.9938,0.65,69120
21,10,7,0.9938,0.67,69120
22,10,7,0.9938,0.66,68800
23,10,7,0.9938,0.66,69120
24,10,7,0.9938,0.66,68800
25,10,7,0.9938,0.66,68800
26,10,7,0.9938,0.65,68800
27,10,7,0.9938,0.66,69120
28,10,7,0.9938,0.64,69120
29,10,7,0.9938,0.66,69120
30,10,7,0.9938,0.65,69120
10,11,7,0.9936,3.25,106156
11,11,7,0.9937,1.87,94696
12,11,7,0.9937,0.65,69120
13,11,7,0.9937,0.67,68800
14,11,7,0.9937,0.65,75148
15,11,7,0.9937,0.65,69120
16,11,7,0.9937,0.65,68800
17,11,7,0.9937,0.66,69120
18,11,7,0.9937,0.65,69120
19,11,7,0.9937,0.66,69120
20,11,7,0.9937,0.65,69120
21,11,7,0.9937,0.64,69120
22,11,7,0.9937,0.65,69120
23,11,7,0.9937,0.65,69120
24,11,7,0.9937,0.64,69120
25,11,7,0.9937,0.65,69120
26,11,7,0.9937,0.66,68800
27,11,7,0.9937,0.65,68800
28,11,7,0.9937,0.66,69120
29,11,7,0.9937,0.65,69120
30,11,7,0.9937,0.65,68800
10,12,7,0.9928,2.74,88148
11,12,7,0.9928,1.58,91148
12,12,7,0.992,1.61,100152
13,12,7,0.992,0.66,69120
14,12,7,0.992,0.65,69120
15,12,7,0.992,0.65,69120
16,12,7,0.992,0.65,68800
17,12,7,0.992,0.65,68800
18,12,7,0.992,0.65,69120
19,12,7,0.992,0.66,69120
20,12,7,0.992,0.65,75152
21,12,7,0.992,0.65,68800
22,12,7,0.992,0.66,69120
23,12,7,0.992,0.66,69120
24,12,7,0.992,0.66,69120
25,12,7,0.992,0.65,69120
26,12,7,0.992,0.66,68800
27,12,7,0.992,0.66,69120
28,12,7,0.992,0.66,68800
29,12,7,0.992,0.65,69120
30,12,7,0.992,0.65,69120
10,13,7,0.9927,2.39,93800
11,13,7,0.993,1.43,86760
12,13,7,0.9923,1.58,91724
13,13,7,0.1468,1.47,102816
14,13,7,0.1468,0.66,69120
15,13,7,0.1468,0.66,69120
16,13,7,0.1468,0.64,68800
17,13,7,0.1468,0.66,69120
18,13,7,0.1468,0.65,68800
19,13,7,0.1468,0.66,69120
20,13,7,0.1468,0.65,69120
21,13,7,0.1468,0.65,75520
22,13,7,0.1468,0.66,69120
23,13,7,0.1468,0.65,69120
24,13,7,0.1468,0.66,69120
25,13,7,0.1468,0.65,68800
26,13,7,0.1468,0.66,69120
27,13,7,0.1468,0.66,69120
28,13,7,0.1468,0.69,69120
29,13,7,0.1468,0.64,69120
30,13,7,0.1468,0.66,69120
10,14,7,0.9924,2.13,91324
11,14,7,0.9916,1.33,84424
12,14,7,0.9918,1.53,85036
13,14,7,0.1467,1.35,90404
14,14,7,0.1198,1.4,102504
15,14,7,0.1198,0.65,69120
16,14,7,0.1198,0.66,68800
17,14,7,0.1198,0.65,69120
18,14,7,0.1198,0.66,69120
19,14,7,0.1198,0.66,68800
20,14,7,0.1198,0.65,69120
21,14,7,0.1198,0.65,69120
22,14,7,0.1198,0.66,69120
23,14,7,0.1198,0.65,75156
24,14,7,0.1198,0.65,68800
25,14,7,0.1198,0.65,68800
26,14,7,0.1198,0.65,69120
27,14,7,0.1198,0.66,69120
28,14,7,0.1198,0.66,69120
29,14,7,0.1198,0.67,69120
30,14,7,0.1198,0.65,68800
10,15,7,0.9928,1.99,89456
11,15,7,0.9922,1.28,81904
12,15,7,0.9913,1.5,82092
13,15,7,0.1465,1.39,86656
14,15,7,0.1197,1.31,90404
15,15,7,0.1198,1.4,104488
16,15,7,0.1198,0.65,69120
17,15,7,0.1198,0.67,69120
18,15,7,0.1198,0.66,69120
19,15,7,0.1198,0.66,69120
20,15,7,0.1198,0.65,68800
21,15,7,0.1198,0.65,75156
22,15,7,0.1198,0.65,69120
23,15,7,0.1198,0.66,74836
24,15,7,0.1198,0.65,68800
25,15,7,0.1198,0.65,69120
26,15,7,0.1198,0.65,69120
27,15,7,0.1198,0.64,69120
28,15,7,0.1198,0.65,69120
29,15,7,0.1198,0.65,68800
30,15,7,0.1198,0.65,69120
10,16,7,0.9913,1.82,87844
11,16,7,0.9917,1.38,81352
12,16,7,0.811,1.38,81296
13,16,7,0.1464,1.36,82144
14,16,7,0.1197,1.3,84100
15,16,7,0.1197,1.31,91788
16,16,7,0.1166,1.39,104240
17,16,7,0.1166,0.66,69120
18,16,7,0.1166,0.68,75156
19,16,7,0.1166,0.66,69120
20,16,7,0.1166,0.66,69120
21,16,7,0.1166,0.65,69120
22,16,7,0.1166,0.66,69120
23,16,7,0.1166,0.65,69120
24,16,7,0.1166,0.66,69120
25,16,7,0.1166,0.65,69120
26,16,7,0.1166,0.66,69120
27,16,7,0.1166,0.66,69120
28,16,7,0.1166,0.66,69120
29,16,7,0.1166,0.65,69120
30,16,7,0.1166,0.66,68800
10,17,7,0.9903,1.71,87944
11,17,7,0.9901,1.49,81448
12,17,7,0.1422,1.36,79652
13,17,7,0.1463,1.27,81644
14,17,7,0.1197,1.31,81112
15,17,7,0.1165,1.31,86324
16,17,7,0.1165,1.32,91276
17,17,7,0.1166,1.38,103672
18,17,7,0.1166,0.66,69120
19,17,7,0.1166,0.67,68800
20,17,7,0.1166,0.66,68800
21,17,7,0.1166,0.65,69120
22,17,7,0.1166,0.66,69120
23,17,7,0.1166,0.66,69120
24,17,7,0.1166,0.66,69120
25,17,7,0.1166,0.66,69120
26,17,7,0.1166,0.66,68800
27,17,7,0.1166,0.65,68800
28,17,7,0.1166,0.66,69120
29,17,7,0.1166,0.66,69120
30,17,7,0.1166,0.66,69120
10,18,7,0.9881,1.64,77452
11,18,7,0.9875,1.51,80744
12,18,7,0.142,1.29,79688
13,18,7,0.1308,1.28,80920
14,18,7,0.1164,1.31,81456
15,18,7,0.1164,1.31,83604
16,18,7,0.1163,1.36,86556
17,18,7,0.1164,1.33,91180
18,18,7,0.1164,1.36,102356
19,18,7,0.1164,0.65,74832
20,18,7,0.1164,0.65,69120
21,18,7,0.1164,0.66,75152
22,18,7,0.1164,0.65,69120
23,18,7,0.1164,0.66,68800
24,18,7,0.1164,0.66,69120
25,18,7,0.1164,0.65,69120
26,18,7,0.1164,0.66,69120
27,18,7,0.1164,0.65,69120
28,18,7,0.1164,0.65,69120
29,18,7,0.1164,0.65,68800
30,18,7,0.1164,0.65,69120
10,19,7,0.9867,1.56,83304
11,19,7,0.9869,1.48,79932
12,19,7,0.1419,1.28,77820
13,19,7,0.1309,1.27,81120
14,19,7,0.1164,1.32,80936
15,19,7,0.1163,1.31,81044
16,19,7,0.1163,1.23,83664
17,19,7,0.1163,1.34,86324
18,19,7,0.1162,1.34,92864
19,19,7,0.1161,1.42,101396
20,19,7,0.1161,0.66,75152
21,19,7,0.1161,0.66,69120
22,19,7,0.1161,0.66,69120
23,19,7,0.1161,0.65,69120
24,19,7,0.1161,0.66,68800
25,19,7,0.1161,0.66,69120
26,19,7,0.1161,0.65,69120
27,19,7,0.1161,0.66,69120
28,19,7,0.1161,0.64,69120
29,19,7,0.1161,0.65,68800
30,19,7,0.1161,0.67,69120
10,20,7,0.9852,1.49,84532
11,20,7,0.1348,1.51,79276
