seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,10,0.9939,4.08,115608
11,10,10,0.9939,0.65,68800
12,10,10,0.9939,0.67,69120
13,10,10,0.9939,0.65,69120
14,10,10,0.9939,0.66,69120
15,10,10,0.9939,0.65,69120
16,10,10,0.9939,0.66,68800
17,10,10,0.9939,0.66,69120
18,10,10,0.9939,0.66,74836
19,10,10,0.9939,0.65,68800
20,10,10,0.9939,0.67,75156
21,10,10,0.9939,0.66,69120
22,10,10,0.9939,0.65,69120
23,10,10,0.9939,0.67,69120
24,10,10,0.9939,0.66,69120
25,10,10,0.9939,0.66,69120
26,10,10,0.9939,0.66,69120
27,10,10,0.9939,0.65,69120
28,10,10,0.9939,0.66,69120
29,10,10,0.9939,0.65,69120
30,10,10,0.9939,0.66,68800
10,11,10,0.9936,3.25,106912
11,11,10,0.9937,1.83,98004
12,11,10,0.9937,0.67,69120
13,11,10,0.9937,0.65,69120
14,11,10,0.9937,0.66,69120
15,11,10,0.9937,0.65,68800
16,11,10,0.9937,0.66,68800
17,11,10,0.9937,0.65,69120
18,11,10,0.9937,0.65,69120
19,11,10,0.9937,0.65,69120
20,11,10,0.9937,0.65,69120
21,11,10,0.9937,0.66,69120
22,11,10,0.9937,0.65,69120
23,11,10,0.9937,0.65,69120
24,11,10,0.9937,0.66,69120
25,11,10,0.9937,0.66,68800
26,11,10,0.9937,0.66,69120
27,11,10,0.9937,0.67,69120
28,11,10,0.9937,0.65,69120
29,11,10,0.9937,0.65,69120
30,11,10,0.9937,0.65,69120
10,12,10,0.9928,2.73,98976
11,12,10,0.9928,1.59,88168
12,12,10,0.992,1.59,102052
13,12,10,0.992,0.65,69120
14,12,10,0.992,0.65,68800
15,12,10,0.992,0.65,69120
16,12,10,0.992,0.66,69120
17,12,10,0.992,0.65,68800
18,12,10,0.992,0.66,69120
19,12,10,0.992,0.65,68800
20,12,10,0.992,0.65,74832
21,12,10,0.992,0.65,68800
22,12,10,0.992,0.65,69120
23,12,10,0.992,0.65,69120
24,12,10,0.992,0.66,69120
25,12,10,0.992,0.65,68800
26,12,10,0.992,0.65,69120
27,12,10,0.992,0.66,68800
28,12,10,0.992,0.65,69120
29,12,10,0.992,0.66,69120
30,12,10,0.992,0.65,68800
10,13,10,0.9927,2.39,95012
11,13,10,0.993,1.41,87260
12,13,10,0.9923,1.57,90172
13,13,10,0.1468,1.46,102464
14,13,10,0.1468,0.66,69120
15,13,10,0.1468,0.65,69120
16,13,10,0.1468,0.67,68800
17,13,10,0.1468,0.65,68800
18,13,10,0.1468,0.66,69120
19,13,10,0.1468,0.66,69120
20,13,10,0.1468,0.65,68800
21,13,10,0.1468,0.66,69120
22,13,10,0.1468,0.66,68800
23,13,10,0.1468,0.67,69120
24,13,10,0.1468,0.64,69120
25,13,10,0.1468,0.66,69120
26,13,10,0.1468,0.65,69120
27,13,10,0.1468,0.65,69120
28,13,10,0.1468,0.65,69120
29,13,10,0.1468,0.66,69120
30,13,10,0.1468,0.66,68800
10,14,10,0.9924,2.15,91288
11,14,10,0.9916,1.29,84992
12,14,10,0.9918,1.51,84764
13,14,10,0.1467,1.4,92132
14,14,10,0.1198,1.4,102456
15,14,10,0.1198,0.66,69120
16,14,10,0.1198,0.65,75152
17,14,10,0.1198,0.66,69120
18,14,10,0.1198,0.65,68800
19,14,10,0.1198,0.66,74836
20,14,10,0.1198,0.66,69120
21,14,10,0.1198,0.65,69120
22,14,10,0.1198,0.66,68800
23,14,10,0.1198,0.65,68800
24,14,10,0.1198,0.66,69120
25,14,10,0.1198,0.65,69120
26,14,10,0.1198,0.66,69120
27,14,10,0.1198,0.65,68800
28,14,10,0.1198,0.66,74832
29,14,10,0.1198,0.65,69120
30,14,10,0.1198,0.66,69120
10,15,10,0.9928,1.96,91788
11,15,10,0.9922,1.23,82928
12,15,10,0.9913,1.51,82424
13,15,10,0.1465,1.37,85556
14,15,10,0.1197,1.34,92688
15,15,10,0.1198,1.37,103900
16,15,10,0.1198,0.65,68800
17,15,10,0.1198,0.65,68800
18,15,10,0.1198,0.66,69120
19,15,10,0.1198,0.65,75520
20,15,10,0.1198,0.66,69120
21,15,10,0.1198,0.65,69120
22,15,10,0.1198,0.67,69120
23,15,10,0.1198,0.65,75156
24,15,10,0.1198,0.66,69120
25,15,10,0.1198,0.66,69120
26,15,10,0.1198,0.65,69120
27,15,10,0.1198,0.67,68800
28,15,10,0.1198,0.66,69120
29,15,10,0.1198,0.66,69120
30,15,10,0.1198,0.65,69120
10,16,10,0.9913,1.83,88164
11,16,10,0.9917,1.41,80776
12,16,10,0.811,1.42,81544
13,16,10,0.1464,1.32,82164
14,16,10,0.1197,1.33,85344
15,16,10,0.1197,1.37,92036
16,16,10,0.1166,1.41,104252
17,16,10,0.1166,0.66,69120
18,16,10,0.1166,0.66,75152
19,16,10,0.1166,0.66,69120
20,16,10,0.1166,0.65,69120
21,16,10,0.1166,0.65,68800
22,16,10,0.1166,0.66,69120
23,16,10,0.1166,0.66,68800
24,16,10,0.1166,0.65,68800
25,16,10,0.1166,0.66,75156
26,16,10,0.1166,0.65,69120
27,16,10,0.1166,0.65,68800
28,16,10,0.1166,0.65,69120
29,16,10,0.1166,0.66,74836
30,16,10,0.1166,0.65,68800
10,17,10,0.9903,1.72,80140
11,17,10,0.9901,1.49,81140
12,17,10,0.1422,1.36,79364
13,17,10,0.1463,1.3,81716
14,17,10,0.1197,1.34,84348
15,17,10,0.1165,1.33,86628
16,17,10,0.1165,1.33,90208
17,17,10,0.1166,1.4,104240
18,17,10,0.1166,0.66,69120
19,17,10,0.1166,0.65,69120
20,17,10,0.1166,0.66,68800
21,17,10,0.1166,0.66,69120
22,17,10,0.1166,0.66,69120
23,17,10,0.1166,0.66,69120
24,17,10,0.1166,0.66,69120
25,17,10,0.1166,0.65,69120
26,17,10,0.1166,0.65,75152
27,17,10,0.1166,0.67,68800
28,17,10,0.1166,0.66,69120
29,17,10,0.1166,0.66,68800
