seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,9,0.9939,4.07,114364
11,10,9,0.9939,0.65,68800
12,10,9,0.9939,0.65,69120
13,10,9,0.9939,0.66,69120
14,10,9,0.9939,0.65,69120
15,10,9,0.9939,0.65,69120
16,10,9,0.9939,0.66,69120
17,10,9,0.9939,0.65,68800
18,10,9,0.9939,0.65,69120
19,10,9,0.9939,0.68,74836
20,10,9,0.9939,0.66,68800
21,10,9,0.9939,0.66,69120
22,10,9,0.9939,0.66,69120
23,10,9,0.9939,0.65,69120
24,10,9,0.9939,0.66,69120
25,10,9,0.9939,0.65,69120
26,10,9,0.9939,0.66,69120
27,10,9,0.9939,0.65,69120
28,10,9,0.9939,0.66,69120
29,10,9,0.9939,0.66,68800
30,10,9,0.9939,0.65,69120
10,11,9,0.9936,3.29,107224
11,11,9,0.9937,1.86,99488
12,11,9,0.9937,0.65,68800
13,11,9,0.9937,0.65,69120
14,11,9,0.9937,0.66,68800
15,11,9,0.9937,0.65,69120
16,11,9,0.9937,0.65,69120
17,11,9,0.9937,0.65,69120
18,11,9,0.9937,0.66,68800
19,11,9,0.9937,0.64,69120
20,11,9,0.9937,0.66,69120
21,11,9,0.9937,0.65,69120
22,11,9,0.9937,0.67,74828
23,11,9,0.9937,0.66,69120
24,11,9,0.9937,0.64,68800
25,11,9,0.9937,0.66,69120
26,11,9,0.9937,0.66,75152
27,11,9,0.9937,0.65,69120
28,11,9,0.9937,0.66,69120
29,11,9,0.9937,0.66,75152
30,11,9,0.9937,0.66,68800
10,12,9,0.9928,2.72,89404
11,12,9,0.9928,1.58,90840
12,12,9,0.992,1.61,102612
13,12,9,0.992,0.64,69120
14,12,9,0.992,0.65,69120
15,12,9,0.992,0.66,68800
16,12,9,0.992,0.65,69120
17,12,9,0.992,0.65,68800
18,12,9,0.992,0.65,74832
19,12,9,0.992,0.66,74836
20,12,9,0.992,0.67,69120
21,12,9,0.992,0.65,69120
22,12,9,0.992,0.66,69120
23,12,9,0.992,0.65,68800
24,12,9,0.992,0.65,75152
25,12,9,0.992,0.65,68800
26,12,9,0.992,0.65,68800
27,12,9,0.992,0.66,69120
28,12,9,0.992,0.66,68800
29,12,9,0.992,0.66,69120
30,12,9,0.992,0.65,69120
10,13,9,0.9927,2.41,93484
11,13,9,0.993,1.43,88076
12,13,9,0.9923,1.57,90160
13,13,9,0.1468,1.41,103592
14,13,9,0.1468,0.66,75152
15,13,9,0.1468,0.65,69120
16,13,9,0.1468,0.66,69120
17,13,9,0.1468,0.66,69120
18,13,9,0.1468,0.64,69120
19,13,9,0.1468,0.66,69120
20,13,9,0.1468,0.65,69120
21,13,9,0.1468,0.64,69120
22,13,9,0.1468,0.65,69120
23,13,9,0.1468,0.66,69120
24,13,9,0.1468,0.65,68800
25,13,9,0.1468,0.66,69120
26,13,9,0.1468,0.66,75156
27,13,9,0.1468,0.64,69120
28,13,9,0.1468,0.66,69120
29,13,9,0.1468,0.67,75152
30,13,9,0.1468,0.66,68800
10,14,9,0.9924,2.15,92268
11,14,9,0.9916,1.32,85100
12,14,9,0.9918,1.56,83692
13,14,9,0.1467,1.38,90408
14,14,9,0.1198,1.42,102996
15,14,9,0.1198,0.66,69120
16,14,9,0.1198,0.65,69120
17,14,9,0.1198,0.66,69120
18,14,9,0.1198,0.66,69120
19,14,9,0.1198,0.65,69120
20,14,9,0.1198,0.66,69120
21,14,9,0.1198,0.66,68800
22,14,9,0.1198,0.64,75156
23,14,9,0.1198,0.65,68800
24,14,9,0.1198,0.66,69120
25,14,9,0.1198,0.65,69120
26,14,9,0.1198,0.66,69120
27,14,9,0.1198,0.65,69120
28,14,9,0.1198,0.66,69120
29,14,9,0.1198,0.65,75156
30,14,9,0.1198,0.65,69120
10,15,9,0.9928,1.97,91032
11,15,9,0.9922,1.25,80788
12,15,9,0.9913,1.48,82640
13,15,9,0.1465,1.37,86392
14,15,9,0.1197,1.31,92040
15,15,9,0.1198,1.38,101340
16,15,9,0.1198,0.66,75156
17,15,9,0.1198,0.66,75152
18,15,9,0.1198,0.65,68800
19,15,9,0.1198,0.66,69120
20,15,9,0.1198,0.65,68800
21,15,9,0.1198,0.66,69120
22,15,9,0.1198,0.66,69120
23,15,9,0.1198,0.67,74832
24,15,9,0.1198,0.66,75152
25,15,9,0.1198,0.66,68800
26,15,9,0.1198,0.66,69120
27,15,9,0.1198,0.66,69120
28,15,9,0.1198,0.66,68800
29,15,9,0.1198,0.65,69120
30,15,9,0.1198,0.66,69120
10,16,9,0.9913,1.81,80220
11,16,9,0.9917,1.39,80908
12,16,9,0.811,1.47,79828
13,16,9,0.1464,1.35,82480
14,16,9,0.1197,1.3,84984
15,16,9,0.1197,1.35,92316
16,16,9,0.1166,1.36,103564
17,16,9,0.1166,0.66,68800
18,16,9,0.1166,0.66,69120
19,16,9,0.1166,0.66,75156
20,16,9,0.1166,0.66,69120
21,16,9,0.1166,0.65,68800
22,16,9,0.1166,0.66,68800
23,16,9,0.1166,0.67,69120
24,16,9,0.1166,0.66,68800
25,16,9,0.1166,0.66,68800
26,16,9,0.1166,0.65,69120
27,16,9,0.1166,0.66,69120
28,16,9,0.1166,0.66,68800
29,16,9,0.1166,0.66,68800
30,16,9,0.1166,0.65,68800
10,17,9,0.9903,1.72,87552
11,17,9,0.9901,1.49,80220
12,17,9,0.1422,1.35,80092
13,17,9,0.1463,1.3,80532
14,17,9,0.1197,1.31,83344
15,17,9,0.1165,1.37,87484
16,17,9,0.1165,1.3,91776
17,17,9,0.1166,1.4,103232
18,17,9,0.1166,0.65,69120
19,17,9,0.1166,0.64,69120
20,17,9,0.1166,0.66,69120
21,17,9,0.1166,0.66,69120
22,17,9,0.1166,0.66,69120
23,17,9,0.1166,0.64,69120
24,17,9,0.1166,0.66,68800
25,17,9,0.1166,0.65,69120
26,17,9,0.1166,0.66,69120
27,17,9,0.1166,0.66,74832
28,17,9,0.1166,0.65,69120
29,17,9,0.1166,0.66,69120
30,17,9,0.1166,0.66,69120
10,18,9,0.9881,1.62,77968
11,18,9,0.9875,1.49,80272
12,18,9,0.142,1.39,78180
13,18,9,0.1308,1.27,79268
14,18,9,0.1164,1.28,80800
15,18,9,0.1164,1.37,82160
16,18,9,0.1163,1.36,88580
17,18,9,0.1164,1.32,91208
18,18,9,0.1164,1.45,102344
19,18,9,0.1164,0.65,69120
20,18,9,0.1164,0.66,69120
21,18,9,0.1164,0.66,69120
22,18,9,0.1164,0.67,75152
23,18,9,0.1164,0.66,69120
24,18,9,0.1164,0.66,68800
25,18,9,0.1164,0.66,68800
26,18,9,0.1164,0.65,75372
27,18,9,0.1164,0.67,68800
28,18,9,0.1164,0.65,69120
29,18,9,0.1164,0.66,69120
30,18,9,0.1164,0.65,69120
10,19,9,0.9867,1.55,84344
11,19,9,0.9869,1.52,79216
12,19,9,0.1419,1.34,78000
13,19,9,0.1309,1.25,79828
14,19,9,0.1164,1.28,80532
15,19,9,0.1163,1.28,83152
16,19,9,0.1163,1.27,84312
17,19,9,0.1163,1.32,86448
18,19,9,0.1162,1.38,92736
19,19,9,0.1161,1.37,101648
20,19,9,0.1161,0.66,69120
21,19,9,0.1161,0.66,75152
22,19,9,0.1161,0.66,75148
23,19,9,0.1161,0.65,68800
24,19,9,0.1161,0.66,69120
25,19,9,0.1161,0.66,69120
26,19,9,0.1161,0.67,69120
27,19,9,0.1161,0.65,69120
28,19,9,0.1161,0.66,69120
29,19,9,0.1161,0.65,69120
30,19,9,0.1161,0.65,69120
10,20,9,0.9852,1.5,85220
11,20,9,0.1348,1.51,79540
12,20,9,0.1415,1.27,76308
13,20,9,0.1308,1.29,80260
14,20,9,0.1163,1.25,79188
