seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,3,0.9938,3.87,112604
11,10,3,0.9938,0.65,68800
12,10,3,0.9938,0.66,69120
13,10,3,0.9938,0.65,69120
14,10,3,0.9938,0.66,74832
15,10,3,0.9938,0.64,69120
16,10,3,0.9938,0.66,68800
17,10,3,0.9938,0.65,69120
18,10,3,0.9938,0.66,75152
19,10,3,0.9938,0.65,68800
20,10,3,0.9938,0.66,68800
21,10,3,0.9938,0.65,69120
22,10,3,0.9938,0.66,69120
23,10,3,0.9938,0.66,69120
24,10,3,0.9938,0.65,75520
25,10,3,0.9938,0.65,69120
26,10,3,0.9938,0.65,69120
27,10,3,0.9938,0.66,69120
28,10,3,0.9938,0.65,69120
29,10,3,0.9938,0.65,68800
30,10,3,0.9938,0.66,69120
10,11,3,0.9938,3.25,105188
11,11,3,0.9936,1.85,97432
12,11,3,0.9936,0.66,69120
13,11,3,0.9936,0.65,69120
14,11,3,0.9936,0.65,68800
15,11,3,0.9936,0.65,69120
16,11,3,0.9936,0.65,69120
17,11,3,0.9936,0.65,75160
18,11,3,0.9936,0.68,69120
19,11,3,0.9936,0.66,68800
20,11,3,0.9936,0.66,75156
21,11,3,0.9936,0.66,74836
22,11,3,0.9936,0.65,69120
23,11,3,0.9936,0.66,68800
24,11,3,0.9936,0.65,75152
25,11,3,0.9936,0.66,69120
26,11,3,0.9936,0.65,68800
27,11,3,0.9936,0.66,69120
28,11,3,0.9936,0.66,74828
29,11,3,0.9936,0.66,69120
30,11,3,0.9936,0.65,69120
10,12,3,0.9928,2.72,98428
11,12,3,0.9928,1.57,90688
12,12,3,0.992,1.62,102076
13,12,3,0.992,0.65,68800
14,12,3,0.992,0.66,69120
15,12,3,0.992,0.65,69120
16,12,3,0.992,0.64,69120
17,12,3,0.992,0.65,69120
18,12,3,0.992,0.66,69120
19,12,3,0.992,0.66,69120
20,12,3,0.992,0.65,69120
21,12,3,0.992,0.65,69120
22,12,3,0.992,0.66,75152
23,12,3,0.992,0.65,69120
24,12,3,0.992,0.66,69120
25,12,3,0.992,0.65,69120
26,12,3,0.992,0.66,69120
27,12,3,0.992,0.65,69120
28,12,3,0.992,0.64,69120
29,12,3,0.992,0.65,69120
30,12,3,0.992,0.66,69120
10,13,3,0.9927,2.4,83552
11,13,3,0.993,1.43,87332
12,13,3,0.9923,1.59,91156
13,13,3,0.1468,1.41,101984
14,13,3,0.1468,0.66,68800
15,13,3,0.1468,0.65,69120
16,13,3,0.1468,0.64,69120
17,13,3,0.1468,0.66,69120
18,13,3,0.1468,0.66,75200
19,13,3,0.1468,0.65,69120
20,13,3,0.1468,0.64,69120
21,13,3,0.1468,0.66,69120
22,13,3,0.1468,0.66,69120
23,13,3,0.1468,0.65,68800
24,13,3,0.1468,0.66,74836
25,13,3,0.1468,0.66,69120
26,13,3,0.1468,0.65,69120
27,13,3,0.1468,0.65,74836
28,13,3,0.1468,0.66,69120
29,13,3,0.1468,0.65,69120
30,13,3,0.1468,0.65,75156
10,14,3,0.9924,2.15,91132
11,14,3,0.9916,1.31,84568
12,14,3,0.9918,1.5,83920
13,14,3,0.1467,1.37,91364
14,14,3,0.1198,1.37,103836
15,14,3,0.1198,0.65,75520
16,14,3,0.1198,0.65,69120
17,14,3,0.1198,0.66,75152
18,14,3,0.1198,0.66,69120
19,14,3,0.1198,0.66,69120
20,14,3,0.1198,0.64,68800
21,14,3,0.1198,0.64,69120
22,14,3,0.1198,0.66,69120
23,14,3,0.1198,0.66,68800
24,14,3,0.1198,0.64,75156
25,14,3,0.1198,0.66,74828
26,14,3,0.1198,0.66,69120
27,14,3,0.1198,0.66,69120
28,14,3,0.1198,0.66,68800
29,14,3,0.1198,0.66,69120
30,14,3,0.1198,0.65,69120
10,15,3,0.9928,1.98,91032
11,15,3,0.9922,1.24,82140
12,15,3,0.9913,1.49,83724
13,15,3,0.1465,1.33,83336
14,15,3,0.1197,1.34,90824
15,15,3,0.1198,1.38,101700
16,15,3,0.1198,0.67,75156
17,15,3,0.1198,0.65,69120
18,15,3,0.1198,0.65,69120
19,15,3,0.1198,0.66,69120
20,15,3,0.1198,0.65,69120
21,15,3,0.1198,0.65,69120
22,15,3,0.1198,0.65,69120
23,15,3,0.1198,0.65,68800
24,15,3,0.1198,0.65,74836
25,15,3,0.1198,0.65,68800
26,15,3,0.1198,0.65,69120
27,15,3,0.1198,0.66,69120
28,15,3,0.1198,0.65,69120
29,15,3,0.1198,0.65,69120
30,15,3,0.1198,0.66,68800
10,16,3,0.9913,1.83,88900
11,16,3,0.9917,1.41,78208
12,16,3,0.811,1.35,81628
13,16,3,0.1464,1.29,83388
14,16,3,0.1197,1.3,87072
15,16,3,0.1197,1.34,92096
16,16,3,0.1166,1.37,102792
17,16,3,0.1166,0.66,69120
18,16,3,0.1166,0.65,74832
19,16,3,0.1166,0.65,68800
20,16,3,0.1166,0.66,68800
21,16,3,0.1166,0.64,68800
22,16,3,0.1166,0.65,69120
23,16,3,0.1166,0.66,69120
24,16,3,0.1166,0.66,69120
25,16,3,0.1166,0.65,68800
26,16,3,0.1166,0.65,75152
27,16,3,0.1166,0.67,69120
28,16,3,0.1166,0.65,68800
29,16,3,0.1166,0.65,68800
30,16,3,0.1166,0.66,69120
10,17,3,0.9903,1.7,87256
11,17,3,0.9901,1.5,81200
12,17,3,0.1422,1.4,81540
13,17,3,0.1463,1.31,80960
14,17,3,0.1197,1.3,83676
15,17,3,0.1165,1.33,86496
16,17,3,0.1165,1.38,91716
17,17,3,0.1166,1.45,103700
18,17,3,0.1166,0.66,69120
19,17,3,0.1166,0.65,69120
20,17,3,0.1166,0.65,68800
21,17,3,0.1166,0.65,69120
22,17,3,0.1166,0.66,69120
23,17,3,0.1166,0.66,69120
24,17,3,0.1166,0.64,74832
25,17,3,0.1166,0.65,69120
26,17,3,0.1166,0.65,69120
27,17,3,0.1166,0.66,68800
28,17,3,0.1166,0.65,69120
29,17,3,0.1166,0.65,69120
30,17,3,0.1166,0.65,69120
10,18,3,0.9881,1.63,86900
11,18,3,0.9875,1.51,79292
12,18,3,0.142,1.3,78196
13,18,3,0.1308,1.31,81660
14,18,3,0.1164,1.31,81948
15,18,3,0.1164,1.29,82256
16,18,3,0.1163,1.33,88036
17,18,3,0.1164,1.37,91728
18,18,3,0.1164,1.41,101112
19,18,3,0.1164,0.65,69120
20,18,3,0.1164,0.66,74836
21,18,3,0.1164,0.66,69120
22,18,3,0.1164,0.65,69120
