seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,6,0.9939,4.09,113824
11,10,6,0.9939,0.65,69120
12,10,6,0.9939,0.66,68800
13,10,6,0.9939,0.65,68800
14,10,6,0.9939,0.66,69120
15,10,6,0.9939,0.64,68800
16,10,6,0.9939,0.66,69120
17,10,6,0.9939,0.65,69120
18,10,6,0.9939,0.66,69120
19,10,6,0.9939,0.65,69120
20,10,6,0.9939,0.66,68800
21,10,6,0.9939,0.65,68800
22,10,6,0.9939,0.65,69120
23,10,6,0.9939,0.66,69120
24,10,6,0.9939,0.65,69120
25,10,6,0.9939,0.65,74836
26,10,6,0.9939,0.66,69120
27,10,6,0.9939,0.67,69120
28,10,6,0.9939,0.64,68800
29,10,6,0.9939,0.65,69120
30,10,6,0.9939,0.66,69120
10,11,6,0.9936,3.25,107308
11,11,6,0.9937,1.85,98368
12,11,6,0.9937,0.65,69120
13,11,6,0.9937,0.65,69120
14,11,6,0.9937,0.65,69120
15,11,6,0.9937,0.66,69120
16,11,6,0.9937,0.64,68800
17,11,6,0.9937,0.65,69120
18,11,6,0.9937,0.66,68800
19,11,6,0.9937,0.67,68800
20,11,6,0.9937,0.65,74756
21,11,6,0.9937,0.66,69120
22,11,6,0.9937,0.65,75156
23,11,6,0.9937,0.66,69120
24,11,6,0.9937,0.66,68800
25,11,6,0.9937,0.66,69120
26,11,6,0.9937,0.66,75152
27,11,6,0.9937,0.66,69120
28,11,6,0.9937,0.66,75152
29,11,6,0.9937,0.64,69120
30,11,6,0.9937,0.65,69120
10,12,6,0.9928,2.74,97860
11,12,6,0.9928,1.58,88212
12,12,6,0.992,1.6,102772
13,12,6,0.992,0.66,69120
14,12,6,0.992,0.66,68800
15,12,6,0.992,0.65,68800
16,12,6,0.992,0.65,69120
17,12,6,0.992,0.65,75156
18,12,6,0.992,0.66,69120
19,12,6,0.992,0.65,68800
20,12,6,0.992,0.65,69120
21,12,6,0.992,0.66,69120
22,12,6,0.992,0.65,69120
23,12,6,0.992,0.66,75520
24,12,6,0.992,0.67,69120
25,12,6,0.992,0.65,69120
26,12,6,0.992,0.65,69120
27,12,6,0.992,0.66,69120
28,12,6,0.992,0.67,74880
29,12,6,0.992,0.65,68800
30,12,6,0.992,0.66,75156
10,13,6,0.9927,2.4,94304
11,13,6,0.993,1.44,86544
12,13,6,0.9923,1.59,91156
13,13,6,0.1468,1.47,100408
14,13,6,0.1468,0.65,69120
15,13,6,0.1468,0.66,68800
16,13,6,0.1468,0.65,69120
17,13,6,0.1468,0.66,74828
18,13,6,0.1468,0.65,69120
19,13,6,0.1468,0.65,74832
20,13,6,0.1468,0.65,68800
21,13,6,0.1468,0.65,69120
22,13,6,0.1468,0.66,68800
23,13,6,0.1468,0.66,68800
24,13,6,0.1468,0.65,68800
25,13,6,0.1468,0.66,69120
26,13,6,0.1468,0.66,68800
27,13,6,0.1468,0.65,69120
28,13,6,0.1468,0.66,75152
29,13,6,0.1468,0.66,69120
30,13,6,0.1468,0.65,69120
10,14,6,0.9924,2.14,91224
11,14,6,0.9916,1.32,85328
12,14,6,0.9918,1.5,87020
13,14,6,0.1467,1.35,91384
14,14,6,0.1198,1.43,103660
15,14,6,0.1198,0.65,68800
16,14,6,0.1198,0.65,69120
17,14,6,0.1198,0.65,75152
18,14,6,0.1198,0.65,68800
19,14,6,0.1198,0.65,69120
20,14,6,0.1198,0.65,68800
21,14,6,0.1198,0.65,69120
22,14,6,0.1198,0.65,69120
23,14,6,0.1198,0.65,69120
24,14,6,0.1198,0.65,68800
25,14,6,0.1198,0.66,69120
26,14,6,0.1198,0.65,69120
27,14,6,0.1198,0.65,69120
28,14,6,0.1198,0.66,75152
29,14,6,0.1198,0.66,69120
30,14,6,0.1198,0.65,69120
10,15,6,0.9928,1.98,90196
11,15,6,0.9922,1.23,82100
12,15,6,0.9913,1.51,83512
13,15,6,0.1465,1.33,85992
14,15,6,0.1197,1.31,91068
15,15,6,0.1198,1.38,102936
16,15,6,0.1198,0.66,68800
17,15,6,0.1198,0.65,68800
18,15,6,0.1198,0.66,69120
19,15,6,0.1198,0.66,69120
20,15,6,0.1198,0.66,69120
21,15,6,0.1198,0.67,75152
22,15,6,0.1198,0.66,69120
23,15,6,0.1198,0.66,68800
24,15,6,0.1198,0.66,68800
25,15,6,0.1198,0.65,69120
26,15,6,0.1198,0.65,69120
27,15,6,0.1198,0.66,69120
28,15,6,0.1198,0.66,75396
29,15,6,0.1198,0.65,69120
30,15,6,0.1198,0.65,69120
10,16,6,0.9913,1.82,89172
11,16,6,0.9917,1.39,82520
12,16,6,0.811,1.35,80528
13,16,6,0.1464,1.33,82736
14,16,6,0.1197,1.34,86344
15,16,6,0.1197,1.35,90436
16,16,6,0.1166,1.4,103840
17,16,6,0.1166,0.66,69120
18,16,6,0.1166,0.65,69120
19,16,6,0.1166,0.65,69120
20,16,6,0.1166,0.66,69120
21,16,6,0.1166,0.66,75156
22,16,6,0.1166,0.64,68800
23,16,6,0.1166,0.65,69120
24,16,6,0.1166,0.66,68800
25,16,6,0.1166,0.65,68800
26,16,6,0.1166,0.65,69120
27,16,6,0.1166,0.66,69120
28,16,6,0.1166,0.66,75520
29,16,6,0.1166,0.66,74828
30,16,6,0.1166,0.65,75152
10,17,6,0.9903,1.71,87892
11,17,6,0.9901,1.49,80496
12,17,6,0.1422,1.35,80512
13,17,6,0.1463,1.3,81716
14,17,6,0.1197,1.29,81324
15,17,6,0.1165,1.36,85048
16,17,6,0.1165,1.37,91760
17,17,6,0.1166,1.4,103888
18,17,6,0.1166,0.65,69120
19,17,6,0.1166,0.65,68800
20,17,6,0.1166,0.66,75156
21,17,6,0.1166,0.66,69120
22,17,6,0.1166,0.66,75200
23,17,6,0.1166,0.64,68800
24,17,6,0.1166,0.65,69120
25,17,6,0.1166,0.7,69120
26,17,6,0.1166,0.66,69120
27,17,6,0.1166,0.66,69120
28,17,6,0.1166,0.65,75156
29,17,6,0.1166,0.65,69120
30,17,6,0.1166,0.66,69120
10,18,6,0.9881,1.63,85004
11,18,6,0.9875,1.52,81144
12,18,6,0.142,1.25,78588
13,18,6,0.1308,1.31,80368
14,18,6,0.1164,1.29,80208
15,18,6,0.1164,1.35,85876
16,18,6,0.1163,1.35,86392
17,18,6,0.1164,1.37,92104
18,18,6,0.1164,1.38,102236
19,18,6,0.1164,0.64,69120
20,18,6,0.1164,0.66,68800
21,18,6,0.1164,0.66,69120
22,18,6,0.1164,0.64,69120
23,18,6,0.1164,0.65,69120
24,18,6,0.1164,0.66,69120
25,18,6,0.1164,0.66,69120
26,18,6,0.1164,0.64,68800
27,18,6,0.1164,0.64,68800
28,18,6,0.1164,0.66,69120
29,18,6,0.1164,0.65,68800
30,18,6,0.1164,0.65,69120
10,19,6,0.9867,1.55,84164
11,19,6,0.9869,1.52,80968
12,19,6,0.1419,1.25,78576
13,19,6,0.1309,1.26,80688
14,19,6,0.1164,1.28,80140
15,19,6,0.1163,1.29,81952
16,19,6,0.1163,1.3,85112
17,19,6,0.1163,1.33,86816
18,19,6,0.1162,1.31,91296
19,19,6,0.1161,1.34,101920
20,19,6,0.1161,0.66,68800
21,19,6,0.1161,0.65,69120
22,19,6,0.1161,0.66,69120
23,19,6,0.1161,0.65,69120
24,19,6,0.1161,0.64,69120
25,19,6,0.1161,0.65,69120
26,19,6,0.1161,0.69,68800
27,19,6,0.1161,0.66,69120
28,19,6,0.1161,0.66,69120
29,19,6,0.1161,0.64,68800
30,19,6,0.1161,0.65,69120
10,20,6,0.9852,1.49,85404
11,20,6,0.1348,1.51,79684
12,20,6,0.1415,1.26,76316
13,20,6,0.1308,1.27,78900
14,20,6,0.1163,1.33,81144
15,20,6,0.1161,1.27,81696
16,20,6,0.1162,1.29,81708
17,20,6,0.116,1.32,84952
18,20,6,0.1161,1.34,86932
19,20,6,0.1159,1.36,93564
20,20,6,0.1159,1.43,101384
21,20,6,0.1159,0.65,69120
22,20,6,0.1159,0.66,69120
23,20,6,0.1159,0.66,68800
24,20,6,0.1159,0.65,69120
25,20,6,0.1159,0.66,68800
26,20,6,0.1159,0.65,74832
27,20,6,0.1159,0.64,69120
28,20,6,0.1159,0.65,68800
29,20,6,0.1159,0.65,69120
30,20,6,0.1159,0.65,69120
10,21,6,0.9837,1.42,77456
11,21,6,0.1346,1.49,80112
12,21,6,0.1305,1.3,77052
13,21,6,0.1307,1.29,79760
14,21,6,0.116,1.25,79368
15,21,6,0.116,1.26,78624
16,21,6,0.116,1.27,82100
17,21,6,0.1159,1.32,83192
18,21,6,0.1159,1.3,84436
19,21,6,0.1158,1.32,85940
