seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,8,0.9939,4.08,114612
11,10,8,0.9939,0.65,69120
12,10,8,0.9939,0.66,69120
13,10,8,0.9939,0.66,69120
14,10,8,0.9939,0.66,69120
15,10,8,0.9939,0.65,68800
16,10,8,0.9939,0.65,69120
17,10,8,0.9939,0.65,68800
18,10,8,0.9939,0.66,69120
19,10,8,0.9939,0.65,68800
20,10,8,0.9939,0.66,68800
21,10,8,0.9939,0.65,69120
22,10,8,0.9939,0.66,69120
23,10,8,0.9939,0.65,68800
24,10,8,0.9939,0.67,75152
25,10,8,0.9939,0.66,69120
26,10,8,0.9939,0.66,75152
27,10,8,0.9939,0.65,69120
28,10,8,0.9939,0.65,69120
29,10,8,0.9939,0.65,68800
30,10,8,0.9939,0.66,68800
10,11,8,0.9936,3.25,105908
11,11,8,0.9937,1.83,96368
12,11,8,0.9937,0.66,68800
13,11,8,0.9937,0.65,68800
14,11,8,0.9937,0.67,68800
15,11,8,0.9937,0.65,75152
16,11,8,0.9937,0.65,69120
17,11,8,0.9937,0.65,68800
18,11,8,0.9937,0.67,68800
19,11,8,0.9937,0.65,68800
20,11,8,0.9937,0.66,75152
21,11,8,0.9937,0.66,69120
22,11,8,0.9937,0.66,75508
23,11,8,0.9937,0.66,69120
24,11,8,0.9937,0.66,69120
25,11,8,0.9937,0.65,69120
26,11,8,0.9937,0.65,69120
27,11,8,0.9937,0.66,75152
28,11,8,0.9937,0.66,68800
29,11,8,0.9937,0.66,69120
30,11,8,0.9937,0.65,68800
10,12,8,0.9928,2.73,88528
11,12,8,0.9928,1.58,92924
12,12,8,0.992,1.58,103392
13,12,8,0.992,0.65,69120
14,12,8,0.992,0.65,69120
15,12,8,0.992,0.66,68800
16,12,8,0.992,0.65,69120
17,12,8,0.992,0.66,69120
18,12,8,0.992,0.67,69120
19,12,8,0.992,0.65,69120
20,12,8,0.992,0.66,75148
21,12,8,0.992,0.65,69120
22,12,8,0.992,0.66,69120
23,12,8,0.992,0.66,69120
24,12,8,0.992,0.65,69120
25,12,8,0.992,0.65,68800
26,12,8,0.992,0.65,75520
27,12,8,0.992,0.65,68800
28,12,8,0.992,0.67,69120
29,12,8,0.992,0.65,69120
30,12,8,0.992,0.64,68800
10,13,8,0.9927,2.42,94608
11,13,8,0.993,1.43,86468
12,13,8,0.9923,1.59,90700
13,13,8,0.1468,1.51,103152
14,13,8,0.1468,0.66,68800
15,13,8,0.1468,0.66,69120
16,13,8,0.1468,0.66,69120
17,13,8,0.1468,0.66,69120
18,13,8,0.1468,0.66,69120
19,13,8,0.1468,0.64,69120
20,13,8,0.1468,0.66,69120
21,13,8,0.1468,0.66,69120
22,13,8,0.1468,0.66,68800
23,13,8,0.1468,0.65,69120
24,13,8,0.1468,0.66,69120
25,13,8,0.1468,0.66,69120
26,13,8,0.1468,0.65,69120
27,13,8,0.1468,0.66,74836
28,13,8,0.1468,0.66,68800
29,13,8,0.1468,0.66,69120
30,13,8,0.1468,0.67,69120
10,14,8,0.9924,2.15,92576
11,14,8,0.9916,1.32,85472
12,14,8,0.9918,1.53,84848
13,14,8,0.1467,1.39,93744
14,14,8,0.1198,1.39,102292
15,14,8,0.1198,0.66,69120
16,14,8,0.1198,0.66,69120
17,14,8,0.1198,0.65,75152
18,14,8,0.1198,0.66,69120
19,14,8,0.1198,0.66,69120
20,14,8,0.1198,0.66,68800
21,14,8,0.1198,0.66,69120
22,14,8,0.1198,0.66,69120
23,14,8,0.1198,0.65,69120
24,14,8,0.1198,0.66,69120
25,14,8,0.1198,0.65,68800
26,14,8,0.1198,0.66,69120
27,14,8,0.1198,0.65,69120
28,14,8,0.1198,0.65,68800
29,14,8,0.1198,0.66,68800
30,14,8,0.1198,0.66,69120
10,15,8,0.9928,1.97,91304
11,15,8,0.9922,1.24,81432
12,15,8,0.9913,1.49,83564
13,15,8,0.1465,1.29,86856
14,15,8,0.1197,1.33,91276
15,15,8,0.1198,1.45,102948
16,15,8,0.1198,0.65,69120
17,15,8,0.1198,0.65,75076
18,15,8,0.1198,0.67,68800
19,15,8,0.1198,0.67,69120
20,15,8,0.1198,0.64,68800
21,15,8,0.1198,0.66,69120
22,15,8,0.1198,0.66,69120
23,15,8,0.1198,0.65,69120
24,15,8,0.1198,0.66,69120
25,15,8,0.1198,0.65,69120
26,15,8,0.1198,0.66,69120
27,15,8,0.1198,0.66,68800
28,15,8,0.1198,0.65,69120
29,15,8,0.1198,0.65,75160
30,15,8,0.1198,0.65,69120
10,16,8,0.9913,1.84,89932
11,16,8,0.9917,1.39,81256
12,16,8,0.811,1.41,80840
13,16,8,0.1464,1.34,83080
14,16,8,0.1197,1.38,84080
15,16,8,0.1197,1.37,91164
16,16,8,0.1166,1.38,103284
17,16,8,0.1166,0.65,68800
18,16,8,0.1166,0.66,69120
19,16,8,0.1166,0.65,68800
20,16,8,0.1166,0.65,69120
21,16,8,0.1166,0.67,68800
22,16,8,0.1166,0.66,69120
23,16,8,0.1166,0.66,75156
24,16,8,0.1166,0.66,75152
25,16,8,0.1166,0.66,68800
26,16,8,0.1166,0.65,69120
27,16,8,0.1166,0.65,68800
28,16,8,0.1166,0.67,68800
29,16,8,0.1166,0.66,69120
30,16,8,0.1166,0.68,68800
10,17,8,0.9903,1.72,88200
11,17,8,0.9901,1.48,79984
12,17,8,0.1422,1.4,79736
13,17,8,0.1463,1.3,82812
14,17,8,0.1197,1.33,83368
15,17,8,0.1165,1.3,84900
16,17,8,0.1165,1.34,93016
17,17,8,0.1166,1.37,102908
18,17,8,0.1166,0.67,69120
19,17,8,0.1166,0.66,69120
20,17,8,0.1166,0.65,68800
21,17,8,0.1166,0.66,75156
22,17,8,0.1166,0.66,69120
23,17,8,0.1166,0.66,69120
24,17,8,0.1166,0.66,69120
25,17,8,0.1166,0.65,69120
26,17,8,0.1166,0.66,69120
27,17,8,0.1166,0.65,69120
28,17,8,0.1166,0.65,69120
29,17,8,0.1166,0.65,69120
30,17,8,0.1166,0.65,69120
10,18,8,0.9881,1.64,87184
11,18,8,0.9875,1.5,80384
12,18,8,0.142,1.29,78284
13,18,8,0.1308,1.29,82232
14,18,8,0.1164,1.27,81772
15,18,8,0.1164,1.32,86008
16,18,8,0.1163,1.32,86388
17,18,8,0.1164,1.32,90944
18,18,8,0.1164,1.42,101372
19,18,8,0.1164,0.65,68800
20,18,8,0.1164,0.66,69120
21,18,8,0.1164,0.66,75152
22,18,8,0.1164,0.67,68800
23,18,8,0.1164,0.65,69120
24,18,8,0.1164,0.66,69120
25,18,8,0.1164,0.67,68800
26,18,8,0.1164,0.66,69120
27,18,8,0.1164,0.65,69120
28,18,8,0.1164,0.67,68800
29,18,8,0.1164,0.65,68800
30,18,8,0.1164,0.66,69120
10,19,8,0.9867,1.54,85416
11,19,8,0.9869,1.49,79628
12,19,8,0.1419,1.31,76948
13,19,8,0.1309,1.28,80232
14,19,8,0.1164,1.28,81036
15,19,8,0.1163,1.33,81100
16,19,8,0.1163,1.35,85000
17,19,8,0.1163,1.34,86268
18,19,8,0.1162,1.35,93380
19,19,8,0.1161,1.36,102708
20,19,8,0.1161,0.66,69120
21,19,8,0.1161,0.66,69120
22,19,8,0.1161,0.65,69120
23,19,8,0.1161,0.66,68800
24,19,8,0.1161,0.65,68800
25,19,8,0.1161,0.66,69120
26,19,8,0.1161,0.66,69120
27,19,8,0.1161,0.65,69120
28,19,8,0.1161,0.67,75152
29,19,8,0.1161,0.65,69120
30,19,8,0.1161,0.67,69120
10,20,8,0.9852,1.5,83808
11,20,8,0.1348,1.48,80004
12,20,8,0.1415,1.29,76080
13,20,8,0.1308,1.32,80548
