seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,5,0.9939,4.08,113820
11,10,5,0.9939,0.64,69120
12,10,5,0.9939,0.66,69120
13,10,5,0.9939,0.65,69120
14,10,5,0.9939,0.65,69120
15,10,5,0.9939,0.66,69120
16,10,5,0.9939,0.64,68800
17,10,5,0.9939,0.65,69120
18,10,5,0.9939,0.64,75156
19,10,5,0.9939,0.66,69120
20,10,5,0.9939,0.66,69120
21,10,5,0.9939,0.65,69120
22,10,5,0.9939,0.66,68800
23,10,5,0.9939,0.65,68800
24,10,5,0.9939,0.66,69120
25,10,5,0.9939,0.65,68800
26,10,5,0.9939,0.66,69120
27,10,5,0.9939,0.67,69120
28,10,5,0.9939,0.66,69120
29,10,5,0.9939,0.66,69120
30,10,5,0.9939,0.66,69120
10,11,5,0.9935,3.25,107396
11,11,5,0.9937,1.85,98372
12,11,5,0.9937,0.64,68800
13,11,5,0.9937,0.65,68800
14,11,5,0.9937,0.66,69120
15,11,5,0.9937,0.65,69120
16,11,5,0.9937,0.66,69120
17,11,5,0.9937,0.69,69120
18,11,5,0.9937,0.66,69120
19,11,5,0.9937,0.65,69120
20,11,5,0.9937,0.65,69120
21,11,5,0.9937,0.66,69120
22,11,5,0.9937,0.65,69120
23,11,5,0.9937,0.66,69120
24,11,5,0.9937,0.65,68800
25,11,5,0.9937,0.66,69120
26,11,5,0.9937,0.65,69120
27,11,5,0.9937,0.66,69120
28,11,5,0.9937,0.65,74832
29,11,5,0.9937,0.64,69120
30,11,5,0.9937,0.66,69120
10,12,5,0.9928,2.73,96732
11,12,5,0.9928,1.6,91584
12,12,5,0.992,1.62,104128
13,12,5,0.992,0.66,69120
14,12,5,0.992,0.65,75156
15,12,5,0.992,0.66,69120
16,12,5,0.992,0.65,69120
17,12,5,0.992,0.65,69120
18,12,5,0.992,0.65,69120
19,12,5,0.992,0.66,69120
20,12,5,0.992,0.65,68800
21,12,5,0.992,0.65,68800
22,12,5,0.992,0.66,69120
23,12,5,0.992,0.65,69120
24,12,5,0.992,0.65,69120
25,12,5,0.992,0.66,69120
26,12,5,0.992,0.66,74836
27,12,5,0.992,0.64,69120
28,12,5,0.992,0.65,68800
29,12,5,0.992,0.66,69120
30,12,5,0.992,0.65,68800
10,13,5,0.9927,2.41,93968
11,13,5,0.993,1.43,84492
12,13,5,0.9923,1.57,89780
13,13,5,0.1468,1.44,102848
14,13,5,0.1468,0.65,69120
15,13,5,0.1468,0.65,69120
16,13,5,0.1468,0.66,68800
17,13,5,0.1468,0.66,69120
18,13,5,0.1468,0.64,69120
19,13,5,0.1468,0.65,68800
20,13,5,0.1468,0.65,69120
21,13,5,0.1468,0.66,69120
22,13,5,0.1468,0.66,69120
23,13,5,0.1468,0.66,69120
24,13,5,0.1468,0.66,68800
25,13,5,0.1468,0.66,75156
26,13,5,0.1468,0.66,74832
27,13,5,0.1468,0.65,75152
28,13,5,0.1468,0.65,68800
29,13,5,0.1468,0.66,75156
30,13,5,0.1468,0.66,75156
10,14,5,0.9924,2.13,92080
11,14,5,0.9916,1.31,84884
12,14,5,0.9918,1.5,85980
13,14,5,0.1467,1.35,92384
14,14,5,0.1198,1.39,102980
15,14,5,0.1198,0.64,69120
16,14,5,0.1198,0.65,69120
17,14,5,0.1198,0.66,69120
18,14,5,0.1198,0.65,75156
19,14,5,0.1198,0.66,74836
20,14,5,0.1198,0.64,69120
21,14,5,0.1198,0.66,69120
22,14,5,0.1198,0.65,69120
23,14,5,0.1198,0.66,68800
24,14,5,0.1198,0.64,68800
25,14,5,0.1198,0.64,69120
26,14,5,0.1198,0.65,69120
27,14,5,0.1198,0.66,69120
28,14,5,0.1198,0.66,69120
29,14,5,0.1198,0.64,68800
30,14,5,0.1198,0.66,69120
10,15,5,0.9928,1.98,90484
11,15,5,0.9922,1.24,82480
12,15,5,0.9913,1.45,82432
13,15,5,0.1465,1.34,84340
14,15,5,0.1197,1.37,92060
15,15,5,0.1198,1.43,102932
16,15,5,0.1198,0.66,69120
17,15,5,0.1198,0.65,68800
18,15,5,0.1198,0.65,69120
19,15,5,0.1198,0.66,75156
20,15,5,0.1198,0.65,68800
21,15,5,0.1198,0.66,69120
22,15,5,0.1198,0.66,69120
23,15,5,0.1198,0.65,69120
24,15,5,0.1198,0.65,69120
25,15,5,0.1198,0.66,69120
26,15,5,0.1198,0.64,69120
27,15,5,0.1198,0.65,69120
28,15,5,0.1198,0.65,68800
29,15,5,0.1198,0.65,68800
30,15,5,0.1198,0.66,69120
10,16,5,0.9913,1.81,88424
11,16,5,0.9917,1.38,81876
12,16,5,0.811,1.32,80116
13,16,5,0.1464,1.3,84784
14,16,5,0.1197,1.36,85976
15,16,5,0.1197,1.36,91948
16,16,5,0.1166,1.38,101144
17,16,5,0.1166,0.65,69120
18,16,5,0.1166,0.65,69120
19,16,5,0.1166,0.66,68800
20,16,5,0.1166,0.65,68800
21,16,5,0.1166,0.65,69120
22,16,5,0.1166,0.66,69120
23,16,5,0.1166,0.65,69120
24,16,5,0.1166,0.66,69120
25,16,5,0.1166,0.66,68800
26,16,5,0.1166,0.65,69120
27,16,5,0.1166,0.65,69120
28,16,5,0.1166,0.66,69120
29,16,5,0.1166,0.65,68800
30,16,5,0.1166,0.67,69120
10,17,5,0.9903,1.72,87184
11,17,5,0.9901,1.47,80868
12,17,5,0.1422,1.26,79992
13,17,5,0.1463,1.35,80184
14,17,5,0.1197,1.29,81928
15,17,5,0.1165,1.36,85712
16,17,5,0.1165,1.35,90672
17,17,5,0.1166,1.41,103512
18,17,5,0.1166,0.67,75044
19,17,5,0.1166,0.64,69120
20,17,5,0.1166,0.66,75152
21,17,5,0.1166,0.66,68800
22,17,5,0.1166,0.65,68800
23,17,5,0.1166,0.66,69120
24,17,5,0.1166,0.66,75152
25,17,5,0.1166,0.65,69120
26,17,5,0.1166,0.66,69120
27,17,5,0.1166,0.67,68800
28,17,5,0.1166,0.64,68800
29,17,5,0.1166,0.66,74836
30,17,5,0.1166,0.65,69120
10,18,5,0.9881,1.62,84860
11,18,5,0.9875,1.52,79932
12,18,5,0.142,1.28,78464
13,18,5,0.1308,1.32,80940
14,18,5,0.1164,1.33,81860
15,18,5,0.1164,1.33,83680
16,18,5,0.1163,1.33,85944
17,18,5,0.1164,1.37,91756
18,18,5,0.1164,1.36,101380
19,18,5,0.1164,0.66,68800
20,18,5,0.1164,0.66,69120
21,18,5,0.1164,0.64,69120
22,18,5,0.1164,0.66,74832
23,18,5,0.1164,0.65,68800
24,18,5,0.1164,0.65,69120
25,18,5,0.1164,0.65,68800
26,18,5,0.1164,0.65,75520
27,18,5,0.1164,0.66,69120
28,18,5,0.1164,0.65,69120
29,18,5,0.1164,0.64,69120
30,18,5,0.1164,0.66,68800
10,19,5,0.9867,1.55,85560
11,19,5,0.9869,1.51,80828
12,19,5,0.1419,1.3,78244
13,19,5,0.1309,1.27,82292
14,19,5,0.1164,1.31,80744
15,19,5,0.1163,1.27,81220
16,19,5,0.1163,1.31,84676
17,19,5,0.1163,1.29,86488
18,19,5,0.1162,1.34,90468
19,19,5,0.1161,1.37,101952
20,19,5,0.1161,0.66,68800
21,19,5,0.1161,0.65,68800
22,19,5,0.1161,0.65,69120
23,19,5,0.1161,0.66,75152
24,19,5,0.1161,0.67,69120
25,19,5,0.1161,0.64,69120
26,19,5,0.1161,0.65,69120
27,19,5,0.1161,0.66,75152
28,19,5,0.1161,0.65,69120
29,19,5,0.1161,0.65,68800
30,19,5,0.1161,0.66,74856
10,20,5,0.9852,1.5,84952
11,20,5,0.1348,1.53,79924
12,20,5,0.1415,1.29,77744
13,20,5,0.1308,1.28,79716
14,20,5,0.1163,1.3,79728
15,20,5,0.1161,1.3,79716
16,20,5,0.1162,1.3,83024
17,20,5,0.116,1.31,84076
18,20,5,0.1161,1.3,85548
19,20,5,0.1159,1.31,92648
20,20,5,0.1159,1.38,100576
21,20,5,0.1159,0.66,68800
22,20,5,0.1159,0.64,69120
23,20,5,0.1159,0.66,69120
24,20,5,0.1159,0.65,69120
25,20,5,0.1159,0.66,69120
26,20,5,0.1159,0.66,69120
27,20,5,0.1159,0.66,68800
28,20,5,0.1159,0.65,69120
29,20,5,0.1159,0.65,68800
30,20,5,0.1159,0.66,69120
10,21,5,0.9837,1.44,83516
11,21,5,0.1346,1.51,78888
12,21,5,0.1305,1.24,77300
13,21,5,0.1307,1.27,78808
14,21,5,0.116,1.27,80348
15,21,5,0.116,1.29,80504
16,21,5,0.116,1.25,81776
17,21,5,0.1159,1.31,83548
18,21,5,0.1159,1.32,85332
19,21,5,0.1158,1.34,85164
20,21,5,0.1158,1.39,89832
21,21,5,0.1158,1.41,100288
22,21,5,0.1158,0.66,69120
23,21,5,0.1158,0.64,69120
24,21,5,0.1158,0.66,68800
25,21,5,0.1158,0.65,69120
26,21,5,0.1158,0.66,69120
27,21,5,0.1158,0.66,69120
28,21,5,0.1158,0.64,69120
29,21,5,0.1158,0.66,69120
30,21,5,0.1158,0.65,75156
10,22,5,0.9816,1.37,82448
11,22,5,0.1342,1.47,78252
12,22,5,0.1302,1.25,77784
13,22,5,0.1304,1.24,79016
14,22,5,0.1156,1.29,79092
15,22,5,0.1157,1.26,80796
16,22,5,0.1157,1.28,80808
17,22,5,0.1157,1.25,82600
18,22,5,0.1156,1.26,81204
19,22,5,0.1156,1.33,84672
20,22,5,0.1155,1.27,85328
21,22,5,0.1155,1.32,91940
22,22,5,0.1155,1.41,100740
23,22,5,0.1155,0.66,75152
24,22,5,0.1155,0.65,69120
25,22,5,0.1155,0.66,68800
26,22,5,0.1155,0.66,69120
27,22,5,0.1155,0.66,69120
28,22,5,0.1155,0.66,69120
29,22,5,0.1155,0.66,69120
30,22,5,0.1155,0.66,68800
10,23,5,0.98,1.34,82200
11,23,5,0.1341,1.5,78200
12,23,5,0.1186,1.28,75692
13,23,5,0.1301,1.27,77416
14,23,5,0.1154,1.31,79836
15,23,5,0.1153,1.25,78844
