seeds_minimizer_length,seeds_minimizer_windowsize,seeds_minimizer_density,similarity_score,time,memory
10,10,4,0.9938,4.05,112588
11,10,4,0.9938,0.66,69120
12,10,4,0.9938,0.65,68800
13,10,4,0.9938,0.66,69120
14,10,4,0.9938,0.66,75148
15,10,4,0.9938,0.65,68800
16,10,4,0.9938,0.65,69120
17,10,4,0.9938,0.66,69120
18,10,4,0.9938,0.65,69120
19,10,4,0.9938,0.66,69120
20,10,4,0.9938,0.66,68800
21,10,4,0.9938,0.66,68800
22,10,4,0.9938,0.66,68800
23,10,4,0.9938,0.65,69120
24,10,4,0.9938,0.66,69120
25,10,4,0.9938,0.66,69120
26,10,4,0.9938,0.67,69120
27,10,4,0.9938,0.65,68800
28,10,4,0.9938,0.66,69120
29,10,4,0.9938,0.66,69120
30,10,4,0.9938,0.65,69120
10,11,4,0.9935,3.24,106216
11,11,4,0.9937,1.84,99104
12,11,4,0.9937,0.65,68800
13,11,4,0.9937,0.66,69120
14,11,4,0.9937,0.66,68800
15,11,4,0.9937,0.66,69120
16,11,4,0.9937,0.65,68800
17,11,4,0.9937,0.66,69120
18,11,4,0.9937,0.66,69120
19,11,4,0.9937,0.65,75200
20,11,4,0.9937,0.65,69120
21,11,4,0.9937,0.66,68800
22,11,4,0.9937,0.65,69120
23,11,4,0.9937,0.65,69120
24,11,4,0.9937,0.65,69120
25,11,4,0.9937,0.64,74832
26,11,4,0.9937,0.66,69120
27,11,4,0.9937,0.64,68800
28,11,4,0.9937,0.67,68800
29,11,4,0.9937,0.66,69120
30,11,4,0.9937,0.66,75156
10,12,4,0.9928,2.75,96940
11,12,4,0.9928,1.56,91612
12,12,4,0.992,1.62,97336
13,12,4,0.992,0.66,69120
14,12,4,0.992,0.65,69120
15,12,4,0.992,0.66,69120
16,12,4,0.992,0.66,75152
17,12,4,0.992,0.66,75156
18,12,4,0.992,0.65,68800
19,12,4,0.992,0.65,69120
20,12,4,0.992,0.65,69120
21,12,4,0.992,0.66,68800
22,12,4,0.992,0.65,69120
23,12,4,0.992,0.65,68800
24,12,4,0.992,0.65,68800
25,12,4,0.992,0.64,68800
26,12,4,0.992,0.64,69120
27,12,4,0.992,0.66,69120
28,12,4,0.992,0.64,68800
29,12,4,0.992,0.65,69120
30,12,4,0.992,0.65,69120
10,13,4,0.9927,2.38,92732
11,13,4,0.993,1.42,87600
12,13,4,0.9923,1.58,89788
13,13,4,0.1468,1.49,102272
14,13,4,0.1468,0.65,69120
15,13,4,0.1468,0.65,68800
16,13,4,0.1468,0.65,75148
17,13,4,0.1468,0.66,69120
18,13,4,0.1468,0.66,68800
19,13,4,0.1468,0.65,69120
20,13,4,0.1468,0.66,69120
21,13,4,0.1468,0.66,68800
22,13,4,0.1468,0.65,69120
23,13,4,0.1468,0.65,68800
24,13,4,0.1468,0.66,75152
25,13,4,0.1468,0.66,69120
26,13,4,0.1468,0.65,69120
27,13,4,0.1468,0.65,69120
28,13,4,0.1468,0.66,68800
29,13,4,0.1468,0.64,69120
30,13,4,0.1468,0.65,69120
10,14,4,0.9924,2.14,81692
11,14,4,0.9916,1.29,84716
12,14,4,0.9918,1.52,84108
13,14,4,0.1467,1.39,91428
14,14,4,0.1198,1.4,103232
15,14,4,0.1198,0.64,68800
16,14,4,0.1198,0.65,69120
17,14,4,0.1198,0.66,68800
18,14,4,0.1198,0.65,68800
19,14,4,0.1198,0.66,69120
20,14,4,0.1198,0.66,69120
21,14,4,0.1198,0.65,69120
22,14,4,0.1198,0.65,68800
23,14,4,0.1198,0.65,69120
24,14,4,0.1198,0.66,69120
25,14,4,0.1198,0.65,69120
26,14,4,0.1198,0.65,69120
27,14,4,0.1198,0.66,69120
28,14,4,0.1198,0.65,69120
29,14,4,0.1198,0.66,69120
30,14,4,0.1198,0.66,69120
10,15,4,0.9928,1.94,91052
11,15,4,0.9922,1.23,82932
12,15,4,0.9913,1.5,81672
13,15,4,0.1465,1.3,85168
14,15,4,0.1197,1.4,91336
15,15,4,0.1198,1.43,102652
16,15,4,0.1198,0.66,75152
17,15,4,0.1198,0.66,69120
18,15,4,0.1198,0.66,69120
19,15,4,0.1198,0.66,75152
20,15,4,0.1198,0.65,69120
21,15,4,0.1198,0.64,69120
22,15,4,0.1198,0.65,75156
23,15,4,0.1198,0.66,68800
24,15,4,0.1198,0.66,69120
25,15,4,0.1198,0.65,68800
26,15,4,0.1198,0.66,68800
27,15,4,0.1198,0.66,68800
28,15,4,0.1198,0.65,69120
29,15,4,0.1198,0.66,69120
30,15,4,0.1198,0.66,69120
10,16,4,0.9913,1.8,87492
11,16,4,0.9917,1.42,79984
12,16,4,0.811,1.39,80572
13,16,4,0.1464,1.28,83736
14,16,4,0.1197,1.28,85684
15,16,4,0.1197,1.33,91668
16,16,4,0.1166,1.37,103128
17,16,4,0.1166,0.65,75520
18,16,4,0.1166,0.66,69120
19,16,4,0.1166,0.65,69120
20,16,4,0.1166,0.65,69120
21,16,4,0.1166,0.65,69120
22,16,4,0.1166,0.65,69120
23,16,4,0.1166,0.65,69120
24,16,4,0.1166,0.66,68800
25,16,4,0.1166,0.66,75156
26,16,4,0.1166,0.66,69120
27,16,4,0.1166,0.66,69120
28,16,4,0.1166,0.66,69120
29,16,4,0.1166,0.66,69120
30,16,4,0.1166,0.65,69120
10,17,4,0.9903,1.72,79440
11,17,4,0.9901,1.49,81412
12,17,4,0.1422,1.31,79276
13,17,4,0.1463,1.28,82232
14,17,4,0.1197,1.3,83620
15,17,4,0.1165,1.32,85480
16,17,4,0.1165,1.35,92352
17,17,4,0.1166,1.39,102256
18,17,4,0.1166,0.66,68800
19,17,4,0.1166,0.65,68800
20,17,4,0.1166,0.65,68800
21,17,4,0.1166,0.66,69120
22,17,4,0.1166,0.65,68800
23,17,4,0.1166,0.65,68800
24,17,4,0.1166,0.65,69120
25,17,4,0.1166,0.65,75156
26,17,4,0.1166,0.65,69120
27,17,4,0.1166,0.65,69120
28,17,4,0.1166,0.65,69120
29,17,4,0.1166,0.65,69120
30,17,4,0.1166,0.65,69120
10,18,4,0.9881,1.63,85232
11,18,4,0.9875,1.5,80796
12,18,4,0.142,1.27,77576
13,18,4,0.1308,1.26,82392
14,18,4,0.1164,1.3,83136
15,18,4,0.1164,1.35,82000
16,18,4,0.1163,1.34,87304
17,18,4,0.1164,1.37,89376
18,18,4,0.1164,1.39,100172
19,18,4,0.1164,0.65,68800
20,18,4,0.1164,0.67,75156
21,18,4,0.1164,0.67,68800
22,18,4,0.1164,0.65,69120
23,18,4,0.1164,0.66,68800
24,18,4,0.1164,0.65,69120
25,18,4,0.1164,0.65,69120
26,18,4,0.1164,0.65,69120
27,18,4,0.1164,0.64,69120
28,18,4,0.1164,0.66,69120
29,18,4,0.1164,0.66,68800
30,18,4,0.1164,0.65,74836
10,19,4,0.9867,1.54,84672
11,19,4,0.9869,1.53,79388
12,19,4,0.1419,1.25,78576
13,19,4,0.1309,1.28,80600
14,19,4,0.1164,1.29,80976
15,19,4,0.1163,1.3,81168
16,19,4,0.1163,1.31,83832
17,19,4,0.1163,1.33,86112
18,19,4,0.1162,1.37,92756
19,19,4,0.1161,1.4,99328
20,19,4,0.1161,0.66,75156
21,19,4,0.1161,0.67,69120
22,19,4,0.1161,0.65,68800
23,19,4,0.1161,0.67,75152
24,19,4,0.1161,0.66,74836
25,19,4,0.1161,0.67,69120
26,19,4,0.1161,0.65,68800
27,19,4,0.1161,0.65,69120
28,19,4,0.1161,0.65,75156
29,19,4,0.1161,0.67,69120
30,19,4,0.1161,0.65,75156
10,20,4,0.9852,1.5,85436
11,20,4,0.1348,1.51,79860
12,20,4,0.1415,1.28,77576
13,20,4,0.1308,1.27,79124
14,20,4,0.1163,1.3,79340
15,20,4,0.1161,1.29,78624
16,20,4,0.1162,1.26,80244
17,20,4,0.116,1.26,83812
18,20,4,0.1161,1.29,85940
19,20,4,0.1159,1.33,92420
20,20,4,0.1159,1.4,101952
21,20,4,0.1159,0.67,68800
22,20,4,0.1159,0.66,68800
23,20,4,0.1159,0.65,69120
24,20,4,0.1159,0.64,69120
25,20,4,0.1159,0.66,68800
26,20,4,0.1159,0.65,69120
27,20,4,0.1159,0.66,69120
28,20,4,0.1159,0.65,69120
29,20,4,0.1159,0.65,68800
30,20,4,0.1159,0.66,68800
10,21,4,0.9837,1.45,83484
11,21,4,0.1346,1.5,78964
12,21,4,0.1305,1.27,77712
13,21,4,0.1307,1.25,78148
14,21,4,0.116,1.3,80416
15,21,4,0.116,1.31,79420
16,21,4,0.116,1.31,81928
17,21,4,0.1159,1.27,83116
18,21,4,0.1159,1.29,83812
19,21,4,0.1158,1.3,85808
20,21,4,0.1158,1.37,92388
